[17:34:51	]jokaz 🗿 has connected.
[17:35:15	][AltChecker] jokaz 🗿 joined for the first time, generating new cookie.
[17:35:34	]Loxy has connected.
[17:36:42	]Pozytyw has connected.
[17:37:07	]jokaz 🗿 created the character 'hymel jadwiga'
[17:37:07	]jokaz 🗿 loaded the character 'hymel jadwiga'
[17:37:07	]hymel jadwiga has gained a 'Request Device' #1.
[17:37:07	]hymel jadwiga has gained a '#03254's Identity Card' #2.
[17:37:07	]hymel jadwiga has gained a 'Black Jumpsuit' #3.
[17:37:07	]hymel jadwiga has gained a 'Black Jumpsuit Trousers' #4.
[17:37:07	]hymel jadwiga has gained a 'Brown Leather Boots' #5.
[17:37:07	]hymel jadwiga has gained a 'Glasses' #6.
[17:37:12	][AltChecker] Pozytyw joined for the first time, generating new cookie.
[17:39:06	]Loxy created the character 'Maciek Dąbrowski'
[17:39:06	]Loxy loaded the character 'Maciek Dąbrowski'
[17:39:06	]Maciek Dąbrowski has gained a 'Suitcase' #7.
[17:39:06	]Maciek Dąbrowski has gained a '#03897's Identity Card' #8.
[17:39:06	]Maciek Dąbrowski has gained a 'Black Jumpsuit' #9.
[17:39:06	]Maciek Dąbrowski has gained a 'Black Jumpsuit Trousers' #10.
[17:39:06	]Maciek Dąbrowski has gained a 'Dark Leather Boots' #11.
[17:39:06	]Maciek Dąbrowski has gained a 'Glasses' #12.
[17:39:12	][IC] hymel jadwiga: Hej przystojniaczku.
[17:39:15	][IC] Maciek Dąbrowski: Hej.
[17:39:22	][IC] hymel jadwiga: Uwu.
[17:39:25	]Pozytyw created the character 'William Cartwright'
[17:39:25	]Pozytyw loaded the character 'William Cartwright'
[17:39:25	]William Cartwright has gained a '#04542's Identity Card' #13.
[17:39:25	]William Cartwright has gained a 'Red Jumpsuit' #14.
[17:39:25	]William Cartwright has gained a 'Grey Jumpsuit Trousers' #15.
[17:39:25	]William Cartwright has gained a 'Brown Leather Boots' #16.
[17:39:27	][IC] Maciek Dąbrowski: U w U.
[17:39:30	][IC] hymel jadwiga: Chcesz sie poznać?
[17:39:31	][IC] William Cartwright: U.
[17:39:53	]Maciek Dąbrowski rolled 93 out of 100 (+0 from Speed).
[17:39:53	]Maciek Dąbrowski used command '/SkillRoll speed'.
[17:39:55	][IC] hymel jadwiga: Aha.
[17:40:07	][ME] hymel jadwiga: salute
[17:40:16	][ME] hymel jadwiga: salutuje
[17:40:17	][ME] hymel jadwiga: salutuje
[17:40:18	][ME] hymel jadwiga: salutuje
[17:40:20	][IC] William Cartwright: \.
[17:40:22	][ME] hymel jadwiga: salutuje
[17:40:24	][IC] Maciek Dąbrowski: Hej.
[17:40:27	][IC] William Cartwright: CP.
[17:40:29	][IC] William Cartwright: Combine.
[17:40:30	][IC] hymel jadwiga: Masz morde jak kurwiszon.
[17:40:30	][ME] Maciek Dąbrowski: salute
[17:40:42	][ME] hymel jadwiga: salutuje
[17:40:44	][IC] William Cartwright: A twoja stara robiła mi laskę pod Westerplatte.
[17:41:12	]William Cartwright ran 'drop' on item 'Red Jumpsuit' (#14)
[17:41:12	]William Cartwright has lost a 'Red Jumpsuit' #14.
[17:41:14	]William Cartwright ran 'take' on item 'Red Jumpsuit' (#14)
[17:41:14	]William Cartwright has gained a 'Red Jumpsuit' #14.
[17:41:33	]hymel jadwiga ran 'Bind' on item 'Request Device' (#1)
[17:41:51	]hymel jadwiga used command '/ActDown'.
[17:41:54	]hymel jadwiga used command '/ExitAct'.
[17:42:02	]hymel jadwiga used command '/ActDown'.
[17:42:04	]hymel jadwiga used command '/ExitAct'.
[17:42:09	]hymel jadwiga used command '/ActDown'.
[17:42:12	][IC] hymel jadwiga: Mam raka.
[17:42:18	][IC] William Cartwright: Masz w dupie to owsiki.
[17:42:35	]hymel jadwiga used command '/ExitAct'.
[17:42:41	][IC] hymel jadwiga: Japa tam.
[17:43:00	]Console ran SAM command 'menu' with arguments: ''
[17:44:49	][ME] hymel jadwiga: salutuje
[17:44:51	][ME] hymel jadwiga: salutuje
[17:44:52	][ME] hymel jadwiga: salutuje
[17:44:53	][ME] hymel jadwiga: salutuje
[17:45:07	][IC] Maciek Dąbrowski: 1231.
[17:45:12	]Console ran SAM command 'setrank' with arguments: 'Maciek' 'superadmin'
[17:45:32	][ME] hymel jadwiga: salutuje
[17:45:34	][ME] hymel jadwiga: salute
[17:45:36	]Maciek Dąbrowski has spawned a 'Entity [389][ix_workshiftterminal]'.
[17:45:36	][ME] hymel jadwiga: salutuje
[17:45:42	][ME] hymel jadwiga: salute
[17:45:42	]Oktawiangr has connected.
[17:45:47	]Maciek Dąbrowski has spawned a 'Entity [389][ix_watercache]'.
[17:45:52	]Maciek Dąbrowski has spawned a 'Entity [389][ix_customvendingmachine]'.
[17:46:04	]Maciek Dąbrowski has used a context menu option with the name: skin
[17:46:05	][IC] hymel jadwiga: Kup mi colke.
[17:46:08	]Maciek Dąbrowski has spawned a 'Entity [389][ix_trashcollector]'.
[17:46:16	]Maciek Dąbrowski has spawned a 'Entity [389][ix_smuggler]'.
[17:46:16	][IC] hymel jadwiga: Trasz kolektor.
[17:46:20	]Maciek Dąbrowski has spawned a 'Entity [389][ix_smuggler]'.
[17:46:35	][IC] hymel jadwiga: Wracaj do klatki białasie.
[17:46:41	][AltChecker] Oktawiangr joined for the first time, generating new cookie.
[17:46:58	][IC] hymel jadwiga: Cześć Maciek przystojniaku.
[17:47:07	]Maciek Dąbrowski ran SAM command 'bring' with arguments: 'William'
[17:47:12	]Maciek Dąbrowski entered observer.
[17:47:15	]Maciek Dąbrowski exited observer.
[17:47:19	]hymel jadwiga used command '/ActSitLean'.
[17:47:19	]Maciek Dąbrowski has spawned a 'Entity [389][ix_intercom]'.
[17:47:26	][ME] hymel jadwiga: siedzi na essie
[17:47:26	]Maciek Dąbrowski has spawned a 'Entity [389][ix_forcefield]'.
[17:47:31	]hymel jadwiga used command '/ExitAct'.
[17:47:34	]Maciek Dąbrowski created a stash (models/willardnetworks/props/forcefield_right.mdl).
[17:47:34	]Maciek Dąbrowski has used a context menu option with the name: ixcreatestash
[17:47:41	]hymel jadwiga used command '/ActSitLean'.
[17:47:41	]Maciek Dąbrowski has used a context menu option with the name: remove
[17:47:45	]Maciek Dąbrowski has spawned a 'Entity [389][ix_containerlock]'.
[17:47:51	]Maciek Dąbrowski has spawned a 'Entity [389][ix_computer]'.
[17:47:52	][ME] hymel jadwiga: siedzi  na totalnej essie
[17:48:02	]Oktawiangr created the character 'aleksander jablonowski'
[17:48:03	]aleksander jablonowski has gained a 'Suitcase' #20.
[17:48:03	]aleksander jablonowski has gained a '#05189's Identity Card' #21.
[17:48:03	]aleksander jablonowski has gained a 'Brown Jumpsuit' #22.
[17:48:03	]aleksander jablonowski has gained a 'Grey Jumpsuit Trousers' #23.
[17:48:03	]aleksander jablonowski has gained a 'Worn Brown Shoes' #24.
[17:48:03	]Oktawiangr loaded the character 'aleksander jablonowski'
[17:48:13	][ME] William Cartwright: wpisuje pornhurb na internecie
[17:48:30	]Maciek Dąbrowski has spawned a 'Entity [389][ix_combinemonitor_tv]'.
[17:48:38	]Maciek Dąbrowski has spawned a 'Entity [405][ix_combinemonitor_small]'.
[17:48:42	][IC] hymel jadwiga: Ale masz zakola ja pierdole.
[17:48:44	]Maciek Dąbrowski has spawned a 'Entity [389][ix_combinemonitor]'.
[17:49:15	][IC] Maciek Dąbrowski: Debil.
[17:49:29	][IC] hymel jadwiga: Co tam śmieciu.
[17:49:29	]Maciek Dąbrowski has spawned a 'Entity [389][ix_cigarette]'.
[17:49:35	][IC] William Cartwright: No siema kurwo.
[17:49:38	][IC] hymel jadwiga: Morda kurwa.
[17:49:39	][IC] William Cartwright: Wyjmij kreta z cipy.
[17:49:42	][ME] hymel jadwiga: siedzi na essie
[17:49:48	][IC] William Cartwright: Wyjemiesz kreta z cipy?
[17:49:57	][IC] hymel jadwiga: Wypierdalaj białasie nie dam ci dupy.
[17:50:06	][IC] William Cartwright: Roksa pe el dziwko.
[17:50:08	]Maciek Dąbrowski has spawned a 'Entity [405][arcade_pacman]'.
