[15:31:53	]Recik has connected.
[15:32:56	]Recik loaded the character 'Konfident'
[15:33:01	]Konfident is fully healed.
[15:33:18	]Konfident ran 'drop' on item 'Whole Bread' (#2926)
[15:33:18	]Konfident has lost a 'Whole Bread' #2926.
[15:33:30	]Konfident entered observer.
[15:33:32	]Konfident ran 'take' on item 'Whole Bread' (#2926)
[15:33:32	]Konfident has gained a 'Whole Bread' #2926.
[15:33:39	]Konfident exited observer at their location.
[15:34:01	]Konfident ran 'drop' on item 'Soda Bob Grape' (#2803)
[15:34:01	]Konfident has lost a 'Soda Bob Grape' #2803.
[15:34:01	]Konfident ran 'drop' on item 'Soda Bob Surprise' (#2804)
[15:34:01	]Konfident has lost a 'Soda Bob Surprise' #2804.
[15:34:02	]Konfident ran 'drop' on item 'Worn Dark Shoes' (#2860)
[15:34:02	]Konfident has lost a 'Worn Dark Shoes' #2860.
[15:34:02	]Konfident ran 'drop' on item 'Bob Water Original' (#2802)
[15:34:02	]Konfident has lost a 'Bob Water Original' #2802.
[15:34:02	]Konfident ran 'drop' on item 'Whole Bread' (#2926)
[15:34:02	]Konfident has lost a 'Whole Bread' #2926.
[15:34:03	]Konfident ran 'drop' on item 'Salmon Steak' (#2925)
[15:34:03	]Konfident has lost a 'Salmon Steak' #2925.
[15:34:03	]Konfident ran 'drop' on item 'White Wine' (#2800)
[15:34:03	]Konfident has lost a 'White Wine' #2800.
[15:34:03	]Konfident ran 'drop' on item 'Zippo Lighter' (#2796)
[15:34:03	]Konfident has lost a 'Zippo Lighter' #2796.
[15:34:04	]Konfident ran 'drop' on item 'Scissors' (#2718)
[15:34:04	]Konfident has lost a 'Scissors' #2718.
[15:34:04	]Konfident ran 'drop' on item 'CWU PDA' (#2947)
[15:34:04	]Konfident has lost a 'CWU PDA' #2947.
[15:34:05	]Konfident ran 'drop' on item 'Fire Axe' (#2792)
[15:34:05	]Konfident has lost a 'Fire Axe' #2792.
[15:34:05	]Konfident ran 'drop' on item 'Cloth Rags' (#2709)
[15:34:05	]Konfident has lost a 'Cloth Rags' #2709.
[15:34:06	]Konfident ran 'drop' on item 'Sandwich' (#2799)
[15:34:06	]Konfident has lost a 'Sandwich' #2799.
[15:34:06	]Konfident ran 'drop' on item 'Sandwich' (#2798)
[15:34:06	]Konfident has lost a 'Sandwich' #2798.
[15:34:07	]Konfident ran 'drop' on item 'RAVE' (#2927)
[15:34:07	]Konfident has lost a 'RAVE' #2927.
[15:34:07	]Konfident ran 'drop' on item 'Glasses' (#1272)
[15:34:07	]Konfident has lost a 'Glasses' #1272.
[15:34:07	]Konfident ran 'drop' on item 'Learn Czech - Chapter 5 - An Audiobook' (#2945)
[15:34:07	]Konfident has lost a 'Learn Czech - Chapter 5 - An Audiobook' #2945.
[15:34:08	]Konfident ran 'drop' on item 'Burgundy' (#2946)
[15:34:08	]Konfident has lost a 'Burgundy' #2946.
[15:34:13	]Konfident has fired a toolgun with the name: remover
[15:34:13	]Konfident has fired a toolgun with the name: remover
[15:34:14	]Konfident has fired a toolgun with the name: remover
[15:34:14	]Konfident has fired a toolgun with the name: remover
[15:34:14	]Konfident has fired a toolgun with the name: remover
[15:34:15	]Konfident has fired a toolgun with the name: remover
[15:34:15	]Konfident has fired a toolgun with the name: remover
[15:34:16	]Konfident has fired a toolgun with the name: remover
[15:34:16	]Konfident has fired a toolgun with the name: remover
[15:34:17	]Konfident has fired a toolgun with the name: remover
[15:34:17	]Konfident has fired a toolgun with the name: remover
[15:34:18	]Konfident has fired a toolgun with the name: remover
[15:34:19	]Konfident has fired a toolgun with the name: remover
[15:34:19	]Konfident has fired a toolgun with the name: remover
