[17:27:40	]Pozytyw has connected.
[17:28:10	]Pozytyw loaded the character 'C24:RL.GRID-07'
[17:28:51	]C24:RL.GRID-07 ran 'take' on item 'Infestation Control Crate' (#3021)
[17:31:04	]C24:RL.GRID-07 entered observer.
[17:31:05	]C24:RL.GRID-07 exited observer at their location.
[17:31:37	]C24:RL.GRID-07 entered observer.
[17:31:39	]C24:RL.GRID-07 exited observer at their location.
[17:31:41	]C24:RL.GRID-07 entered observer.
[17:31:48	]C24:RL.GRID-07 exited observer at their location.
[17:31:48	]C24:RL.GRID-07 entered observer.
[17:31:52	]C24:RL.GRID-07 exited observer at their location.
[17:31:54	]C24:RL.GRID-07 entered observer.
[17:31:56	]C24:RL.GRID-07 exited observer at their location.
[17:32:02	]C24:RL.GRID-07 entered observer.
[17:32:03	]C24:RL.GRID-07 exited observer at their location.
[17:32:04	]C24:RL.GRID-07 entered observer.
[17:32:12	]C24:RL.GRID-07 exited observer at their location.
[17:32:15	]C24:RL.GRID-07 entered observer.
[17:32:45	]C24:RL.GRID-07 exited observer at their location.
[17:32:51	]C24:RL.GRID-07 entered observer.
[17:32:53	]C24:RL.GRID-07 exited observer at their location.
[17:32:56	]C24:RL.GRID-07 entered observer.
[17:32:58	]C24:RL.GRID-07 exited observer at their location.
[17:32:59	]C24:RL.GRID-07 entered observer.
[17:32:59	]C24:RL.GRID-07 exited observer at their location.
[17:33:01	]C24:RL.GRID-07 entered observer.
[17:33:28	]C24:RL.GRID-07 exited observer at their location.
[17:33:30	]C24:RL.GRID-07 entered observer.
[17:33:30	]C24:RL.GRID-07 exited observer at their location.
[17:33:31	]C24:RL.GRID-07 entered observer.
[17:33:37	]C24:RL.GRID-07 exited observer at their location.
[17:33:37	]C24:RL.GRID-07 entered observer.
[17:33:38	]C24:RL.GRID-07 exited observer at their location.
[17:33:40	]C24:RL.GRID-07 entered observer.
[17:33:41	]C24:RL.GRID-07 exited observer at their location.
[17:34:34	]C24:RL.GRID-07 entered observer.
[17:34:35	]C24:RL.GRID-07 exited observer at their location.
[17:34:38	]C24:RL.GRID-07 entered observer.
[17:34:39	]C24:RL.GRID-07 exited observer at their location.
[17:34:41	]C24:RL.GRID-07 entered observer.
[17:34:42	]C24:RL.GRID-07 exited observer at their location.
[17:34:43	]C24:RL.GRID-07 entered observer.
[17:34:44	]C24:RL.GRID-07 exited observer at their location.
[17:34:47	]C24:RL.GRID-07 entered observer.
[17:34:47	]C24:RL.GRID-07 exited observer at their location.
[17:34:48	]C24:RL.GRID-07 entered observer.
[17:34:51	]C24:RL.GRID-07 exited observer at their location.
[17:34:52	]C24:RL.GRID-07 entered observer.
[17:34:52	]C24:RL.GRID-07 exited observer at their location.
[17:34:55	]C24:RL.GRID-07 entered observer.
[17:34:57	]C24:RL.GRID-07 exited observer at their location.
[17:34:59	]C24:RL.GRID-07 entered observer.
[17:35:00	]C24:RL.GRID-07 exited observer at their location.
[17:35:00	]C24:RL.GRID-07 entered observer.
[17:35:01	]C24:RL.GRID-07 exited observer at their location.
[17:35:02	]C24:RL.GRID-07 entered observer.
[17:35:11	]C24:RL.GRID-07 exited observer at their location.
[17:35:12	]C24:RL.GRID-07 entered observer.
[17:35:14	]C24:RL.GRID-07 exited observer at their location.
[17:35:15	]C24:RL.GRID-07 entered observer.
[17:35:17	]C24:RL.GRID-07 exited observer at their location.
[17:35:19	]C24:RL.GRID-07 entered observer.
[17:35:19	]C24:RL.GRID-07 exited observer at their location.
[17:35:20	]C24:RL.GRID-07 entered observer.
[17:35:20	]C24:RL.GRID-07 exited observer at their location.
[17:35:23	]C24:RL.GRID-07 entered observer.
[17:35:47	]C24:RL.GRID-07 exited observer at their location.
[17:35:51	][IC] C24:RL.GRID-07: <:: Now. ::>
[17:35:52	][IC] C24:RL.GRID-07: <:: Wait. ::>
[17:35:55	][IC] C24:RL.GRID-07: <:: Run. ::>
[17:35:57	][IC] C24:RL.GRID-07: <:: Shit! ::>
[17:36:06	]C24:RL.GRID-07 used command '/ActArrest'.
[17:36:07	]C24:RL.GRID-07 used command '/ExitAct'.
[17:36:20	]C24:RL.GRID-07 used command '/ActCheck'.
[17:36:24	]C24:RL.GRID-07 used command '/ExitAct'.
