[20:24:46	]Snakeiter has connected.
[20:25:33	]Snakeiter loaded the character 'C24:i4.UNION-20'
[20:25:38	]C24:i4.UNION-20 is fully healed.
[20:25:56	]C24:i4.UNION-20 ran 'Equip' on item 'AUG A3' (#940)
[20:26:03	]C24:i4.UNION-20 ran 'unload' on item '36rnd AUG-magazine' (#2939)
[20:26:03	]C24:i4.UNION-20 has gained a 'Assault Rifle Bullets' #3553.
[20:26:06	]C24:i4.UNION-20 ran 'combine' on item '36rnd AUG-magazine' (#2939)
[20:26:07	]C24:i4.UNION-20 ran 'combine' on item '36rnd AUG-magazine' (#2939)
[20:26:09	]C24:i4.UNION-20 has lost a '36rnd AUG-magazine' #2939.
[20:26:12	]C24:i4.UNION-20 entered observer.
[20:26:20	]C24:i4.UNION-20 exited observer at their location.
[20:26:21	]C24:i4.UNION-20 entered observer.
[20:26:25	]C24:i4.UNION-20 exited observer at their location.
[20:26:37	]C24:i4.UNION-20 entered observer.
[20:26:52	]C24:i4.UNION-20 exited observer at their location.
[20:26:52	]C24:i4.UNION-20 entered observer.
[20:26:58	]C24:i4.UNION-20 exited observer at their location.
[20:27:35	]C24:i4.UNION-20 has pressed the "CA_SocialInfection" map button.
[20:27:41	]C24:i4.UNION-20 entered observer.
[20:31:03	]Snakeiter loaded the character 'S10:SCN-4'
[20:32:08	]S10:SCN-4 used command '/Dispatch gowno'.
[20:32:11	]S10:SCN-4 used command '/Dispatch gowno'.
[20:32:17	]Snakeiter has unloaded their "S10:SCN-4" character.
[20:32:23	]Snakeiter loaded the character 'gORDON fREEMAN'
[20:32:28	]gORDON fREEMAN is fully healed.
[20:32:29	]gORDON fREEMAN entered observer.
[20:33:37	]gORDON fREEMAN ran 'drop' on item 'Devil's Advocates Coat' (#3521)
[20:33:37	]gORDON fREEMAN has lost a 'Devil's Advocates Coat' #3521.
[20:33:41	]gORDON fREEMAN ran 'take' on item 'Devil's Advocates Coat' (#3521)
[20:33:41	]gORDON fREEMAN has gained a 'Devil's Advocates Coat' #3521.
[20:35:02	]gORDON fREEMAN exited observer at their location.
[20:35:05	]gORDON fREEMAN entered observer.
[20:35:06	]gORDON fREEMAN exited observer at their location.
[20:35:08	]gORDON fREEMAN entered observer.
[20:35:08	]gORDON fREEMAN exited observer at their location.
[20:35:09	]gORDON fREEMAN entered observer.
[20:35:10	]gORDON fREEMAN exited observer at their location.
[20:35:11	]gORDON fREEMAN entered observer.
[20:35:12	]gORDON fREEMAN exited observer at their location.
[20:35:18	]gORDON fREEMAN entered observer.
[20:35:18	]gORDON fREEMAN exited observer at their location.
[20:35:19	]gORDON fREEMAN entered observer.
[20:35:20	]gORDON fREEMAN exited observer at their location.
[20:35:21	]gORDON fREEMAN entered observer.
[20:35:22	]gORDON fREEMAN exited observer at their location.
[20:35:26	]gORDON fREEMAN entered observer.
[20:35:26	]gORDON fREEMAN exited observer at their location.
[20:35:28	]gORDON fREEMAN entered observer.
[20:35:29	]gORDON fREEMAN exited observer at their location.
[20:35:31	]gORDON fREEMAN entered observer.
[20:35:33	]gORDON fREEMAN exited observer at their location.
[20:35:34	]gORDON fREEMAN entered observer.
[20:36:16	]gORDON fREEMAN exited observer at their location.
[20:36:16	]gORDON fREEMAN entered observer.
[20:36:18	]gORDON fREEMAN exited observer at their location.
[20:36:19	]gORDON fREEMAN entered observer.
[20:36:19	]gORDON fREEMAN exited observer at their location.
[20:36:22	]gORDON fREEMAN entered observer.
[20:36:37	]gORDON fREEMAN exited observer at their location.
[20:36:38	]gORDON fREEMAN entered observer.
[20:36:42	]gORDON fREEMAN exited observer at their location.
[20:36:43	]gORDON fREEMAN entered observer.
[20:36:44	]gORDON fREEMAN exited observer at their location.
[20:36:46	]gORDON fREEMAN entered observer.
[20:36:48	]gORDON fREEMAN exited observer at their location.
[20:36:51	]gORDON fREEMAN entered observer.
[20:37:04	]gORDON fREEMAN exited observer at their location.
[20:37:27	]gORDON fREEMAN set thirdperson to '[true]'.
[20:37:45	]gORDON fREEMAN entered observer.
[20:37:49	]gORDON fREEMAN exited observer at their location.
[20:38:09	]gORDON fREEMAN entered observer.
[20:38:10	]gORDON fREEMAN exited observer at their location.
[20:38:11	]gORDON fREEMAN entered observer.
[20:38:11	]gORDON fREEMAN exited observer at their location.
[20:38:17	]Snakeiter has unloaded their "gORDON fREEMAN" character.
[20:38:21	]Snakeiter loaded the character 'C24:i4.UNION-20'
[20:38:29	]C24:i4.UNION-20 ran 'Equip' on item 'Combine PDA' (#893)
[20:39:33	]C24:i4.UNION-20 entered observer.
[20:39:36	]C24:i4.UNION-20 exited observer at their location.
[20:39:58	]C24:i4.UNION-20 entered observer.
[20:40:09	]C24:i4.UNION-20 exited observer at their location.
[20:40:15	]C24:i4.UNION-20 has spawned a 'Entity [413][ix_pickupterminal]'.
[20:40:21	]C24:i4.UNION-20 entered observer.
[20:40:50	]C24:i4.UNION-20 exited observer at their location.
[20:40:51	]C24:i4.UNION-20 entered observer.
[20:40:54	]C24:i4.UNION-20 has spawned a 'Entity [415][ix_discscanner]'.
[20:40:55	]C24:i4.UNION-20 exited observer at their location.
[20:40:56	]C24:i4.UNION-20 entered observer.
[20:41:00	]C24:i4.UNION-20 exited observer at their location.
[20:41:04	]C24:i4.UNION-20 has spawned a 'Entity [415][ix_terminal]'.
[20:41:24	]C24:i4.UNION-20 has spawned a 'Entity [417][ix_fabricator]'.
[20:41:29	]C24:i4.UNION-20 has spawned a 'Entity [417][ix_intercom]'.
[20:41:35	]C24:i4.UNION-20 has spawned a 'Entity [420][ix_computer]'.
[20:41:58	]C24:i4.UNION-20 has spawned a 'Entity [427][ix_console]'.
[20:42:15	]C24:i4.UNION-20 entered observer.
[20:43:18	]C24:i4.UNION-20 has given himself a card_deck.
[20:43:18	]C24:i4.UNION-20 has gained a '52-Card Deck' #3554.
[20:43:18	]C24:i4.UNION-20 has gained a 'Ace of Clubs' #3555.
[20:43:18	]C24:i4.UNION-20 has gained a '2 of Clubs' #3556.
[20:43:18	]C24:i4.UNION-20 has gained a '3 of Clubs' #3557.
[20:43:18	]C24:i4.UNION-20 has gained a '4 of Clubs' #3558.
[20:43:18	]C24:i4.UNION-20 has gained a '5 of Clubs' #3559.
