[18:38:02	]Lorf has connected.
[18:44:33	]Lorf loaded the character 'marta'
[18:44:35	]marta was knocked unconscious and is bleeding out.
[18:44:40	]marta ran SAM command 'slay' with arguments: '^'
[18:44:42	]marta entered observer.
[18:44:53	]marta exited observer at their location.
[18:44:57	]marta entered observer.
[18:45:28	]marta opened the 'Cash Register' #501 container.
[18:45:32	]marta closed the 'Cash Register' #501 container.
[18:45:39	]marta exited observer at their location.
[18:46:05	]marta has gained level 1 in the Prędkość skill.
[18:47:19	]marta entered observer.
[18:47:30	]marta exited observer at their location.
[18:47:31	]marta entered observer.
[18:48:11	]marta exited observer at their location.
[18:48:12	]marta entered observer.
[18:49:09	]marta has taken 10 damage from marta.
[18:49:09	]marta has taken 30 damage from marta.
[18:49:10	]marta has taken 24 damage from marta.
[18:49:11	]marta exited observer at their location.
[18:49:11	]marta was knocked unconscious and is bleeding out.
[18:49:12	]marta was killed while bleeding out.
[18:49:12	]marta has killed marta with arccw_thr_go_incendiary.
[18:49:14	]marta entered observer.
[18:49:42	]marta exited observer at their location.
[18:50:04	]marta entered observer.
[18:50:05	]marta exited observer at their location.
[18:50:06	]marta entered observer.
[18:50:08	]marta exited observer at their location.
[18:50:10	]marta entered observer.
[18:50:15	]marta exited observer at their location.
[18:50:16	]marta entered observer.
[18:50:18	]marta exited observer at their location.
[18:50:18	]marta entered observer.
[18:50:18	]marta exited observer at their location.
[18:50:20	]marta entered observer.
[18:50:21	]marta exited observer at their location.
[18:50:23	]marta entered observer.
[18:50:25	]marta exited observer at their location.
[18:50:25	]marta entered observer.
[18:50:26	]marta exited observer at their location.
[18:50:26	]marta entered observer.
[18:50:27	]marta exited observer at their location.
[18:50:28	]marta entered observer.
[18:50:29	]marta exited observer at their location.
[18:50:30	]marta entered observer.
[18:50:31	]marta exited observer at their location.
[18:50:33	]marta entered observer.
[18:50:43	]marta exited observer at their location.
[18:50:46	]marta entered observer.
[18:50:51	]marta exited observer at their location.
[18:50:52	]marta entered observer.
[18:50:56	]marta exited observer at their location.
[18:50:57	]marta entered observer.
[18:50:59	]marta exited observer at their location.
[18:51:00	]marta entered observer.
[18:51:00	]marta exited observer at their location.
[18:51:03	]marta entered observer.
[18:51:04	]marta exited observer at their location.
[18:51:07	]marta entered observer.
[18:51:08	]marta exited observer at their location.
[18:51:11	]marta entered observer.
[18:51:12	]marta exited observer at their location.
[18:51:15	]marta was knocked unconscious and is bleeding out.
[18:51:15	]marta entered observer.
[18:51:16	]marta was killed while bleeding out.
[18:51:16	]worldspawn has killed marta.
[18:51:18	]marta entered observer.
[18:51:34	]marta has spawned a 'NPC [428][npc_vj_hlr1a_hgrunt_serg]'.
[18:51:45	]marta has used a context menu option with the name: vj_pr_npc_slay
[18:51:51	]marta has used a context menu option with the name: remove
[18:51:53	]marta has used a context menu option with the name: remove
[18:51:55	]Lorf (STEAM_0:0:83902827) has disconnected.
[20:49:03	]tomasz hedzik has connected.
[20:49:36	]tomasz hedzik (STEAM_0:0:422062415) has disconnected.
[20:51:57	]tomasz hedzik has connected.
[20:57:10	]tomasz hedzik (STEAM_0:0:422062415) has disconnected.
[21:00:41	]tomasz hedzik has connected.
[21:03:32	]tomasz hedzik (STEAM_0:0:422062415) has disconnected.
[21:17:08	]tomasz hedzik has connected.
[21:18:39	]tomasz hedzik (STEAM_0:0:422062415) has disconnected.
[21:20:12	]tomasz hedzik has connected.
[21:22:19	]tomasz hedzik (STEAM_0:0:422062415) has disconnected.
[22:00:21	]tomasz hedzik has connected.
[22:01:28	]tomasz hedzik (STEAM_0:0:422062415) has disconnected.
[22:02:55	]tomasz hedzik has connected.
[22:05:05	]tomasz hedzik created the character 'Marcin Pulaski'
[22:05:05	]tomasz hedzik loaded the character 'Marcin Pulaski'
[22:05:06	]Marcin Pulaski has gained a '#98238's Identity Card' #3620.
[22:05:06	]Marcin Pulaski has gained a 'Black Jumpsuit' #3621.
[22:05:06	]Marcin Pulaski has gained a 'Red Jumpsuit Trousers' #3622.
[22:05:06	]Marcin Pulaski has gained a 'Brown Leather Boots' #3623.
[22:05:06	]Marcin Pulaski has gained a 'Glasses' #3624.
[22:10:35	]Marcin Pulaski has gone afk.
[22:12:40	]Marcin Pulaski is no longer afk. Total time spent AFK: 420
[22:12:42	]tomasz hedzik (STEAM_0:0:422062415) has disconnected.
[22:34:12	]tomasz hedzik has connected.
[22:36:27	]tomasz hedzik created the character 'Adrian Pulaski'
[22:36:28	]tomasz hedzik loaded the character 'Adrian Pulaski'
[22:36:28	]Adrian Pulaski has gained a '#99129's Identity Card' #3625.
[22:36:28	]Adrian Pulaski has gained a 'Blue Jumpsuit' #3626.
[22:36:28	]Adrian Pulaski has gained a 'Green Jumpsuit Trousers' #3627.
[22:36:28	]Adrian Pulaski has gained a 'Worn Brown Shoes' #3628.
[22:36:28	]Adrian Pulaski has gained a 'Glasses' #3629.
[22:41:57	]Adrian Pulaski has gone afk.
[22:43:12	]Adrian Pulaski is no longer afk. Total time spent AFK: 370
[22:43:48	]tomasz hedzik (STEAM_0:0:422062415) has disconnected.
