[19:17:24	]Recik has connected.
[19:18:12	]Recik loaded the character 'Rak d'
[19:18:15	]Rak d entered observer.
[19:30:30	]Rak d has spawned a mas_aux.
[19:30:31	]Rak d has spawned a uniform_auxcp.
[19:30:31	]Rak d exited observer at their location.
[19:30:33	]Rak d ran 'take' on item 'Auxiliary Unit Uniform' (#3838)
[19:30:33	]Rak d has gained a 'Auxiliary Unit Uniform' #3838.
[19:30:35	]Rak d ran 'take' on item 'Auxiliary CP Mask' (#3837)
[19:30:35	]Rak d has gained a 'Auxiliary CP Mask' #3837.
[19:31:17	]Rak d ran 'drop' on item 'Auxiliary CP Mask' (#3837)
[19:31:17	]Rak d has lost a 'Auxiliary CP Mask' #3837.
[19:31:19	]Rak d ran 'drop' on item 'Auxiliary Unit Uniform' (#3838)
[19:31:19	]Rak d has lost a 'Auxiliary Unit Uniform' #3838.
[19:31:53	]Rak d entered observer.
[19:37:44	]Lorf has connected.
[19:41:47	]Lorf loaded the character 'marta'
[19:41:59	]marta has given himself a mas_aux.
[19:41:59	]marta has gained a 'Auxiliary CP Mask' #3839.
[19:42:00	]marta has given himself a uniform_auxcp.
[19:42:00	]marta has gained a 'Auxiliary Unit Uniform' #3840.
[19:43:10	]Rak d has spawned a uniform_ocs.
[19:43:15	]marta has given himself a uniform_ocs.
[19:43:15	]marta has gained a 'Containment Uniform' #3842.
[19:43:30	]marta entered observer.
[19:43:32	]marta exited observer at their location.
[19:43:35	]Rak d exited observer at their location.
[19:43:39	]Rak d entered observer.
[19:46:20	]marta has given himself a uniform_charger.
[19:46:20	]marta has gained a 'OTA Charger Uniform' #3843.
[19:46:21	]marta has given himself a mask_ota.
[19:46:21	]marta has gained a 'OTA Mask' #3844.
[19:46:56	]marta has given himself a uniform_cp_qrf.
[19:46:56	]marta has gained a 'QRF Uniform' #3845.
[19:46:59	]marta has given himself a mask_com.
[19:46:59	]marta has gained a 'QRF Mask' #3846.
[19:47:11	]marta ran 'drop' on item 'QRF Mask' (#3846)
[19:47:11	]marta has lost a 'QRF Mask' #3846.
[19:47:16	]marta ran 'take' on item 'QRF Mask' (#3846)
[19:47:16	]marta has gained a 'QRF Mask' #3846.
[19:48:10	]marta opened the 'Cash Register' #500 container.
[19:48:13	]marta closed the 'Cash Register' #500 container.
[19:48:52	]Rak d has gone afk.
[19:49:22	]marta has given himself a uniform_cp_com.
[19:49:22	]marta has gained a 'CP Command Uniform' #3847.
[19:49:45	]Lorf (STEAM_0:0:83902827) has disconnected.
[20:18:57	]Rak d is no longer afk. Total time spent AFK: 2100
[20:19:04	]Rak d has spawned a fake_id_card_creator.
[20:19:08	]Rak d exited observer at their location.
[20:19:19	]Rak d has given himself a fake_id_card_creator.
[20:19:19	]Rak d has gained a 'Counterfeit Identity Card Creation Device' #3849.
[20:19:21	]Rak d ran 'CreateID' on item 'Counterfeit Identity Card Creation Device' (#3849)
[20:21:13	]Recik has unloaded their "Rak d" character.
[20:21:19	]Recik (STEAM_0:1:57940784) deleted character 'sddas asdadas'
[20:21:36	]Recik loaded the character 'Rak d'
[20:22:42	]Rak d ran 'CreateID' on item 'Counterfeit Identity Card Creation Device' (#3849)
[20:26:29	]Recik has unloaded their "Rak d" character.
[20:26:36	]Recik loaded the character 'Konfident'
[20:35:06	]Konfident has gone afk.
[20:40:35	]Recik has unloaded their "Konfident" character.
[20:40:36	]Recik is no longer afk. Total time spent AFK: 625
[20:40:40	]Recik loaded the character 'Rak d'
[20:40:47	]Rak d ran 'CreateID' on item 'Counterfeit Identity Card Creation Device' (#3849)
[20:43:39	]Recik has unloaded their "Rak d" character.
[20:43:52	]Recik loaded the character 'Rak d'
[20:47:39	]Rak d has given himself a fake_id_card.
[20:47:39	]Rak d has gained a '#00000's Identity Card' #3850.
[20:47:40	]Rak d has given himself a id_card.
[20:47:40	]Rak d has gained a '#00000's Identity Card' #3851.
