[09:57:43	]inkaaz has connected.
[09:58:33	]inkaaz loaded the character 'Satordi Lavoie'
[09:58:36	]Satordi Lavoie entered observer.
[09:58:45	]Satordi Lavoie exited observer at their location.
[09:58:46	]Satordi Lavoie entered observer.
[09:58:51	]inkaaz (STEAM_0:0:50287200) has disconnected.
[14:02:16	]Chogacz has connected.
[14:03:45	]Chogacz (STEAM_0:1:36976287) deleted character 'Galunga chujnga'
[14:03:47	]Chogacz loaded the character 'C24:RL.JURY-1'
[14:03:52	]C24:RL.JURY-1 is fully healed.
[14:04:11	]C24:RL.JURY-1 ran SAM command 'menu' with arguments: ''
[14:04:51	]C24:RL.JURY-1 used command '/PlyUnwhitelist STEAM_0:1:564147088 Civil Protection'.
[14:05:01	]C24:RL.JURY-1 used command '/PlyUnwhitelist 76561199088559905 Civil Protection'.
[14:05:05	]C24:RL.JURY-1 used command '/PlyUnwhitelist 76561199088559905 CP'.
[14:15:17	]C24:RL.JURY-1 przeszedł w tryb AFK.
[14:51:16	]tomasz hedzik has connected.
[14:52:15	]tomasz hedzik loaded the character 'Ingo Anasheim'
[14:52:19	]Ingo Anasheim is fully healed.
[14:52:34	]Ingo Anasheim used command '/PlyWhitelist ingo um'.
[14:52:40	]tomasz hedzik has unloaded their "Ingo Anasheim" character.
[14:53:01	]tomasz hedzik loaded the character 'Ingo Anasheim'
[14:53:03	]Ingo Anasheim used command '/PlyWhitelist ingo cmu'.
[14:53:12	]Ingo Anasheim used command '/PlyWhitelist ingo medical'.
[14:54:18	]Ingo Anasheim ran SAM command 'noclip' with arguments: ''
[14:54:25	]Ingo Anasheim ran SAM command 'goto' with arguments: 'jury'
[14:54:26	]Ingo Anasheim ran SAM command 'noclip' with arguments: ''
[14:54:28	][IC] Ingo Anasheim: DZIWKOO.
[14:54:32	]C24:RL.JURY-1 nie jest już AFK. Całkowity czas spędzony AFK:  2650
[14:56:23	]C24:RL.JURY-1 ran SAM command 'menu' with arguments: ''
[14:56:26	]C24:RL.JURY-1 ran SAM command 'goto' with arguments: '#2'
[14:56:35	][IC] C24:RL.JURY-1: <:: Zrob mi kurwa loda. ::>
[14:56:49	]C24:RL.JURY-1 has taken 5 damage from Ingo Anasheim.
[14:56:49	]Ingo Anasheim zranił C24:RL.JURY-1, zadając 5.0003 za pomocą ix_hands
[14:56:50	]C24:RL.JURY-1 used command '/ToggleRaise'.
[14:56:52	]Ingo Anasheim has taken 3 damage from worldspawn.
[14:56:54	]C24:RL.JURY-1 entered observer.
[14:56:54	]C24:RL.JURY-1 exited observer.
[14:57:01	]C24:RL.JURY-1 has taken 5 damage from Ingo Anasheim.
[14:57:01	]Ingo Anasheim zranił C24:RL.JURY-1, zadając 5.0006 za pomocą ix_hands
[14:57:01	]C24:RL.JURY-1 has critically hit Ingo Anasheim dealing 8 damage (CritChance was 0.86).
[14:57:01	]Ingo Anasheim has taken 7 damage from C24:RL.JURY-1.
[14:57:04	]C24:RL.JURY-1 has critically hit Ingo Anasheim dealing 8 damage (CritChance was 0.86).
[14:57:04	]Ingo Anasheim has taken 7 damage from C24:RL.JURY-1.
[14:57:06	]C24:RL.JURY-1 has critically hit Ingo Anasheim dealing 8 damage (CritChance was 0.86).
[14:57:06	]Ingo Anasheim has taken 7 damage from C24:RL.JURY-1.
[14:57:06	]C24:RL.JURY-1 has taken 5 damage from Ingo Anasheim.
[14:57:06	]Ingo Anasheim zranił C24:RL.JURY-1, zadając 5.0009 za pomocą ix_hands
[14:57:07	]C24:RL.JURY-1 has critically hit Ingo Anasheim dealing 8 damage (CritChance was 0.86).
[14:57:07	]Ingo Anasheim has taken 7 damage from C24:RL.JURY-1.
[14:57:07	]C24:RL.JURY-1 has taken 5 damage from Ingo Anasheim.
[14:57:07	]Ingo Anasheim zranił C24:RL.JURY-1, zadając 5.0012 za pomocą ix_hands
[14:57:07	]C24:RL.JURY-1 has critically hit Ingo Anasheim dealing 8 damage (CritChance was 0.86).
[14:57:07	]Ingo Anasheim has taken 7 damage from C24:RL.JURY-1.
[14:57:09	]C24:RL.JURY-1 has taken 5 damage from Ingo Anasheim.
[14:57:09	]Ingo Anasheim zranił C24:RL.JURY-1, zadając 5.0015 za pomocą ix_hands
[14:57:17	]C24:RL.JURY-1 has hit Ingo Anasheim dealing 8 damage (CritChance was 0.86).
[14:57:17	]Ingo Anasheim has taken 7 damage from C24:RL.JURY-1.
[14:57:24	]C24:RL.JURY-1 has hit Ingo Anasheim dealing 8 damage (CritChance was 0.86).
[14:57:24	]Ingo Anasheim has taken 7 damage from C24:RL.JURY-1.
[14:57:26	]C24:RL.JURY-1 has critically hit Ingo Anasheim dealing 8 damage (CritChance was 0.86).
[14:57:26	]Ingo Anasheim has taken 7 damage from C24:RL.JURY-1.
[14:57:26	]C24:RL.JURY-1 has taken 5 damage from Ingo Anasheim.
[14:57:26	]Ingo Anasheim zranił C24:RL.JURY-1, zadając 5.0018 za pomocą ix_hands
[14:57:27	]C24:RL.JURY-1 has critically hit Ingo Anasheim dealing 8 damage (CritChance was 0.86).
[14:57:27	]Ingo Anasheim has taken 7 damage from C24:RL.JURY-1.
[14:57:42	]C24:RL.JURY-1 has critically hit Ingo Anasheim dealing 8 damage (CritChance was 0.86).
[14:57:42	]Ingo Anasheim has taken 7 damage from C24:RL.JURY-1.
[14:57:45	]C24:RL.JURY-1 has taken 5 damage from Ingo Anasheim.
[14:57:45	]Ingo Anasheim zranił C24:RL.JURY-1, zadając 5.0021 za pomocą ix_hands
