[18:00:01	]Wenli has connected.
[18:00:41	]Wenli loaded the character 'Pierre Blum'
[18:00:45	]Pierre Blum entered observer.
[18:00:53	]Pierre Blum exited observer at their location.
[18:01:04	]Pierre Blum has given himself a improved_ration.
[18:01:04	]Pierre Blum has gained a 'Lepsza racja żywnościowa' #6700.
[18:01:05	]Pierre Blum has given himself a priority_ration.
[18:01:05	]Pierre Blum has gained a 'Priorytetowa racja żywnościowa Lojalisty' #6701.
[18:01:07	]Pierre Blum has given himself a ration.
[18:01:07	]Pierre Blum has gained a 'Racja żywnościowa' #6702.
[18:01:08	]Pierre Blum has given himself a civil_protection_ration.
[18:01:08	]Pierre Blum has gained a 'Racja żywnościowa Civil Protection' #6703.
[18:01:09	]Pierre Blum has given himself a loyalist_ration.
[18:01:09	]Pierre Blum has gained a 'Racja żywnościowa Lojalisty' #6704.
[18:01:10	]Pierre Blum has given himself a underclass_ration.
[18:01:10	]Pierre Blum has gained a 'Racja żywnościowa podklasy' #6705.
[18:01:11	]Pierre Blum has given himself a trueloyal_ration.
[18:01:11	]Pierre Blum has gained a 'Racja żywnościowa Prawdziwego Lojalisty' #6706.
[18:01:20	]Pierre Blum entered observer.
[18:01:23	]Pierre Blum exited observer at their location.
[18:02:16	]Pierre Blum has given himself a head_hardhat.
[18:02:16	]Pierre Blum has gained a 'Kask ochronny' #6707.
[18:02:22	]Pierre Blum has given himself a torso_labcoat.
[18:02:22	]Pierre Blum has gained a 'Fartuch laboratoryjny' #6708.
[18:02:23	]Pierre Blum has given himself a hands_medical_gloves.
[18:02:23	]Pierre Blum has gained a 'Rękawiczki medyczne' #6709.
[18:03:09	]Pierre Blum has given himself a cca_legs_elephant.
[18:03:09	]Pierre Blum has gained a 'Spodnie 'Kość Słoniowa'' #6710.
[18:03:18	]Pierre Blum entered observer.
[18:03:29	]Pierre Blum exited observer at their location.
[18:03:35	]Pierre Blum entered observer.
[18:03:39	]Pierre Blum exited observer at their location.
[18:03:40	]Pierre Blum entered observer.
[18:03:42	]Pierre Blum exited observer at their location.
[18:03:45	]Pierre Blum entered observer.
[18:03:45	]Pierre Blum exited observer at their location.
[18:03:54	]Pierre Blum ran 'Open' on item 'Racja żywnościowa podklasy' (#6705)
[18:03:54	]Pierre Blum has gained a 'Syntetyczna papka' #6711.
[18:03:54	]Pierre Blum has gained a 'Woda Breena' #6712.
[18:03:56	]Pierre Blum ran 'drop' on item 'Syntetyczna papka' (#6711)
[18:03:56	]Pierre Blum has lost a 'Syntetyczna papka' #6711.
[18:03:58	]Pierre Blum ran 'drop' on item 'Woda Breena' (#6712)
[18:03:58	]Pierre Blum has lost a 'Woda Breena' #6712.
[18:04:09	]Pierre Blum ran 'Consume' on item 'Syntetyczna papka' (#6711)
[18:04:09	]Pierre Blum has gained a 'Pusty słoik' #6713.
[18:04:12	]Pierre Blum ran 'Consume' on item 'Woda Breena' (#6712)
[18:04:12	]Pierre Blum has gained a 'Pusta puszka po wodzie Breen'a' #6714.
[18:04:14	]Pierre Blum ran 'drop' on item 'Pusta puszka po wodzie Breen'a' (#6714)
[18:04:14	]Pierre Blum has lost a 'Pusta puszka po wodzie Breen'a' #6714.
[18:04:26	]Pierre Blum ran 'Open' on item 'Racja żywnościowa' (#6702)
[18:04:26	]Pierre Blum has gained a 'Syntetyczna papka' #6715.
[18:04:26	]Pierre Blum has gained a 'Woda Breena' #6716.
[18:04:26	]Pierre Blum has gained a 'Podstawowy kupon na Kredyty.' #6717.
[18:04:28	]Pierre Blum ran 'drop' on item 'Syntetyczna papka' (#6715)
[18:04:28	]Pierre Blum has lost a 'Syntetyczna papka' #6715.
[18:04:31	]Pierre Blum ran 'drop' on item 'Pusty słoik' (#6713)
[18:04:31	]Pierre Blum has lost a 'Pusty słoik' #6713.
[18:04:35	]Pierre Blum ran 'Consume' on item 'Syntetyczna papka' (#6715)
[18:04:35	]Pierre Blum has gained a 'Pusty słoik' #6718.
[18:04:37	]Pierre Blum ran 'Consume' on item 'Woda Breena' (#6716)
[18:04:37	]Pierre Blum has gained a 'Pusta puszka po wodzie Breen'a' #6719.
[18:04:38	]Pierre Blum ran 'drop' on item 'Pusta puszka po wodzie Breen'a' (#6719)
[18:04:38	]Pierre Blum has lost a 'Pusta puszka po wodzie Breen'a' #6719.
[18:04:41	]Pierre Blum ran 'drop' on item 'Pusty słoik' (#6718)
[18:04:41	]Pierre Blum has lost a 'Pusty słoik' #6718.
