[01:35:27	]Oktawiangr has connected.
[01:37:03	]Oktawiangr loaded the character 'Oktawiangr'
[01:37:08	]Oktawiangr is fully healed.
[01:37:26	]Oktawiangr entered observer.
[01:37:33	]Oktawiangr exited observer at their location.
[01:37:52	]Oktawiangr loaded the character 'Andrzej Lepper'
[01:37:54	]Andrzej Lepper entered observer.
[01:37:58	]Andrzej Lepper exited observer at their location.
[01:38:04	]Andrzej Lepper used command '/CharGiveFlag lepper petru'.
[01:38:06	]Andrzej Lepper entered observer.
[01:38:16	]Andrzej Lepper exited observer at their location.
[01:38:17	]Andrzej Lepper entered observer.
[01:38:44	]Andrzej Lepper exited observer at their location.
[01:38:44	]Andrzej Lepper entered observer.
[01:38:50	]Andrzej Lepper exited observer at their location.
[01:39:01	]Andrzej Lepper has spawned a 'Entity [292][ent_mannable_fiery]'.
[01:39:06	]Andrzej Lepper has spawned a 'Entity [292][ent_mannable_hmg]'.
[01:39:20	]Andrzej Lepper entered observer.
[01:39:21	]Andrzej Lepper exited observer at their location.
[01:39:43	]Andrzej Lepper has spawned a 'Entity [293][ix_teleporter]'.
[01:39:59	]Andrzej Lepper has spawned a 'Entity [293][ix_vendor]'.
[01:40:01	]Andrzej Lepper has used a context menu option with the name: vendor_edit
[01:43:41	]Andrzej Lepper used the 'John Doe' vendor.
[01:43:43	]Andrzej Lepper has gained 0 zetony.
[01:43:43	]Andrzej Lepper has gained a 'Pomarańczowy uniform roboczy' #6758.
[01:44:07	]Andrzej Lepper used the 'John Doe' vendor.
[01:44:09	]Andrzej Lepper has gained 0 zetony.
[01:44:09	]Andrzej Lepper has gained a 'Uniform roboczy' #6759.
[01:44:10	]Andrzej Lepper has gained 0 zetony.
[01:44:10	]Andrzej Lepper has gained a 'Szara kurtka robotnicza' #6760.
[01:44:13	]Andrzej Lepper has gained 0 zetony.
[01:44:13	]Andrzej Lepper has gained a 'Ciężka zielona kamizelka' #6761.
[01:44:14	]Andrzej Lepper has gained 0 zetony.
[01:44:14	]Andrzej Lepper has gained a 'Wzmocniona zielona kamizelka' #6762.
[01:44:15	]Andrzej Lepper has gained 0 zetony.
[01:44:15	]Andrzej Lepper has gained a 'Lekka zielona kamizelka' #6763.
[01:44:16	]Andrzej Lepper has gained 0 zetony.
[01:44:16	]Andrzej Lepper has gained a 'Hełm' #6764.
[01:44:20	]Andrzej Lepper has gained 0 zetony.
[01:44:20	]Andrzej Lepper has gained a 'Casualowa zielona kurtka' #6765.
[01:44:55	]Andrzej Lepper used the 'John Doe' vendor.
[01:45:00	]Andrzej Lepper has gained 0 zetony.
[01:45:00	]Andrzej Lepper has gained a 'Lekka zielona kamizelka' #6766.
[01:45:26	]Andrzej Lepper used the 'John Doe' vendor.
[01:47:52	]Andrzej Lepper used the 'John Doe' vendor.
[01:47:56	]Andrzej Lepper has used a context menu option with the name: vendor_edit
[01:48:25	]Oktawiangr loaded the character 'Oktawiangr'
[01:48:26	]Oktawiangr entered observer.
[01:48:35	]Oktawiangr exited observer at their location.
[01:48:35	]Oktawiangr entered observer.
[01:48:36	]Oktawiangr exited observer at their location.
[01:48:37	]Oktawiangr entered observer.
[01:48:37	]Oktawiangr exited observer at their location.
[01:48:38	]Oktawiangr entered observer.
[01:48:44	]Oktawiangr exited observer at their location.
[01:48:45	]Oktawiangr used the 'John Doe' vendor.
[01:48:47	]Oktawiangr has gained 0 zetony.
[01:48:47	]Oktawiangr has gained a 'Hełm' #6767.
[01:49:08	]Oktawiangr used command '/CharGiveFlag oktawiangr petru'.
[01:49:12	]Oktawiangr has fired a toolgun with the name: camera
[01:50:48	]Oktawiangr used the 'John Doe' vendor.
[01:50:53	]Oktawiangr has used a context menu option with the name: vendor_edit
[01:52:38	]Oktawiangr entered observer.
[01:52:41	]Oktawiangr exited observer at their location.
[01:54:47	]Oktawiangr entered observer.
[01:54:56	]Oktawiangr has used a context menu option with the name: remove
[01:55:11	]Oktawiangr exited observer at their location.
[01:55:11	]Oktawiangr entered observer.
[01:55:33	]Oktawiangr exited observer at their location.
[01:55:34	]Oktawiangr entered observer.
[01:55:34	]Oktawiangr exited observer at their location.
[01:55:36	]Oktawiangr entered observer.
[01:56:59	]Oktawiangr exited observer at their location.
[01:57:02	]Oktawiangr entered observer.
[01:57:05	]Oktawiangr exited observer at their location.
[01:57:06	]Oktawiangr entered observer.
[01:57:37	]Oktawiangr exited observer at their location.
[01:57:38	]Oktawiangr entered observer.
[01:58:35	]Oktawiangr exited observer at their location.
[01:58:35	]Oktawiangr entered observer.
[01:59:32	]Oktawiangr exited observer at their location.
[01:59:33	]Oktawiangr has taken 0 damage from worldspawn.
[01:59:33	]Oktawiangr entered observer.
[01:59:38	]Oktawiangr exited observer at their location.
[01:59:49	]Oktawiangr entered observer.
[02:00:19	]Oktawiangr exited observer at their location.
[02:00:34	]Oktawiangr entered observer.
[02:00:41	]Oktawiangr exited observer at their location.
[02:00:47	]Oktawiangr entered observer.
[02:00:51	]Oktawiangr exited observer at their location.
[02:00:55	]Oktawiangr has fired a toolgun with the name: camera
[02:00:56	]Oktawiangr entered observer.
[02:01:12	]Oktawiangr exited observer at their location.
[02:01:39	]Oktawiangr entered observer.
[02:01:39	]Oktawiangr exited observer at their location.
[02:01:40	]Oktawiangr entered observer.
[02:01:43	]Oktawiangr exited observer at their location.
[02:01:44	]Oktawiangr entered observer.
[02:01:45	]Oktawiangr exited observer at their location.
[02:02:24	]Oktawiangr entered observer.
[02:03:14	]Oktawiangr is fully healed.
[02:08:26	]Oktawiangr exited observer at their location.
[02:08:29	]Oktawiangr entered observer.
[02:10:40	]Oktawiangr exited observer at their location.
[02:11:03	]Oktawiangr entered observer.
[02:11:32	]Oktawiangr exited observer at their location.
[02:12:09	]Oktawiangr entered observer.
[02:12:16	]Oktawiangr exited observer at their location.
[02:15:26	]Oktawiangr entered observer.
[02:15:32	]Oktawiangr exited observer at their location.
[02:16:25	]Oktawiangr entered observer.
[02:16:37	]Oktawiangr exited observer at their location.
[02:16:53	]Oktawiangr entered observer.
[02:16:55	]Oktawiangr exited observer at their location.
[02:17:31	]Oktawiangr entered observer.
[02:17:32	]Oktawiangr exited observer at their location.
[02:17:32	]Oktawiangr entered observer.
[02:17:33	]Oktawiangr exited observer at their location.
[02:20:04	]Oktawiangr entered observer.
[02:20:06	]Oktawiangr exited observer at their location.
[02:20:10	]Oktawiangr entered observer.
[02:20:11	]Oktawiangr exited observer at their location.
[02:21:06	]Oktawiangr entered observer.
[02:27:26	]Oktawiangr exited observer at their location.
[02:27:26	]Oktawiangr entered observer.
[02:27:27	]Oktawiangr exited observer at their location.
[02:27:28	]Oktawiangr has taken 67 damage from worldspawn.
[02:27:28	]Oktawiangr entered observer.
[02:27:29	]Oktawiangr exited observer at their location.
[02:27:29	]Oktawiangr entered observer.
[02:29:13	]Oktawiangr exited observer at their location.
[02:29:13	]Oktawiangr entered observer.
[02:29:14	]Oktawiangr exited observer at their location.
[02:29:15	]Oktawiangr entered observer.
[02:29:28	]Oktawiangr exited observer at their location.
[02:29:37	]Oktawiangr entered observer.
[02:30:25	]Oktawiangr exited observer at their location.
[02:30:27	]Oktawiangr entered observer.
[02:31:52	]Oktawiangr exited observer at their location.
[02:31:52	]Oktawiangr entered observer.
[02:32:00	]Oktawiangr exited observer at their location.
[02:32:01	]Oktawiangr entered observer.
[02:32:21	]Oktawiangr exited observer at their location.
[02:32:21	]Oktawiangr entered observer.
[02:32:23	]Oktawiangr exited observer at their location.
[02:32:24	]Oktawiangr entered observer.
[02:32:46	]Oktawiangr exited observer at their location.
[02:32:49	]Oktawiangr entered observer.
[02:32:50	]Oktawiangr exited observer at their location.
[02:32:57	]Oktawiangr entered observer.
[02:32:59	]Oktawiangr exited observer at their location.
[02:33:01	]Oktawiangr entered observer.
[02:34:27	]Szaliwun has connected.
[02:38:30	]Oktawiangr exited observer at their location.
[02:38:30	]Oktawiangr entered observer.
[02:39:11	]Szaliwun loaded the character 'Henry Malarky'
[02:39:16	]Henry Malarky is fully healed.
[02:39:35	]Henry Malarky used command '/CharFallOver 1'.
[02:39:41	]Henry Malarky entered observer.
[02:39:42	]Henry Malarky exited observer at their location.
[02:40:21	]Henry Malarky ran 'EquipUn' on item 'Filtr Kombinatu' (#6605)
[02:40:24	]Henry Malarky entered observer.
[02:40:41	]Henry Malarky exited observer at their location.
[02:40:50	]Oktawiangr exited observer at their location.
[02:40:53	]Oktawiangr entered observer.
[02:40:56	]Oktawiangr exited observer at their location.
[02:40:57	]Oktawiangr entered observer.
[02:41:03	]Henry Malarky entered observer.
[02:41:04	]Henry Malarky exited observer at their location.
[02:41:06	]Henry Malarky entered observer.
[02:41:15	]Oktawiangr exited observer at their location.
[02:41:20	]Oktawiangr entered observer.
[02:41:22	]Henry Malarky exited observer at their location.
[02:41:24	]Oktawiangr exited observer at their location.
[02:41:27	]Henry Malarky entered observer.
[02:41:28	]Oktawiangr entered observer.
[02:41:28	]Oktawiangr exited observer at their location.
[02:41:28	]Oktawiangr entered observer.
[02:41:29	]Oktawiangr exited observer at their location.
[02:41:30	]Henry Malarky exited observer at their location.
[02:41:37	]Henry Malarky used command '/CharFallOver 1'.
[02:41:50	]Henry Malarky entered observer.
[02:41:51	]Henry Malarky exited observer at their location.
[02:42:21	]Oktawiangr entered observer.
[02:42:23	]Oktawiangr exited observer at their location.
[02:42:28	]Henry Malarky entered observer.
[02:42:29	]Henry Malarky exited observer at their location.
[02:42:51	]Henry Malarky entered observer.
[02:42:52	]Henry Malarky exited observer at their location.
[02:42:59	]Oktawiangr entered observer.
[02:42:59	]Henry Malarky entered observer.
[02:43:01	]Henry Malarky exited observer at their location.
[02:43:03	]Henry Malarky entered observer.
[02:43:04	]Henry Malarky exited observer at their location.
[02:43:09	]Oktawiangr exited observer at their location.
[02:43:10	]Henry Malarky entered observer.
[02:43:13	]Oktawiangr entered observer.
[02:43:14	]Henry Malarky exited observer at their location.
[02:43:17	]Henry Malarky entered observer.
[02:43:20	]Henry Malarky exited observer at their location.
[02:43:20	]Oktawiangr exited observer at their location.
[02:43:24	]Oktawiangr entered observer.
[02:43:25	]Henry Malarky entered observer.
[02:43:28	]Oktawiangr exited observer at their location.
[02:43:28	]Henry Malarky exited observer at their location.
[02:43:28	]Oktawiangr entered observer.
[02:43:30	]Henry Malarky entered observer.
[02:43:32	]Oktawiangr exited observer at their location.
[02:43:36	]Oktawiangr entered observer.
[02:43:41	]Henry Malarky exited observer at their location.
[02:43:52	]Henry Malarky used command '/CharGiveItem malarky rappel 1'.
[02:44:01	]Henry Malarky used command '/CharGiveItem malarky gear 1'.
[02:44:09	]Oktawiangr exited observer at their location.
[02:44:13	]Henry Malarky used command '/CharGiveItem malarky rappel gear'.
[02:44:59	]Oktawiangr ran SAM command 'menu' with arguments: ''
[02:45:03	]Henry Malarky used command '/CharGiveItem malarky rappel_gear 1'.
[02:45:03	]Henry Malarky has gained a 'Sprzęt zjazdowy' #6768.
[02:45:06	]Henry Malarky ran 'Equip' on item 'Sprzęt zjazdowy' (#6768)
[02:45:08	]Oktawiangr ran SAM command 'hp' with arguments: '#1' '100'
[02:45:09	]Oktawiangr is fully healed.
[02:45:21	]Henry Malarky entered observer.
[02:45:21	]Oktawiangr entered observer.
[02:45:22	]Oktawiangr exited observer at their location.
[02:45:24	]Oktawiangr entered observer.
[02:45:29	]Henry Malarky exited observer at their location.
[02:45:30	]Oktawiangr exited observer at their location.
[02:45:30	]Oktawiangr entered observer.
[02:45:32	]Henry Malarky entered observer.
