[10:41:31	]Deadasf has connected.
[10:42:12	]Deadasf loaded the character 'C24:UNION:i1:Roller-7762'
[10:42:19	]C24:UNION:i1:Roller-7762 entered observer.
[10:42:19	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:42:21	]C24:UNION:i1:Roller-7762 entered observer.
[10:42:23	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:42:25	]C24:UNION:i1:Roller-7762 entered observer.
[10:42:27	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:42:28	]C24:UNION:i1:Roller-7762 entered observer.
[10:42:29	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:42:30	]C24:UNION:i1:Roller-7762 entered observer.
[10:42:33	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:42:35	]C24:UNION:i1:Roller-7762 entered observer.
[10:43:34	]C24:UNION:i1:Roller-7762 used command '/ShowAllApartments'.
[10:44:56	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:44:56	]C24:UNION:i1:Roller-7762 entered observer.
[10:44:59	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:45:00	]C24:UNION:i1:Roller-7762 entered observer.
[10:45:06	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:45:16	]C24:UNION:i1:Roller-7762 has dropped: CP Mask (#879); 1x Adhesive (#919); CP Rank Leader Uniform (#878);
[10:45:16	]C24:UNION:i1:Roller-7762 ran SAM command 'slay' with arguments: '^'
[10:45:20	]C24:UNION:i1:Roller-7762 ran SAM command 'slay' with arguments: '^'
[10:45:23	]C24:UNION:i1:Roller-7762 ran SAM command 'slay' with arguments: '^'
[10:45:27	]C24:UNION:i1:Roller-7762 entered observer.
[10:45:36	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:46:15	]C24:UNION:i1:Roller-7762 has spawned a uniform_com.
[10:46:16	]C24:UNION:i1:Roller-7762 has spawned a mask_cp.
[10:46:18	]C24:UNION:i1:Roller-7762 ran 'take' on item 'CP Rank Leader Uniform' (#924)
[10:46:18	]C24:UNION:i1:Roller-7762 has gained a 'CP Rank Leader Uniform' #924.
[10:46:19	]C24:UNION:i1:Roller-7762 ran 'take' on item 'CP Mask' (#925)
[10:46:19	]C24:UNION:i1:Roller-7762 has gained a 'CP Mask' #925.
[10:46:36	]C24:UNION:i1:Roller-7762 ran 'Equip' on item 'Combine PDA' (#703)
[10:47:01	]C24:UNION:i1:Roller-7762 entered observer.
[10:47:10	]C24:UNION:i1:Roller-7762 exited observer at their location.
[10:48:01	]C24:UNION:i1:Roller-7762 entered observer.
