[13:59:42	]crat has connected.
[14:01:52	]crat (STEAM_0:0:220566387) deleted character 'C24:SCN-2'
[14:01:56	]crat (STEAM_0:0:220566387) deleted character 'event char'
[14:29:15	]crat loaded the character 'Emmanuel Garnier'
[14:34:45	]Emmanuel Garnier has gone afk.
[14:40:50	]Emmanuel Garnier is no longer afk. Total time spent AFK: 660
[14:40:50	]Emmanuel Garnier has fired a toolgun with the name: camera
[14:40:59	]Emmanuel Garnier has used a context menu option with the name: remove
[14:41:21	]Emmanuel Garnier entered observer.
[14:41:22	]Emmanuel Garnier exited observer at their location.
[14:43:17	]crat (STEAM_0:0:220566387) has disconnected.
[20:00:09	]AuTiSTiC has connected.
[20:00:47	]AuTiSTiC loaded the character 'Ellie Stell'
[20:00:50	]Ellie Stell entered observer.
[20:00:51	]Ellie Stell exited observer at their location.
[20:00:55	]Ellie Stell ran SAM command 'menu' with arguments: ''
[20:01:38	]Ellie Stell entered observer.
[20:03:53	]Ellie Stell ran SAM command 'menu' with arguments: ''
[20:06:49	]Ellie Stell has used a context menu option with the name: rb655_door_unlock
[20:06:51	]Ellie Stell exited observer at their location.
[20:06:52	]Ellie Stell entered observer.
[20:06:54	]Ellie Stell exited observer at their location.
[20:06:55	]Ellie Stell entered observer.
[20:07:27	]Ellie Stell ran SAM command 'menu' with arguments: ''
[20:08:09	][IC] Ellie Stell: !rank.
[20:08:20	]Ellie Stell ran SAM command 'menu' with arguments: ''
[20:09:13	]Ellie Stell exited observer at their location.
[20:09:18	]Ellie Stell entered observer.
[20:09:21	]Ellie Stell exited observer at their location.
[20:09:24	]Ellie Stell entered observer.
[20:09:25	]Ellie Stell exited observer at their location.
[20:09:30	]Ellie Stell has fired a toolgun with the name: creator
[20:09:30	]Ellie Stell has spawned a 'Entity [1820][ix_customvendingmachine]'.
[20:09:37	]Ellie Stell ran 'take' on item 'Vending Machine Key' (#15249)
[20:09:37	]Ellie Stell has gained a 'Vending Machine Key' #15249.
[20:09:38	]Ellie Stell ran 'take' on item 'Vending Machine Key' (#15250)
[20:09:38	]Ellie Stell has gained a 'Vending Machine Key' #15250.
[20:09:40	]Ellie Stell ran 'take' on item 'Vending Machine Key' (#15251)
[20:09:40	]Ellie Stell has gained a 'Vending Machine Key' #15251.
[20:09:49	]Ellie Stell has used a context menu option with the name: skin
[20:09:51	]Ellie Stell has used a context menu option with the name: skin
[20:09:52	]Ellie Stell has used a context menu option with the name: skin
[20:09:56	]Ellie Stell has used a context menu option with the name: skin
[20:09:59	]Ellie Stell has used a context menu option with the name: skin
[20:10:06	]Ellie Stell has used a context menu option with the name: skin
[20:10:11	]Ellie Stell has used a context menu option with the name: skin
[20:10:16	]Ellie Stell has used a context menu option with the name: skin
[20:10:38	]Ellie Stell used command '/TextAdd 2269'.
[20:10:41	]Ellie Stell entered observer.
[20:10:46	]Ellie Stell exited observer at their location.
[20:10:55	]Ellie Stell ran 'Insert' on item 'Vending Machine Key' (#15250)
[20:11:07	]Ellie Stell has given himself a ciggie_pack.
[20:11:07	]Ellie Stell has gained a 'Benefactor Edition Sigara Paketi' #15252.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15253.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15254.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15255.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15256.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15257.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15258.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15259.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15260.
[20:11:07	]Ellie Stell has given himself a ciggie_pack.
[20:11:07	]Ellie Stell has gained a 'Benefactor Edition Sigara Paketi' #15261.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15262.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15263.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15264.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15265.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15266.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15267.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15268.
[20:11:07	]Ellie Stell has gained a 'Sigara' #15269.
[20:11:08	]Ellie Stell has given himself a ciggie_pack.
[20:11:08	]Ellie Stell has gained a 'Benefactor Edition Sigara Paketi' #15270.
[20:11:08	]Ellie Stell has gained a 'Sigara' #15271.
[20:11:08	]Ellie Stell has gained a 'Sigara' #15272.
[20:11:08	]Ellie Stell has gained a 'Sigara' #15273.
[20:11:08	]Ellie Stell has gained a 'Sigara' #15274.
[20:11:08	]Ellie Stell has gained a 'Sigara' #15275.
[20:11:08	]Ellie Stell has gained a 'Sigara' #15276.
[20:11:08	]Ellie Stell has gained a 'Sigara' #15277.
[20:11:08	]Ellie Stell has gained a 'Sigara' #15278.
[20:11:09	]Ellie Stell has given himself a ciggie_pack.
[20:11:09	]Ellie Stell has gained a 'Benefactor Edition Sigara Paketi' #15279.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15280.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15281.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15282.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15283.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15284.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15285.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15286.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15287.
[20:11:09	]Ellie Stell has given himself a ciggie_pack.
[20:11:09	]Ellie Stell has gained a 'Benefactor Edition Sigara Paketi' #15288.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15289.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15290.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15291.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15292.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15293.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15294.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15295.
[20:11:09	]Ellie Stell has gained a 'Sigara' #15296.
[20:11:10	]Ellie Stell has given himself a ciggie_pack.
[20:11:10	]Ellie Stell has gained a 'Benefactor Edition Sigara Paketi' #15297.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15298.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15299.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15300.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15301.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15302.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15303.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15304.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15305.
[20:11:10	]Ellie Stell has given himself a ciggie_pack.
[20:11:10	]Ellie Stell has gained a 'Benefactor Edition Sigara Paketi' #15306.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15307.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15308.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15309.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15310.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15311.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15312.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15313.
[20:11:10	]Ellie Stell has gained a 'Sigara' #15314.
[20:11:23	]Ellie Stell has transferred a 'Benefactor Edition Sigara Paketi' #15297 to a container with the name 'Vending Machine' #2269.
[20:11:23	]Ellie Stell has transferred a 'Benefactor Edition Sigara Paketi' #15288 to a container with the name 'Vending Machine' #2269.
[20:11:24	]Ellie Stell has transferred a 'Benefactor Edition Sigara Paketi' #15279 to a container with the name 'Vending Machine' #2269.
[20:11:26	]Ellie Stell has transferred a 'Benefactor Edition Sigara Paketi' #15270 to a container with the name 'Vending Machine' #2269.
[20:11:27	]Ellie Stell has transferred a 'Benefactor Edition Sigara Paketi' #15261 to a container with the name 'Vending Machine' #2269.
[20:11:28	]Ellie Stell has transferred a 'Benefactor Edition Sigara Paketi' #15252 to a container with the name 'Vending Machine' #2269.
[20:11:29	]Ellie Stell has transferred a 'Benefactor Edition Sigara Paketi' #15306 to a container with the name 'Vending Machine' #2269.
[20:11:33	]Ellie Stell has given himself a ciggie_pack.
[20:11:33	]Ellie Stell has gained a 'Benefactor Edition Sigara Paketi' #15315.
[20:11:33	]Ellie Stell has gained a 'Sigara' #15316.
[20:11:33	]Ellie Stell has gained a 'Sigara' #15317.
[20:11:33	]Ellie Stell has gained a 'Sigara' #15318.
[20:11:33	]Ellie Stell has gained a 'Sigara' #15319.
