[15:07:53	]Loxy has connected.
[15:08:40	]Loxy loaded the character 'C24:RCT.YELLO-81'
[15:08:54	]C24:RCT.YELLO-81 has spawned a 'Entity [1995][ix_batterycharger]'.
[15:09:01	]C24:RCT.YELLO-81 has spawned a 'Entity [1996][ix_fabricator]'.
[15:09:30	]C24:RCT.YELLO-81 has spawned a 'Entity [1995][ix_fabricator]'.
[15:09:34	]C24:RCT.YELLO-81 has spawned a 'Entity [1996][ix_scanner]'.
[15:09:38	]C24:RCT.YELLO-81 entered observer.
[15:09:38	]C24:RCT.YELLO-81 exited observer.
[15:09:49	]C24:RCT.YELLO-81 has spawned a 'Entity [1995][ix_discscanner]'.
[15:10:01	]Loxy loaded the character 'Jack Heathrow'
[15:10:06	]Jack Heathrow has spawned a 'Entity [1995][ix_infestation_tank]'.
[15:10:07	]Jack Heathrow has spawned a 'Entity [1996][ix_fabricator]'.
[15:11:01	]Jack Heathrow has given himself a datadisc.
[15:11:01	]Jack Heathrow has gained a 'Data-Disc' #5845.
[15:11:03	]Jack Heathrow has spawned a 'Entity [1996][ix_fabricator]'.
[15:11:11	]Jack Heathrow has spawned a 'Entity [1996][ix_discscanner]'.
[15:11:15	]Jack Heathrow has spawned a 'Entity [1997][ix_batterycharger]'.
[15:11:20	]Jack Heathrow has spawned a combinebattery.
[15:11:21	]Jack Heathrow has given himself a combinebattery.
[15:11:21	]Jack Heathrow has gained a 'Combine Battery' #5847.
[15:11:22	]Jack Heathrow has given himself a combinebattery.
[15:11:22	]Jack Heathrow has gained a 'Combine Battery' #5848.
[15:11:28	]Jack Heathrow ran 'SetFullCharge' on item 'Combine Battery' (#5846)
[15:11:29	]Jack Heathrow ran 'SetFullCharge' on item 'Combine Battery' (#5846)
[15:11:34	]Jack Heathrow has given himself a combinebattery.
[15:11:34	]Jack Heathrow has gained a 'Combine Battery' #5849.
[15:11:35	]Jack Heathrow ran 'take' on item 'Combine Battery' (#5846)
[15:11:35	]Jack Heathrow has gained a 'Combine Battery' #5846.
[15:11:39	]Jack Heathrow ran 'drop' on item 'Combine Battery' (#5846)
[15:11:39	]Jack Heathrow has lost a 'Combine Battery' #5846.
[15:11:51	]Jack Heathrow ran 'drop' on item 'Data-Disc' (#5845)
[15:11:51	]Jack Heathrow has lost a 'Data-Disc' #5845.
[15:12:05	]Jack Heathrow has given himself a drink_boboriginal.
[15:12:05	]Jack Heathrow has gained a 'Bob Water Original' #5850.
[15:12:14	]Jack Heathrow ran 'drop' on item 'Bob Water Original' (#5850)
[15:12:14	]Jack Heathrow has lost a 'Bob Water Original' #5850.
[15:12:24	]Jack Heathrow has spawned a drink_boboriginal.
[15:12:25	]Jack Heathrow has spawned a drink_boboriginal.
[15:13:41	]Jack Heathrow has given himself a tool_wrench.
[15:13:41	]Jack Heathrow has gained a 'Klucz' #5853.
[15:13:43	]Jack Heathrow has given himself a wrench.
[15:13:43	]Jack Heathrow has gained a 'Klucz' #5854.
[15:13:45	]Jack Heathrow ran 'drop' on item 'Klucz' (#5854)
[15:13:45	]Jack Heathrow has lost a 'Klucz' #5854.
[15:14:15	]Jack Heathrow ran 'take' on item 'Data-Disc' (#5845)
[15:14:15	]Jack Heathrow has gained a 'Data-Disc' #5845.
[15:14:22	]Jack Heathrow has spawned a 'Entity [2001][ix_fabricator]'.
[15:14:25	]Jack Heathrow ran 'SetFullCharge' on item 'Combine Battery' (#5849)
[15:14:25	]Jack Heathrow ran 'drop' on item 'Combine Battery' (#5849)
[15:14:25	]Jack Heathrow has lost a 'Combine Battery' #5849.
[15:14:42	]Jack Heathrow ran 'drop' on item 'Data-Disc' (#5845)
[15:14:42	]Jack Heathrow has lost a 'Data-Disc' #5845.
[15:14:56	]Jack Heathrow has given himself a comp_resin.
[15:14:56	]Jack Heathrow has gained a 'Resin' #5855.
[15:14:56	]Jack Heathrow has given himself a comp_resin.
[15:14:56	]Jack Heathrow has gained a 'Resin' #5856.
[15:14:57	]Jack Heathrow has given himself a comp_resin.
[15:14:57	]Jack Heathrow has gained a 'Resin' #5857.
[15:14:58	]Jack Heathrow has given himself a comp_resin.
[15:14:58	]Jack Heathrow has gained a 'Resin' #5858.
[15:14:58	]Jack Heathrow has given himself a comp_resin.
[15:14:58	]Jack Heathrow has gained a 'Resin' #5859.
[15:14:59	]Jack Heathrow has given himself a comp_resin.
