[01:26:30	]Night_Wish_ has connected.
[01:29:02	]Night_Wish_ created the character 'Rusa Bana'
[01:29:02	]Rusa Bana has gained a 'Açık Gri Kol Bandı' #16124.
[01:29:02	]Rusa Bana has gained a '#19465 Kimlik Kartı' #16125.
[01:29:02	]Rusa Bana has gained a 'Gözlükler' #16126.
[01:29:03	]Night_Wish_ loaded the character 'Rusa Bana'
[01:29:56	]Night_Wish_ has unloaded their "Rusa Bana" character.
[01:31:28	]Night_Wish_ loaded the character 'Rusa Bana'
[01:33:02	]Rusa Bana used the 'Kaçakçı' smuggler.
[01:33:24	]Rusa Bana used command '/ActSit'.
[01:41:04	]Night_Wish_ (STEAM_0:1:569437930) has disconnected.
[08:15:39	]THE ÖMER has connected.
[08:16:28	]THE ÖMER loaded the character 'C24:RCT.YELLO-30'
[08:17:17	]Lucifert has connected.
[08:17:59	]Lucifert loaded the character 'Lucifer On Duty'
[08:18:01	]Lucifer On Duty entered observer.
[08:18:28	]THE ÖMER has unloaded their "C24:RCT.YELLO-30" character.
[08:18:32	]THE ÖMER loaded the character 'Paul Stone'
[08:19:01	]Lucifer On Duty has fired a toolgun with the name: creator
[08:19:01	]Lucifer On Duty has spawned a 'Entity [2468][ix_trashspawner]'.
[08:19:08	][IC] Paul Stone: İlahi güçler.
[08:19:12	][IC] Paul Stone: İlahi güçler.
[08:19:23	][IT] Paul Stone: düzenek hazırlamıştır
[08:19:25	][IC] Paul Stone: İlahi güçler.
[08:19:35	]Lucifer On Duty has fired a toolgun with the name: creator
[08:19:35	]Lucifer On Duty has spawned a 'Entity [2118][ix_trashspawner]'.
[08:19:41	][IC] Paul Stone: Gelmiyor.
[08:20:20	]Lucifer On Duty exited observer.
[08:20:22	]Lucifer On Duty entered observer.
[08:20:23	]Lucifer On Duty exited observer.
[08:20:24	]Lucifer On Duty entered observer.
[08:20:24	]Lucifer On Duty exited observer.
[08:20:31	]Paul Stone used command '/Help'.
[08:20:39	]Paul Stone ran SAM command 'asay' with arguments: 'ölüyom 20 canım var'
[08:20:39	]Paul Stone used command '/Help ölüyom 20 canım var'.
[08:21:18	]Lucifer On Duty entered observer.
[08:21:19	]Lucifer On Duty exited observer.
[08:21:19	]Lucifer On Duty entered observer.
[08:21:23	]Lucifer On Duty exited observer.
[08:21:24	]Lucifer On Duty entered observer.
[08:21:24	]Lucifer On Duty exited observer.
[08:21:32	][OOC] Paul Stone: hakkatten ölüyom 20 canım var
[08:21:47	]Lucifer On Duty entered observer.
[08:22:09	]Lucifer On Duty ran SAM command 'hp' with arguments: '^' '100'
[08:22:14	]Lucifer On Duty ran SAM command 'hp' with arguments: 'paul' '100'
[08:22:17	]Paul Stone is fully healed.
[08:22:23	]Lucifer On Duty has fired a toolgun with the name: creator
[08:22:23	]Lucifer On Duty has spawned a 'Entity [2607][ix_trashspawner]'.
[08:22:25	][OOC] Paul Stone: adam ya
[08:22:34	]Lucifer On Duty has fired a toolgun with the name: creator
[08:22:34	]Lucifer On Duty has spawned a 'Entity [3549][ix_trashspawner]'.
[08:22:37	][OOC] Paul Stone: cigaram bitmiş
[08:22:38	]Lucifer On Duty has fired a toolgun with the name: creator
[08:22:38	]Lucifer On Duty has spawned a 'Entity [2832][ix_trashspawner]'.
[08:22:48	]Lucifer On Duty has taken 1 damage from env_fire.
[08:22:57	][OOC] Lucifer On Duty: napim olm vereyimmi
[08:23:04	][OOC] Paul Stone: evet
[08:23:18	][OOC] Paul Stone: çakmak var
[08:23:46	]Lucifer On Duty has fired a toolgun with the name: creator
[08:23:46	]Lucifer On Duty has spawned a 'Entity [2422][ix_trashspawner]'.
[08:23:48	]Lucifer On Duty has fired a toolgun with the name: creator
[08:23:48	]Lucifer On Duty has spawned a 'Entity [3551][ix_trashspawner]'.
[08:23:49	][OOC] Paul Stone: çok mu istedik 1 paket cigara
[08:23:54	]Lucifer On Duty has fired a toolgun with the name: creator
[08:23:54	]Lucifer On Duty has spawned a 'Entity [1115][ix_trashspawner]'.
[08:23:56	]Lucifer On Duty has fired a toolgun with the name: creator
[08:23:56	]Lucifer On Duty has spawned a 'Entity [2533][ix_trashspawner]'.
[08:24:01	]Lucifer On Duty has fired a toolgun with the name: creator
[08:24:01	]Lucifer On Duty has spawned a 'Entity [4075][ix_trashspawner]'.
[08:24:05	]Lucifer On Duty has fired a toolgun with the name: creator
[08:24:05	]Lucifer On Duty has spawned a 'Entity [2432][ix_trashspawner]'.
[08:24:09	]Lucifer On Duty has fired a toolgun with the name: creator
[08:24:09	]Lucifer On Duty has spawned a 'Entity [4473][ix_trashspawner]'.
[08:24:14	]Lucifer On Duty has fired a toolgun with the name: creator
[08:24:14	]Lucifer On Duty has spawned a 'Entity [2424][ix_trashspawner]'.
[08:24:17	]Lucifer On Duty has fired a toolgun with the name: creator
[08:24:17	]Lucifer On Duty has spawned a 'Entity [2847][ix_trashspawner]'.
[08:24:54	][OOC] Paul Stone: hadi bir dal
[08:25:03	][OOC] Lucifer On Duty: olm gidip alsana paran yokmu aq
[08:25:15	][OOC] Paul Stone: bak valla param yok 
[08:25:30	][OOC] Paul Stone: 0 chips
[08:25:39	][IC] Lucifer On Duty: 25 kredin var.
[08:25:43	][OOC] Lucifer On Duty: 25 kredin var
[08:25:47	][OOC] Lucifer On Duty: girişte
[08:26:13	][OOC] Paul Stone: tamam satılmıyor
[08:26:28	][OOC] Lucifer On Duty: öbür makinelere bak
[08:26:29	]Lucifer On Duty is fully healed.
[08:26:32	]Lucifert (STEAM_0:0:142449284) has disconnected.
[08:27:34	][OOC] Paul Stone: ben 1 dal istedim o sunucudan çıktı :D
[08:27:39	]Paul Stone has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[08:27:51	]Paul Stone ran 'take' on item 'Rasyon' (#16127)
[08:27:51	]Paul Stone has gained a 'Rasyon' #16127.
[08:27:57	]Paul Stone ran 'Open' on item 'Rasyon' (#16127)
[08:27:57	]Paul Stone has gained a 'Yapay Macun' #16128.
[08:27:57	]Paul Stone has gained a 'Breen'in Suyu' #16129.
[08:27:57	]Paul Stone has gained a '15 Kredi Kuponu' #16130.
[08:28:07	]Paul Stone ran 'Consume' on item 'Breen'in Suyu' (#16129)
[08:28:07	]Paul Stone has gained a 'Boş Breen'in Suyu' #16131.
[08:28:08	]Paul Stone ran 'Consume' on item 'Yapay Macun' (#16128)
[08:28:08	]Paul Stone has gained a 'Boş Kavanoz' #16132.
[08:28:50	]Paul Stone ran 'Use' on item '15 Kredi Kuponu' (#16130)
[08:28:52	]Paul Stone has used a coupon at a ration dispenser, gaining 15 credits.
[08:34:02	]Paul Stone ran 'ViewAlt' on item 'Benefactor Edition Sigara Paketi' (#15288)
[08:34:03	]Paul Stone ran 'take' on item 'Benefactor Edition Sigara Paketi' (#15288)
[08:34:03	]Paul Stone has gained a 'Benefactor Edition Sigara Paketi' #15288.
[08:34:30	]Paul Stone ran 'drop' on item 'Benefactor Edition Sigara Paketi' (#6668)
[08:34:30	]Paul Stone has lost a 'Benefactor Edition Sigara Paketi' #6668.
[08:34:32	]Paul Stone ran 'drop' on item 'Benefactor Edition Sigara Paketi' (#15288)
[08:34:32	]Paul Stone has lost a 'Benefactor Edition Sigara Paketi' #15288.
[08:34:35	]Paul Stone ran 'take' on item 'Benefactor Edition Sigara Paketi' (#15288)
[08:34:35	]Paul Stone has gained a 'Benefactor Edition Sigara Paketi' #15288.
[08:34:40	]Paul Stone ran 'drop' on item 'Benefactor Edition Sigara Paketi' (#15288)
[08:34:40	]Paul Stone has lost a 'Benefactor Edition Sigara Paketi' #15288.
[08:34:42	]Paul Stone ran 'ViewAlt' on item 'Benefactor Edition Sigara Paketi' (#6668)
[08:34:45	]Paul Stone ran 'take' on item 'Benefactor Edition Sigara Paketi' (#6668)
[08:34:45	]Paul Stone has gained a 'Benefactor Edition Sigara Paketi' #6668.
[08:34:48	]Paul Stone ran 'take' on item 'Benefactor Edition Sigara Paketi' (#15288)
[08:34:48	]Paul Stone has gained a 'Benefactor Edition Sigara Paketi' #15288.
[08:35:28	]Paul Stone used command '/ActSit'.
[08:40:50	]THE ÖMER (STEAM_0:1:575663749) has disconnected.
[08:48:43	]Scientist has connected.
[08:52:36	]Scientist loaded the character 'C24:i3.UNION-66'
[08:53:23	]C24:i3.UNION-66 ran 'EquipUn' on item 'Combine PDA' (#14475)
[08:53:24	]C24:i3.UNION-66 ran 'EquipUn' on item 'MP5A3' (#15649)
[08:53:24	]C24:i3.UNION-66 has gained a '30rnd MP-şarjörü' #15664.
[08:53:25	]C24:i3.UNION-66 ran 'EquipUn' on item 'Stunstick' (#14559)
[08:53:27	]C24:i3.UNION-66 ran 'Equip' on item 'Stunstick' (#14559)
[08:53:28	]C24:i3.UNION-66 ran 'Equip' on item 'Combine PDA' (#14475)
[08:53:29	]C24:i3.UNION-66 ran 'Equip' on item 'MP5A3' (#15649)
[08:54:36	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[08:55:01	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[08:55:05	]C24:i3.UNION-66 has gained 0 chips.
[08:55:05	]C24:i3.UNION-66 has gained a 'USP-45' #16133.
[08:55:20	]C24:i3.UNION-66 ran 'drop' on item 'USP-45' (#16133)
[08:55:20	]C24:i3.UNION-66 has lost a 'USP-45' #16133.
[08:55:24	]C24:i3.UNION-66 destroyed a 'USP-45' #16133.
[08:55:26	]C24:i3.UNION-66 used the 'i5-i1 Ekipman Dağıtıcısı' vendor.
[08:55:32	]C24:i3.UNION-66 has gained 0 chips.
[08:55:32	]C24:i3.UNION-66 has gained a 'MP7A1' #16134.
[08:56:04	]C24:i3.UNION-66 ran 'EquipUn' on item 'MP5A3' (#15649)
[08:56:05	]C24:i3.UNION-66 ran 'Equip' on item 'MP7A1' (#16134)
