[16:13:41	]Jhonny has connected.
[16:14:41	]Jhonny loaded the character 'Lora Croft'
[16:14:46	]Lora Croft is fully healed.
[16:16:13	]Lora Croft used command '/CharFallOver'.
[16:16:18	]Lora Croft used command '/CharFallOver'.
[16:16:19	]Lora Croft used command '/CharFallOver'.
[16:16:21	]Lora Croft used command '/CharFallOver'.
[16:16:22	]Lora Croft used command '/CharGetUp'.
[16:16:23	]Lora Croft used command '/CharGetUp'.
[16:16:24	]Lora Croft used command '/CharGetUp'.
[16:16:26	]Lora Croft used command '/CharGetUp'.
[16:16:26	]Lora Croft used command '/CharGetUp'.
[16:16:27	]Lora Croft used command '/CharGetUp'.
[16:16:35	]Lora Croft used command '/ActSit 6'.
[16:16:38	]Lora Croft used command '/ActSit 3'.
[16:16:39	]Lora Croft used command '/ActSit 3'.
[16:16:41	]Lora Croft used command '/ActSit 3'.
[16:16:42	]Lora Croft used command '/ExitAct'.
[16:26:26	]Lora Croft has gained a 'Plastik Kap' #18183.
[16:30:00	]Lora Croft has gained level 1 in the Hız skill.
[16:30:02	]Lora Croft has gained level 2 in the Hız skill.
[16:30:18	]Lora Croft has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[16:30:18	]Lora Croft has gained a 'Plastik Çöp' #18184.
[16:30:28	]Lora Croft has performed the 'Craft Parçala: Plastik Kap' action, gaining 30 experience in crafting.
[16:31:28	]Lora Croft has gained a 'Kaplumbağa Peluş' #18185.
[16:31:47	]Lora Croft has gained a 'Kırık Lamba' #18186.
[16:31:56	]Lora Croft has performed the 'Craft Parçala: Kaplumbağa Peluş' action, gaining 20 experience in crafting.
[16:31:56	]Lora Croft has gained a 'Bez Paçavralar' #18187.
[16:33:04	]Lora Croft has gained a 'Kırık Bilgisayar' #18188.
[16:33:25	]Lora Croft has gained a 'Eski Lastik' #18189.
[16:33:57	]Lora Croft ran 'drop' on item 'Eski Lastik' (#18189)
[16:33:57	]Lora Croft has lost a 'Eski Lastik' #18189.
[16:34:13	]Lora Croft ran 'take' on item 'Boş Breen'in Suyu' (#18038)
[16:34:13	]Lora Croft has gained a 'Boş Breen'in Suyu' #18038.
[16:34:47	]Lora Croft has gained a 'Eski Masa Saati' #18190.
[16:34:47	]Lora Croft has gained a 'Bilgisayar Parçaları' #18191.
[16:35:13	]Lora Croft has performed the 'Craft Parçala: Boş Breen'in Suyu' action, gaining 20 experience in crafting.
[16:35:18	]Lora Croft has performed the 'Craft Parçala: Eski Masa Saati' action, gaining 50 experience in crafting.
[16:35:18	]Lora Croft has gained a 'Ahşap Tahta' #18192.
[16:35:18	]Lora Croft has gained a 'Elektronik devreler' #18193.
[16:35:18	]Lora Croft has gained a 'Çivi Kutusu' #18194.
[16:36:25	]Lora Croft has gained a 'Yeşil Şişe' #18195.
[16:37:26	]Lora Croft used command '/CharFallOver'.
[16:37:27	]Lora Croft used command '/CharGetUp'.
[16:37:28	]Lora Croft used command '/CharGetUp'.
[16:37:29	]Lora Croft used command '/CharGetUp'.
[16:37:29	]Lora Croft used command '/CharGetUp'.
[16:37:30	]Lora Croft used command '/CharGetUp'.
[16:37:31	]Lora Croft used command '/CharGetUp'.
[16:40:01	]Lora Croft opened the 'Depo Dolabı' #2061 container.
[16:40:02	]Lora Croft closed the 'Depo Dolabı' #2061 container.
[16:40:03	]Lora Croft opened the 'Depo Dolabı' #2062 container.
[16:40:05	]Lora Croft closed the 'Depo Dolabı' #2062 container.
[16:40:14	]Lora Croft ran 'take' on item 'Cerrahi Kit' (#16924)
[16:40:14	]Lora Croft has gained a 'Cerrahi Kit' #16924.
[16:40:16	]Lora Croft ran 'take' on item 'Cerrahi Kit' (#17223)
[16:40:16	]Lora Croft has gained a 'Cerrahi Kit' #17223.
[16:40:18	]Lora Croft ran 'take' on item 'Cerrahi Kit' (#17254)
[16:40:18	]Lora Croft has gained a 'Cerrahi Kit' #17254.
[16:40:21	]Lora Croft opened the 'Depo Dolabı' #2061 container.
[16:40:21	]Lora Croft closed the 'Depo Dolabı' #2061 container.
[16:43:42	]Lora Croft used command '/ActSit 5'.
[16:43:43	]Lora Croft used command '/ExitAct'.
[16:43:47	]Lora Croft has gained level 3 in the Hız skill.
[16:48:43	]Lora Croft used command '/ActInjured'.
[16:48:44	]Lora Croft used command '/ActInjured'.
[16:48:47	]Lora Croft used command '/ActInjured'.
[16:48:48	]Lora Croft used command '/ActInjured'.
[16:49:13	]Lora Croft used command '/ActInjured'.
[16:49:19	]Lora Croft used command '/CharFallOver'.
[16:49:21	]Lora Croft used command '/CharFallOver'.
[16:49:23	]Lora Croft used command '/CharFallOver'.
[16:49:26	]Lora Croft used command '/CharFallOver'.
[16:49:28	]Lora Croft used command '/CharFallOver'.
[16:49:30	]Lora Croft used command '/CharGetUp'.
[16:49:30	]Lora Croft used command '/CharGetUp'.
[16:49:31	]Lora Croft used command '/CharGetUp'.
[16:49:32	]Lora Croft used command '/CharGetUp'.
[16:49:33	]Lora Croft used command '/CharGetUp'.
[16:49:33	]Lora Croft used command '/CharGetUp'.
[16:49:34	]Lora Croft used command '/CharGetUp'.
[16:49:35	]Lora Croft used command '/CharGetUp'.
[16:49:35	]Lora Croft used command '/CharGetUp'.
[16:49:36	]Lora Croft used command '/CharGetUp'.
[16:49:37	]Lora Croft used command '/CharGetUp'.
[16:49:38	]Lora Croft used command '/CharGetUp'.
[16:49:39	]Lora Croft used command '/CharGetUp'.
[16:49:44	]Lora Croft used command '/CharGetUp'.
[16:49:45	]Lora Croft used command '/CharGetUp'.
[16:49:53	]Lora Croft used command '/CharGetUp'.
[16:49:56	]Lora Croft used command '/CharGetUp'.
[16:50:26	]Lora Croft used command '/CharGetUp'.
[16:50:36	]Jhonny loaded the character 'Enes Batur'
[16:50:41	]Enes Batur is fully healed.
[16:50:43	]Enes Batur used command '/CharFallOver'.
[16:50:45	]Enes Batur used command '/CharGetUp'.
[16:50:46	]Enes Batur used command '/CharGetUp'.
[16:50:47	]Enes Batur used command '/CharGetUp'.
[16:50:48	]Enes Batur used command '/CharGetUp'.
[16:50:49	]Enes Batur used command '/CharGetUp'.
[16:50:49	]Enes Batur used command '/CharGetUp'.
[16:53:34	]Enes Batur was knocked unconscious and is bleeding out.
[16:53:42	]Jhonny (STEAM_0:0:564881553) has disconnected.
[17:54:30	]Victorian has connected.
[17:57:16	]Victorian (STEAM_0:0:577700614) deleted character 'Carl Stein'
[17:57:20	]Victorian loaded the character 'Alexander Ivanov'
[17:57:25	]Alexander Ivanov is fully healed.
[17:57:53	]Alexander Ivanov entered observer.
[17:58:02	]Alexander Ivanov has used a context menu option with the name: skin
[17:58:06	]Alexander Ivanov has used a context menu option with the name: skin
[17:58:06	]Alexander Ivanov exited observer at their location.
[17:58:07	]Alexander Ivanov entered observer.
[17:58:13	]Alexander Ivanov has used a context menu option with the name: skin
[17:58:20	]Alexander Ivanov has used a context menu option with the name: skin
[17:58:31	]Alexander Ivanov has used a context menu option with the name: door_lockunlock
[17:58:39	]Alexander Ivanov has used a context menu option with the name: door_lockunlock
[17:59:07	]Alexander Ivanov exited observer at their location.
[17:59:08	]Alexander Ivanov entered observer.
[17:59:14	]Alexander Ivanov exited observer at their location.
[17:59:15	]Alexander Ivanov entered observer.
[17:59:32	]Alexander Ivanov has used a context menu option with the name: ixpropviewowner
[17:59:35	]Alexander Ivanov has disabled persistence for 'models/props_c17/furnituretable001a.mdl'.
[17:59:35	]Alexander Ivanov has used a context menu option with the name: persist_end
[17:59:50	]Alexander Ivanov exited observer at their location.
[17:59:59	]Alexander Ivanov entered observer.
[18:00:11	]Alexander Ivanov exited observer at their location.
[18:00:11	]Alexander Ivanov entered observer.
[18:00:12	]Alexander Ivanov exited observer at their location.
[18:00:16	]Alexander Ivanov entered observer.
[18:00:16	]Wonder Of You has connected.
[18:00:16	]Alexander Ivanov exited observer at their location.
[18:00:18	]Alexander Ivanov entered observer.
[18:00:19	]Alexander Ivanov exited observer at their location.
[18:00:20	][IC] Alexander Ivanov: Sa.
[18:00:23	]Alexander Ivanov entered observer.
[18:00:24	]Alexander Ivanov exited observer at their location.
[18:00:29	]Alexander Ivanov used command '/ActSit 5'.
[18:00:31	]Alexander Ivanov used command '/ExitAct'.
[18:00:33	]Alexander Ivanov used command '/ActSit 6'.
[18:00:36	]Alexander Ivanov used command '/ExitAct'.
[18:00:36	]Alexander Ivanov entered observer.
[18:00:44	]Alexander Ivanov has used a context menu option with the name: skin
[18:00:46	]Alexander Ivanov has used a context menu option with the name: skin
[18:01:27	]Wonder Of You loaded the character 'Mona Vax'
[18:01:36	]Mona Vax has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[18:01:43	]Mona Vax has enabled persistence for 'models/props_c17/furnituredrawer001a.mdl'.
[18:01:43	]Mona Vax has used a context menu option with the name: persist
[18:02:21	]Mona Vax entered observer.
[18:02:23	]Mona Vax exited observer at their location.
[18:02:25	][IC] Mona Vax: Ev nasıl.
[18:02:28	]Alexander Ivanov exited observer at their location.
[18:02:35	][IC] Alexander Ivanov: Evde neden hastane yatağı var.
[18:02:40	][IC] Mona Vax: Modifiye etim.
[18:02:44	][IC] Alexander Ivanov: Mhm.
[18:02:46	][IC] Mona Vax: Güzel yatak yok oyunda.
[18:02:49	]Alexander Ivanov used command '/ActSit 5'.
[18:02:53	][IC] Alexander Ivanov: Roblox var mı.
[18:03:00	][IC] Mona Vax: Doom aciyo abisi.
[18:03:06	][IC] Mona Vax: Ev nasıl.
[18:03:07	][IC] Alexander Ivanov: Adopt me gircem.
[18:03:07	]Alexander Ivanov used command '/ExitAct'.
[18:03:09	]Mona Vax entered observer.
[18:03:09	]Alexander Ivanov entered observer.
[18:03:10	]Mona Vax exited observer at their location.
[18:03:11	]Alexander Ivanov exited observer at their location.
[18:03:11	]Mona Vax entered observer.
[18:03:12	]Mona Vax exited observer at their location.
[18:03:13	]Mona Vax entered observer.
[18:03:14	]Mona Vax exited observer at their location.
[18:03:15	]Mona Vax entered observer.
[18:03:17	]Mona Vax exited observer at their location.
[18:03:22	][IC] Alexander Ivanov: Şu masa  tam uymamış onun dışında iyi.
[18:03:33	]Mona Vax has used a context menu option with the name: remove
[18:03:44	][IC] Mona Vax: Wanna break from ads?
[18:03:53	][IC] Alexander Ivanov: Yok.
[18:03:58	]Mona Vax has spawned 'models/props_downtown/booth_table.mdl'.
[18:04:02	]Mona Vax has spawned 'models/props_interiors/table_folding.mdl'.
[18:04:10	]Mona Vax has spawned 'models/props/cs_militia/wood_table.mdl'.
[18:04:20	]Mona Vax has enabled persistence for 'models/props/cs_militia/wood_table.mdl'.
[18:04:20	]Mona Vax has used a context menu option with the name: persist
[18:04:24	][IC] Mona Vax: Nasıl ev.
[18:04:28	][IC] Alexander Ivanov: Half life 2'nin başı varya.
[18:04:32	][IC] Mona Vax: E.
[18:04:34	][IC] Alexander Ivanov: Apartman baskını oluyodu.
[18:04:37	][IC] Alexander Ivanov: Bizdede mi olsa.
[18:04:43	][IC] Mona Vax: Olacak ama oyuncu az.
