[16:26:48	]Lynx has connected.
[16:29:11	]Lynx loaded the character 'C24:i5.VICTOR-61'
[16:30:00	]C24:i5.VICTOR-61 ran 'Open' on item 'Sivil Koruma Rasyonu' (#18932)
[16:30:00	]C24:i5.VICTOR-61 has gained a 'Metropolice Takviyeleri' #19082.
[16:30:00	]C24:i5.VICTOR-61 has gained a 'Soda Bob Brawn' #19083.
[16:30:00	]C24:i5.VICTOR-61 has gained a '20 Kredi Kuponu' #19084.
[16:30:01	]C24:i5.VICTOR-61 ran 'Consume' on item 'Metropolice Takviyeleri' (#19082)
[16:30:01	]C24:i5.VICTOR-61 extended their level 3 long boost in Güç.
[16:30:02	]C24:i5.VICTOR-61 ran 'Consume' on item 'Soda Bob Brawn' (#19083)
[16:30:02	]C24:i5.VICTOR-61 extended their level 1 long boost in Algı.
[16:30:02	]C24:i5.VICTOR-61 extended their level 2 long boost in Çeviklik.
[16:30:04	]C24:i5.VICTOR-61 ran 'Open' on item 'Sivil Koruma Rasyonu' (#18926)
[16:30:04	]C24:i5.VICTOR-61 has gained a 'Metropolice Takviyeleri' #19085.
[16:30:04	]C24:i5.VICTOR-61 has gained a 'Soda Bob Brawn' #19086.
[16:30:04	]C24:i5.VICTOR-61 has gained a '20 Kredi Kuponu' #19087.
[16:30:05	]C24:i5.VICTOR-61 ran 'Consume' on item 'Metropolice Takviyeleri' (#19085)
[16:30:05	]C24:i5.VICTOR-61 extended their level 3 long boost in Güç.
[16:30:05	]C24:i5.VICTOR-61 ran 'Consume' on item 'Soda Bob Brawn' (#19086)
[16:30:05	]C24:i5.VICTOR-61 extended their level 1 long boost in Algı.
[16:30:05	]C24:i5.VICTOR-61 extended their level 2 long boost in Çeviklik.
[16:30:06	]C24:i5.VICTOR-61 ran 'Open' on item 'Sivil Koruma Rasyonu' (#18927)
[16:30:06	]C24:i5.VICTOR-61 has gained a 'Metropolice Takviyeleri' #19088.
[16:30:06	]C24:i5.VICTOR-61 has gained a 'Soda Bob Brawn' #19089.
[16:30:06	]C24:i5.VICTOR-61 has gained a '20 Kredi Kuponu' #19090.
[16:30:08	]C24:i5.VICTOR-61 ran 'Consume' on item 'Metropolice Takviyeleri' (#19088)
[16:30:08	]C24:i5.VICTOR-61 extended their level 3 long boost in Güç.
[16:30:09	]C24:i5.VICTOR-61 ran 'Consume' on item 'Soda Bob Brawn' (#19089)
