[00:58:30	]Szaliwun has connected.
[01:02:43	]Szaliwun loaded the character 'Szaliwun'
[01:02:48	]Szaliwun is fully healed.
[01:02:55	]Szaliwun used command '/Datafile ,'.
[01:05:25	]Szaliwun has spawned 'models/props_c17/FurnitureDresser001a.mdl'.
[01:05:36	]Szaliwun has fired a toolgun with the name: nocollideworld
[01:06:14	]Szaliwun has fired a toolgun with the name: nocollideworld
[01:06:33	]Szaliwun opened the 'Szafka na dokumenty' #2015 container.
[01:06:35	]Szaliwun closed the 'Szafka na dokumenty' #2015 container.
[01:06:51	]Szaliwun opened the 'Szafka na dokumenty' #2015 container.
[01:06:53	]Szaliwun closed the 'Szafka na dokumenty' #2015 container.
[01:07:03	]Szaliwun opened the 'Szafka na dokumenty' #2015 container.
[01:07:04	]Szaliwun closed the 'Szafka na dokumenty' #2015 container.
[01:07:12	]Szaliwun has fired a toolgun with the name: nocollideworld
[01:07:26	]Szaliwun opened the 'Szafka na dokumenty' #2015 container.
[01:07:27	]Szaliwun closed the 'Szafka na dokumenty' #2015 container.
[01:07:46	]Szaliwun opened the 'Szafka na dokumenty' #2015 container.
[01:07:48	]Szaliwun closed the 'Szafka na dokumenty' #2015 container.
[01:07:55	]Szaliwun opened the 'Szafka na dokumenty' #2015 container.
[01:07:56	]Szaliwun closed the 'Szafka na dokumenty' #2015 container.
[01:08:09	]Szaliwun opened the 'Szafka na dokumenty' #2015 container.
[01:08:11	]Szaliwun closed the 'Szafka na dokumenty' #2015 container.
[01:08:24	]Szaliwun has enabled persistence for 'models/props_c17/furnituredresser001a.mdl'.
[01:08:24	]Szaliwun has used a context menu option with the name: persist
[01:08:28	]Szaliwun has used a context menu option with the name: clientprop
[01:08:45	]Szaliwun used command '/Datafile ,'.
[01:09:13	]Szaliwun entered observer.
[01:10:08	]Szaliwun admin-searched the 'Wysoka szafka na dokumenty' #1635 container.
[01:10:08	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:10:10	]Szaliwun admin-closed the 'Wysoka szafka na dokumenty' #1635 container.
[01:10:24	]Szaliwun admin-searched the 'Szafka na dokumenty' #1164 container.
[01:10:24	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:10:29	]Szaliwun admin-closed the 'Szafka na dokumenty' #1164 container.
[01:10:33	]Szaliwun admin-searched the 'Szafka na dokumenty' #790 container.
[01:10:33	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:10:34	]Szaliwun admin-closed the 'Szafka na dokumenty' #790 container.
[01:10:42	]Szaliwun admin-searched the 'Wysoka szafka na dokumenty' #2057 container.
[01:10:42	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:11:06	]Szaliwun admin-closed the 'Wysoka szafka na dokumenty' #2057 container.
[01:11:07	]Szaliwun ran 'ViewAlt' on item 'Walizka' (#29036)
[01:11:44	]Szaliwun has used a context menu option with the name: remove
[01:11:49	]Szaliwun has used a context menu option with the name: rb655_door_unlock
[01:12:10	]Szaliwun admin-searched the 'Mały pojemnik' #1848 container.
[01:12:10	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:12:11	]Szaliwun admin-closed the 'Mały pojemnik' #1848 container.
[01:12:13	]Szaliwun admin-searched the 'Szafka na dokumenty' #2098 container.
[01:12:13	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:12:18	]Szaliwun admin-closed the 'Szafka na dokumenty' #2098 container.
[01:12:19	]Szaliwun admin-searched the 'Mały pojemnik' #1848 container.
[01:12:19	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:12:23	]Szaliwun admin-closed the 'Mały pojemnik' #1848 container.
[01:12:47	]Szaliwun has used a context menu option with the name: remove
[01:13:59	]Szaliwun admin-searched the 'Magazyn Aurora Bar 2' #494 container.
[01:13:59	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:14:02	]Szaliwun admin-closed the 'Magazyn Aurora Bar 2' #494 container.
[01:14:04	]Szaliwun admin-searched the 'Magazyn Aurora Bar 1' #493 container.
[01:14:04	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:14:06	]Szaliwun admin-closed the 'Magazyn Aurora Bar 1' #493 container.
[01:14:24	]Szaliwun admin-searched the 'Skrzynka' #492 container.
[01:14:24	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:14:32	]Szaliwun admin-closed the 'Skrzynka' #492 container.
[01:14:36	]Szaliwun ran 'Write' on item '           HARDWARE WAREHOUSE' (#7316)
[01:15:00	]Szaliwun ran 'Write' on item 'Asortyment sklepu' (#13880)
[01:15:35	]Szaliwun admin-searched the 'Duża metalowa szafa' #1224 container.
[01:15:35	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:15:40	]Szaliwun admin-closed the 'Duża metalowa szafa' #1224 container.
[01:16:37	]Szaliwun admin-searched the 'Szafka na dokumenty' #1589 container.
[01:16:37	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:16:54	]Szaliwun admin-closed the 'Szafka na dokumenty' #1589 container.
[01:16:57	]Szaliwun admin-searched the 'Szafka z kajdanami' #1869 container.
[01:16:57	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:16:59	]Szaliwun admin-closed the 'Szafka z kajdanami' #1869 container.
[01:17:38	]Szaliwun used command '/ToggleRaise'.
[01:17:44	]Szaliwun destroyed a 'Magazynek do P2000 13rnd' #12023.
[01:17:54	]Szaliwun ran 'take' on item 'H&K P2000' (#12028)
[01:17:54	]Szaliwun has gained a 'H&K P2000' #12028.
[01:18:22	]Szaliwun has fired a toolgun with the name: colour
[01:18:28	]Szaliwun has fired a toolgun with the name: material
[01:18:30	]Szaliwun has fired a toolgun with the name: material
[01:19:21	]Szaliwun admin-searched the 'Wysoka szafka na dokumenty' #1523 container.
[01:19:21	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:19:25	]Szaliwun admin-closed the 'Wysoka szafka na dokumenty' #1523 container.
[01:19:26	]Szaliwun admin-searched the 'Szafka na dokumenty' #1809 container.
[01:19:26	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:19:28	]Szaliwun admin-closed the 'Szafka na dokumenty' #1809 container.
[01:19:56	]Szaliwun ran 'ViewAlt' on item 'Walizka' (#14376)
[01:19:58	]Szaliwun ran 'ViewAlt' on item 'Walizka' (#14381)
[01:20:02	]Szaliwun ran 'ViewAlt' on item 'Walizka' (#14381)
[01:20:06	]Szaliwun ran 'ViewAlt' on item 'Walizka' (#129)
[01:20:13	]Szaliwun admin-searched the 'Wysoka szafka na dokumenty' #2083 container.
[01:20:13	]Szaliwun has used a context menu option with the name: wncontainer_view
[01:20:27	]Szaliwun admin-closed the 'Wysoka szafka na dokumenty' #2083 container.
[01:20:29	]Szaliwun ran 'ViewAlt' on item 'Walizka' (#14403)
[01:20:33	]Szaliwun has used a context menu option with the name: bone_manipulate
[01:20:34	]Szaliwun has used a context menu option with the name: bone_manipulate_end
[01:20:36	]Szaliwun ran 'ViewAlt' on item 'Walizka' (#315)
[01:20:39	]Szaliwun ran 'ViewAlt' on item 'Walizka' (#850)
[01:20:40	]Szaliwun ran 'ViewAlt' on item 'Walizka' (#14370)
[01:21:26	]Szaliwun used command '/RemoveLootSpawner 40'.
[01:21:37	]Szaliwun used command '/RemoveLootSpawner 40'.
[01:21:40	]Szaliwun used command '/RemoveLootSpawner 40'.
[01:21:52	]Szaliwun used command '/RemoveLootSpawner 100'.
[01:21:57	]Szaliwun has fired a toolgun with the name: material
[01:22:05	]Szaliwun has fired a toolgun with the name: material
[01:22:26	]Szaliwun has spawned a 'Entity [465][ix_trashspawner]'.
[01:24:35	]Szaliwun has fired a toolgun with the name: creator
[01:24:35	]Szaliwun has spawned a 'Entity [465][ix_trashspawner]'.
[01:24:43	]Szaliwun has fired a toolgun with the name: creator
[01:24:43	]Szaliwun has spawned a 'Entity [465][ix_trashspawner]'.
[01:24:50	]Szaliwun has fired a toolgun with the name: creator
