[00:00:08	]Lynx has gone afk.
[00:01:22	]Nicholas Newman opened the 'Personal Stash 1484' stash.
[00:01:30	]Nicholas Newman has lost a 'Ahşap Tahta' #23898.
[00:01:30	]Nicholas Newman has transferred a 'Ahşap Tahta' #23898 to a container with the name 'Personal Stash 1484' #3092.
[00:01:31	]Nicholas Newman has lost a 'Ahşap Tahta' #21435.
[00:01:31	]Nicholas Newman has transferred a 'Ahşap Tahta' #21435 to a container with the name 'Personal Stash 1484' #3092.
[00:01:33	]Nicholas Newman closed the 'Personal Stash 1484' stash.
[00:03:28	]Lynx (STEAM_0:1:578875274) has disconnected.
[00:04:18	]Igor Makarov has gone afk.
[00:07:03	]Nicholas Newman has gone afk.
[00:10:13	]Nicholas Newman is no longer afk. Total time spent AFK: 485
[00:14:00	]Elazar Gül is no longer afk. Total time spent AFK: 1210
[00:15:13	]Nicholas Newman has gone afk.
[00:15:18	]Nicholas Newman is no longer afk. Total time spent AFK: 300
[00:15:44	]Scientist (STEAM_0:1:533519973) has disconnected.
[00:16:22	]otistik (STEAM_0:0:142449284) has disconnected (timed out).
[00:19:59	]Enistein (STEAM_0:1:98500861) has disconnected.
[15:41:46	]Victorian has connected.
[15:43:07	]Victorian loaded the character 'Fikret Saric'
[15:43:43	]Fikret Saric entered observer.
[15:45:27	]Fikret Saric has spawned 'models/props/cs_militia/barstool01.mdl'.
[15:45:31	]Fikret Saric has spawned 'models/props/cs_militia/barstool01.mdl'.
[15:45:33	]Fikret Saric exited observer at their location.
[15:45:35	]Fikret Saric has spawned a usable entity class 'ix_chair' with model 'models/props/cs_militia/barstool01.mdl'.
[15:45:35	]Fikret Saric has used a context menu option with the name: ixusableentitycreate
[15:45:37	]Fikret Saric used command '/ActSit 4'.
[15:45:38	]Fikret Saric used command '/ExitAct'.
[15:45:47	]Fikret Saric used command '/ActSit 4'.
[15:45:48	]Fikret Saric used command '/ExitAct'.
[15:46:18	]Fikret Saric entered observer.
[15:46:29	]Fikret Saric exited observer at their location.
[15:46:39	]Fikret Saric ran 'Consume' on item 'Köpüklü Breen Suyu' (#24261)
[15:46:39	]Fikret Saric has gained a 'Boş Breen'in Suyu' #24384.
[15:46:47	]Fikret Saric entered observer.
[15:47:00	]Fikret Saric exited observer at their location.
[15:47:09	]Fikret Saric entered observer.
[15:47:15	]Fikret Saric exited observer at their location.
[15:47:16	]Fikret Saric entered observer.
[15:47:36	]Fikret Saric exited observer at their location.
[15:47:40	]Fikret Saric has used a context menu option with the name: rb655_make_animatable
[15:47:42	]Fikret Saric has used a context menu option with the name: remove
[15:47:46	]Fikret Saric entered observer.
[15:47:51	]Fikret Saric has fired a toolgun with the name: remover
[15:47:56	]Fikret Saric has fired a toolgun with the name: remover
[15:47:56	]Fikret Saric has fired a toolgun with the name: remover
[15:47:57	]Fikret Saric has fired a toolgun with the name: remover
[15:47:57	]Fikret Saric has fired a toolgun with the name: remover
[15:47:57	]Fikret Saric has fired a toolgun with the name: remover
[15:47:58	]Fikret Saric has fired a toolgun with the name: remover
[15:47:58	]Fikret Saric has fired a toolgun with the name: remover
[15:47:58	]Fikret Saric has fired a toolgun with the name: remover
[15:47:58	]Fikret Saric has fired a toolgun with the name: remover
[15:47:59	]Fikret Saric has fired a toolgun with the name: remover
[15:47:59	]Fikret Saric has fired a toolgun with the name: remover
[15:47:59	]Fikret Saric has fired a toolgun with the name: remover
[15:48:00	]Fikret Saric has fired a toolgun with the name: remover
[15:48:01	]Fikret Saric has fired a toolgun with the name: remover
[15:49:00	]Fikret Saric exited observer at their location.
[15:49:51	]Fikret Saric entered observer.
[15:50:00	]Fikret Saric exited observer at their location.
[15:50:00	]Fikret Saric entered observer.
[15:50:01	]Fikret Saric exited observer at their location.
[15:50:01	]Fikret Saric entered observer.
[15:50:10	]Fikret Saric exited observer at their location.
[15:50:11	]Fikret Saric entered observer.
[15:50:21	]Fikret Saric exited observer at their location.
