[16:11:34	]dondurmaci822 has connected.
[16:12:36	]dondurmaci822 (STEAM_0:0:526338480) deleted character 'MELİH ERDOĞAN'
[16:12:38	]dondurmaci822 loaded the character 'Melir Erlok'
[16:12:57	]Melir Erlok opened the 'Large Metal Cabinet' #3359 container.
[16:13:01	]Melir Erlok closed the 'Large Metal Cabinet' #3359 container.
[16:14:44	]Melir Erlok picked up a 'comp_metal' from '1.
[16:14:44	]Melir Erlok has gained a 'Hurda Metal' #26282.
[16:14:45	]Melir Erlok picked up a 'comp_metal' from '1.
[16:14:45	]Melir Erlok has gained a 'Hurda Metal' #26283.
[16:15:20	]Melir Erlok used the 'Kaçakçı' smuggler.
[16:15:56	]Melir Erlok has performed the 'Craft Parçala: Plastik Kova' action, gaining 30 experience in crafting.
[16:15:56	]Melir Erlok has gained a 'Plastik Çöp' #26284.
[16:16:02	]Melir Erlok used the 'Kaçakçı' smuggler.
[16:16:04	]Melir Erlok has gained 2 chips.
[16:16:04	]Melir Erlok sold a 'comp_plastic' to the 'Kaçakçı' smuggler.
[16:16:10	]Melir Erlok bought a 'comp_metal' from the 'Kaçakçı' smuggler for delivery to 1.
[16:16:10	]Melir Erlok has lost 9 chips.
[16:19:04	]Melir Erlok opened the 'Large Metal Cabinet' #3359 container.
[16:19:11	]Melir Erlok ran 'combine' on item 'Cam kırıkları' (#26172)
[16:19:12	]Melir Erlok has gained a 'Cam kırıkları' #26172 from a container with the name 'Large Metal Cabinet' #3359.
[16:19:15	]Melir Erlok has gained a 'Boş Votka Şişesi' #25789 from a container with the name 'Large Metal Cabinet' #3359.
[16:19:16	]Melir Erlok has gained a 'Boş Votka Şişesi' #26174 from a container with the name 'Large Metal Cabinet' #3359.
[16:19:17	]Melir Erlok has gained a 'Boş Viski Şişesi' #26015 from a container with the name 'Large Metal Cabinet' #3359.
[16:19:18	]Melir Erlok has gained a 'Boş Votka Şişesi' #26160 from a container with the name 'Large Metal Cabinet' #3359.
[16:19:20	]Melir Erlok has gained a 'Boş Votka Şişesi' #26190 from a container with the name 'Large Metal Cabinet' #3359.
[16:19:22	]Melir Erlok has gained a 'Boş Kavanoz' #26047 from a container with the name 'Large Metal Cabinet' #3359.
[16:19:23	]Melir Erlok has gained a 'Boş Kavanoz' #23388 from a container with the name 'Large Metal Cabinet' #3359.
[16:19:24	]Melir Erlok has transferred a 'Bilgisayar Parçaları' #26064 to a container with the name 'Large Metal Cabinet' #3359.
[16:19:25	]Melir Erlok has transferred a 'Çivi Kutusu' #26192 to a container with the name 'Large Metal Cabinet' #3359.
[16:19:26	]Melir Erlok has transferred a 'Kırık Alıcı' #25987 to a container with the name 'Large Metal Cabinet' #3359.
[16:19:26	]Melir Erlok has transferred a 'Kırık Alıcı' #26080 to a container with the name 'Large Metal Cabinet' #3359.
[16:19:27	]Melir Erlok has transferred a 'Araba Aküsü' #26151 to a container with the name 'Large Metal Cabinet' #3359.
[16:19:27	]Melir Erlok has transferred a 'Kırık Alıcı' #25941 to a container with the name 'Large Metal Cabinet' #3359.
[16:19:29	]Melir Erlok has transferred a 'Hurda Metal' #26282 to a container with the name 'Large Metal Cabinet' #3359.
[16:19:34	]Melir Erlok closed the 'Large Metal Cabinet' #3359 container.
[16:19:41	]Melir Erlok has performed the 'Craft Parçala: Boş Kavanoz' action, gaining 20 experience in crafting.
[16:19:41	]Melir Erlok has gained a 'Plastik Çöp' #26285.
[16:19:44	]Melir Erlok has performed the 'Craft Parçala: Boş Kavanoz' action, gaining 20 experience in crafting.
[16:19:47	]Melir Erlok has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[16:19:50	]Melir Erlok has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[16:19:53	]Melir Erlok has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[16:19:55	]Melir Erlok has performed the 'Craft Parçala: Vodka Şişesi' action, gaining 20 experience in crafting.
[16:19:55	]Melir Erlok has gained a 'Cam kırıkları' #26286.
[16:20:00	]Melir Erlok has performed the 'Craft Parçala: Viski Şişesi' action, gaining 20 experience in crafting.
[16:20:09	]Melir Erlok ran 'combine' on item 'Cam kırıkları' (#26286)
[16:20:13	]Melir Erlok opened the 'Large Metal Cabinet' #3359 container.
[16:20:19	]Melir Erlok has gained a 'Boş Kahverengi Şişe' #25972 from a container with the name 'Large Metal Cabinet' #3359.
[16:20:25	]Melir Erlok has gained a 'Boş Süt Kartonu' #25430 from a container with the name 'Large Metal Cabinet' #3359.
[16:20:27	]Melir Erlok has gained a 'Boş Kavanoz' #26210 from a container with the name 'Large Metal Cabinet' #3359.
[16:20:28	]Melir Erlok has gained a 'Boş Plastik Sürahi' #25977 from a container with the name 'Large Metal Cabinet' #3359.
