[22:37:59	]tomasz hedzik has connected.
[22:39:42	]tomasz hedzik loaded the character 'tomasz hedzik'
[22:39:43	]tomasz hedzik has taken 79 damage from worldspawn.
[22:39:53	]tomasz hedzik ran SAM command 'hp' with arguments: 'tomasz' '100'
[22:39:54	]tomasz hedzik ran SAM command 'admin' with arguments: ''
[22:39:56	]tomasz hedzik is fully healed.
[22:42:37	]tomasz hedzik has used a context menu option with the name: rb655_lamp_off
[22:42:45	]tomasz hedzik has used a context menu option with the name: rb655_light_on
[22:42:51	]tomasz hedzik has used a context menu option with the name: rb655_light_off
[22:43:14	]tomasz hedzik has fired a toolgun with the name: lamp
[22:43:55	]tomasz hedzik has fired a toolgun with the name: lamp
[22:45:17	]tomasz hedzik has used a context menu option with the name: remove
[22:45:22	]tomasz hedzik has used a context menu option with the name: remove
[22:45:28	]tomasz hedzik has used a context menu option with the name: rb655_lamp_on
[22:55:12	]tomasz hedzik przeszedł w tryb AFK.
[22:59:32	]tomasz hedzik nie jest już AFK. Całkowity czas spędzony AFK:  555
[22:59:59	]tomasz hedzik has taken 50 damage from trigger_hurt.
[23:00:04	]tomasz hedzik ran SAM command 'hp' with arguments: 'tomasz' '100'
[23:00:06	]tomasz hedzik is fully healed.
[23:03:01	]tomasz hedzik ran SAM command 'menu' with arguments: ''
[23:05:56	]tomasz hedzik ran SAM command 'menu' with arguments: ''
[23:11:02	]tomasz hedzik przeszedł w tryb AFK.
[23:11:37	]tomasz hedzik nie jest już AFK. Całkowity czas spędzony AFK:  330
[23:11:38	]tomasz hedzik ran SAM command 'menu' with arguments: ''
[23:17:07	]tomasz hedzik przeszedł w tryb AFK.
[23:18:08	]tomasz hedzik (STEAM_0:0:422062415) has disconnected.
