[07:51:29	]Goblin has connected.
[07:54:16	]Goblin (STEAM_0:0:601054844) deleted character '''Faruk Arslan'''
[07:54:23	]Goblin (STEAM_0:0:601054844) deleted character 'C17:SCN-4'
[07:55:48	]Goblin created the character 'S17/OWS.GHOST-93'
[07:55:48	]Goblin has gained level 40 in the Silahlar skill.
[07:55:48	]Goblin has gained level 40 in the Hız skill.
[07:55:48	]Goblin loaded the character 'S17/OWS.GHOST-93'
[07:55:48	]S17/OWS.GHOST-93 has gained a 'Küçük Çanta' #31040.
[07:55:48	]S17/OWS.GHOST-93 has gained a 'Büyük Çanta' #31041.
[07:55:48	]S17/OWS.GHOST-93 has gained a 'El Feneri' #31042.
[07:55:48	]S17/OWS.GHOST-93 has gained a 'Combine PDA' #31043.
[07:55:48	]S17/OWS.GHOST-93 has gained a 'OTA Üniforması' #31044.
[07:55:48	]S17/OWS.GHOST-93 has gained a 'OTA Mask' #31045.
[07:55:48	]S17/OWS.GHOST-93 has gained a 'Rappel Gear' #31046.
[07:55:48	]S17/OWS.GHOST-93 has gained a 'Şarjör Çantası' #31047.
[07:55:48	]S17/OWS.GHOST-93 has gained a 'Ammunition Pouch' #31048.
[07:56:11	]S17/OWS.GHOST-93 used the 'Overwatch Stabilizasyon Tedarikçisi' vendor.
[07:56:28	]S17/OWS.GHOST-93 ran 'drop' on item 'Combine PDA' (#31043)
[07:56:28	]S17/OWS.GHOST-93 has lost a 'Combine PDA' #31043.
[07:56:34	]S17/OWS.GHOST-93 ran 'drop' on item 'OTA Üniforması' (#31044)
[07:56:34	]S17/OWS.GHOST-93 has lost a 'OTA Üniforması' #31044.
[07:57:10	]S17/OWS.GHOST-93 has spawned a uniform_suppressor.
[07:57:11	]S17/OWS.GHOST-93 ran 'take' on item 'OTA Bastırıcı Üniforması' (#31049)
[07:57:11	]S17/OWS.GHOST-93 has gained a 'OTA Bastırıcı Üniforması' #31049.
[07:57:36	]S17/OWS.GHOST-93 ran 'Equip' on item 'Rappel Gear' (#31046)
[07:57:44	]S17/OWS.GHOST-93 ran 'drop' on item 'Küçük Çanta' (#31040)
[07:57:44	]S17/OWS.GHOST-93 has lost a 'Küçük Çanta' #31040.
[08:03:18	]S17/OWS.GHOST-93 has gone afk.
[08:03:33	]S17/OWS.GHOST-93 is no longer afk. Total time spent AFK: 310
[08:04:18	]C17:BASTIRICI.IDAHO-42 used command '/CharSetName 93 C17:BASTIRICI.IDAHO-42'.
[08:04:32	]C17:BASTIRICI.IDAHO-42 used the 'Overwatch Stabilizasyon Tedarikçisi' vendor.
[08:04:52	]C17:BASTIRICI.IDAHO-42 has spawned a scout.
[08:04:56	]C17:BASTIRICI.IDAHO-42 has used a context menu option with the name: rb655_dissolve
[08:04:58	]env_entity_dissolver destroyed a 'SSG-08' #31050.
[08:05:56	]C17:BASTIRICI.IDAHO-42 ran SAM command 'hp' with arguments: '42' '200'
[08:06:05	]C17:BASTIRICI.IDAHO-42 ran SAM command 'armor' with arguments: '42' '150'
[08:06:37	]C17:BASTIRICI.IDAHO-42 has spawned a 'Weapon [2813][arccw_ar2]'.
