[15:12:44	]Enistein has connected.
[15:13:40	]Enistein loaded the character 'Elazar Gül'
[15:13:44	]Elazar Gül entered observer.
[15:14:33	]Elazar Gül has spawned 'models/props_wasteland/controlroom_desk001b.mdl'.
[15:14:34	]Elazar Gül has spawned 'models/props_wasteland/controlroom_desk001a.mdl'.
[15:14:36	]Elazar Gül exited observer at their location.
[15:14:48	]Elazar Gül has given himself a paper.
[15:14:48	]Elazar Gül has gained a 'Kağıt' #32024.
[15:15:00	]Elazar Gül has given himself a book.
[15:15:00	]Elazar Gül has gained a 'Kitap' #32025.
[15:15:05	]Elazar Gül has given himself a notepad.
[15:15:05	]Elazar Gül has gained a 'Not Defteri' #32026.
[15:15:08	]Elazar Gül ran 'drop' on item 'Kağıt' (#32024)
[15:15:08	]Elazar Gül has lost a 'Kağıt' #32024.
[15:15:12	]Elazar Gül ran 'drop' on item 'Not Defteri' (#32026)
[15:15:12	]Elazar Gül has lost a 'Not Defteri' #32026.
[15:15:15	]Elazar Gül ran 'drop' on item 'Kitap' (#32025)
[15:15:15	]Elazar Gül has lost a 'Kitap' #32025.
[15:15:21	]Elazar Gül entered observer.
[15:15:31	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:31	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:31	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:32	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:32	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:32	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:33	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:33	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:33	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:33	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:34	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:34	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:35	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:35	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:35	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:35	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:36	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:36	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:36	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:36	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:37	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:37	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:37	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:43	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:43	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:44	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:45	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:45	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:46	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:46	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:47	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:47	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:47	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:48	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:48	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:49	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:49	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:15:49	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:17:44	]Elazar Gül has fired a toolgun with the name: remover
[15:17:44	]Elazar Gül has fired a toolgun with the name: remover
[15:17:45	]Elazar Gül has fired a toolgun with the name: remover
[15:17:45	]Elazar Gül has fired a toolgun with the name: remover
[15:17:45	]Elazar Gül has fired a toolgun with the name: remover
[15:17:45	]Elazar Gül has fired a toolgun with the name: remover
[15:17:46	]Elazar Gül has fired a toolgun with the name: remover
[15:18:02	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:02	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:02	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:03	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:03	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:03	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:03	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:04	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:04	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:04	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:04	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:04	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:32	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:32	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:32	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:33	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:33	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:33	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:33	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:33	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:34	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:34	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:34	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:34	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:35	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:18:41	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
