[00:00:26	]C17:RL.KING-2 has gone afk.
[00:10:10	]Enistein loaded the character 'G-Man'
[00:10:56	]G-Man entered observer.
[00:17:16	]C17:RL.KING-2 is no longer afk. Total time spent AFK: 1305
[00:17:26	]C17:RL.KING-2 exited observer at their location.
[00:17:26	]C17:RL.KING-2 entered observer.
[00:17:53	]C17:RL.KING-2 exited observer at their location.
[00:17:55	]C17:RL.KING-2 entered observer.
[00:18:55	]DavşanAbi (STEAM_0:0:100418262) has disconnected.
[00:20:27	]Hoo Lee Fuk banditcamp.com has connected.
[00:21:34	]G-Man exited observer at their location.
[00:21:36	]Hoo Lee Fuk banditcamp.com loaded the character 'Ka'har'
[00:21:55	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_sniper.mdl'.
[00:21:58	]Ka'har entered observer.
[00:21:59	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_light.mdl'.
[00:22:09	]Ka'har exited observer at their location.
[00:22:19	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_heavy.mdl'.
[00:22:29	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_sniper.mdl'.
[00:22:34	]DavşanAbi has connected.
[00:22:36	]Ka'har entered observer.
[00:22:48	]Ka'har exited observer at their location.
[00:22:48	]Ka'har entered observer.
[00:22:49	]Ka'har exited observer at their location.
[00:23:11	]DavşanAbi loaded the character 'Noir Lime'
[00:23:11	]Ka'har has spawned a 'Entity [4314][acwatt_go_mp5_mag_15]'.
[00:23:15	]Noir Lime ran SAM command 'goto' with arguments: 'G'
[00:23:16	]Noir Lime is fully healed.
[00:23:22	]Ka'har has spawned 'models/props_trainstation/boxcar2_damaged1.mdl'.
[00:23:24	]Ka'har has spawned 'models/props_trainstation/tanker_damaged1.mdl'.
[00:23:25	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_sniper.mdl'.
[00:23:26	]Ka'har has spawned 'models/weapons/w_magnade.mdl'.
[00:23:31	]Ka'har has spawned 'models/shells/shell_338mag.mdl'.
[00:23:44	]Ka'har used command '/CharGiveItem ka fener 1'.
[00:23:44	]Ka'har has gained a 'El Feneri' #32882.
[00:23:52	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_heavy.mdl'.
[00:23:55	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_heavy2.mdl'.
[00:23:57	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_light.mdl'.
[00:23:58	]Ka'har has spawned 'models/weapons/attachments/upgrades/mag_light.mdl'.
[00:23:58	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_sniper.mdl'.
[00:23:59	]G-Man has spawned 'models/weapons/attachments/upgrades/mag_energy.mdl'.
[00:24:06	]Ka'har has spawned 'models/props/de_inferno/windowbreakable_damage_11.mdl'.
[00:24:11	]Ka'har has spawned a 'Entity [4293][acwatt_go_ammo_sg_magnum]'.
[00:24:13	]Ka'har has spawned 'models/weapons/w_shot_mag7.mdl'.
[00:24:14	]Ka'har has spawned 'models/weapons/w_snip_g3sg1_mag.mdl'.
[00:24:16	]Ka'har has spawned 'models/weapons/w_snip_awp_mag.mdl'.
[00:24:18	]Ka'har has spawned 'models/weapons/w_snip_scar20_mag.mdl'.
[00:24:21	]Ka'har has spawned 'models/items/arccw/magnum_ammo.mdl'.
[00:24:23	]Ka'har has spawned 'models/weapons/w_shot_nova_mag.mdl'.
