[13:28:08	]DavşanAbi has connected.
[13:32:00	]DavşanAbi created the character 'Hayto Kurutuma'
[13:32:01	]DavşanAbi loaded the character 'Hayto Kurutuma'
[13:32:01	]Hayto Kurutuma has gained a 'Açık Gri Kol Bandı' #41365.
[13:32:01	]Hayto Kurutuma has gained a '#26231 Kimlik Kartı' #41366.
[13:32:01	]Hayto Kurutuma has gained a 'Kırmızı Tulum' #41367.
[13:32:01	]Hayto Kurutuma has gained a 'Kahverengi tulum pantolonu' #41368.
[13:32:01	]Hayto Kurutuma has gained a 'Koyu Deri Çizme' #41369.
[13:32:01	]Hayto Kurutuma has gained a 'Gözlükler' #41370.
[13:32:08	]Hayto Kurutuma entered observer.
[13:32:16	]Hayto Kurutuma exited observer at their location.
[13:32:27	]Hayto Kurutuma ran 'drop' on item 'Gözlükler' (#41370)
[13:32:27	]Hayto Kurutuma has lost a 'Gözlükler' #41370.
[13:32:43	]Hayto Kurutuma has given himself a glasses.
[13:32:43	]Hayto Kurutuma has gained a 'Gözlükler' #41371.
[13:32:48	]Hayto Kurutuma entered observer.
[13:36:17	]Hayto Kurutuma exited observer at their location.
[13:36:19	]Hayto Kurutuma entered observer.
[13:38:03	]Hayto Kurutuma exited observer at their location.
[13:38:07	][JAP] Hayto Kurutuma: Bla bla bla
[13:38:09	]Hayto Kurutuma entered observer.
[13:38:22	]Hayto Kurutuma exited observer at their location.
[13:38:25	]Hayto Kurutuma entered observer.
[13:38:36	]Hayto Kurutuma exited observer at their location.
[13:38:37	]Hayto Kurutuma entered observer.
[13:39:56	]Hayto Kurutuma exited observer at their location.
[13:40:22	]Hayto Kurutuma entered observer.
[13:40:22	]Hayto Kurutuma exited observer at their location.
[13:40:25	]Hayto Kurutuma has spawned a 'NPC [4971][npc_monk]'.
[13:40:34	]Hayto Kurutuma entered observer.
[13:40:42	]Hayto Kurutuma exited observer at their location.
[13:40:43	]Hayto Kurutuma entered observer.
[13:40:44	]Hayto Kurutuma exited observer at their location.
[13:41:07	]Hayto Kurutuma rolled 19 out of 20 (+5 from Güç).
[13:41:07	]Hayto Kurutuma used command '/Roll strength'.
[13:41:19	]Hayto Kurutuma entered observer.
[13:41:54	]Hayto Kurutuma exited observer at their location.
[13:42:21	]Hayto Kurutuma entered observer.
[13:42:30	]Hayto Kurutuma has used a context menu option with the name: remove
[13:42:31	]Hayto Kurutuma has used a context menu option with the name: remove
[13:42:33	]Hayto Kurutuma has used a context menu option with the name: remove
[13:42:34	]Hayto Kurutuma has used a context menu option with the name: remove
[13:42:35	]Hayto Kurutuma has used a context menu option with the name: rb655_dissolve
[13:42:37	]Hayto Kurutuma has used a context menu option with the name: remove
[13:42:38	]Hayto Kurutuma has used a context menu option with the name: remove
[13:42:40	]Hayto Kurutuma has used a context menu option with the name: remove
[13:42:41	]Hayto Kurutuma has used a context menu option with the name: remove
[13:42:42	]Hayto Kurutuma has used a context menu option with the name: remove
[13:42:45	]Hayto Kurutuma exited observer at their location.
[13:43:37	]Hayto Kurutuma entered observer.
[13:43:38	]Hayto Kurutuma exited observer at their location.
[13:43:44	]Hayto Kurutuma entered observer.
[13:43:45	]Hayto Kurutuma exited observer at their location.
[13:43:46	]Hayto Kurutuma entered observer.
[13:43:47	]Hayto Kurutuma exited observer at their location.
[13:43:50	]Hayto Kurutuma has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[13:44:03	]Hayto Kurutuma ran 'take' on item 'Rasyon' (#41372)
[13:44:03	]Hayto Kurutuma has gained a 'Rasyon' #41372.
[13:44:07	]Hayto Kurutuma ran 'Open' on item 'Rasyon' (#41372)
[13:44:07	]Hayto Kurutuma has gained a 'Yapay Macun' #41373.
[13:44:07	]Hayto Kurutuma has gained a 'Breen'in Suyu' #41374.
[13:44:07	]Hayto Kurutuma has gained a '15 Kredi Kuponu' #41375.
[13:44:22	]Hayto Kurutuma ran 'Use' on item '15 Kredi Kuponu' (#41375)
[13:44:24	]Hayto Kurutuma has used a coupon at a ration dispenser, gaining 15 credits.
[13:44:36	]Hayto Kurutuma has given himself a 100_coupon.
[13:44:36	]Hayto Kurutuma has gained a '100 Kredi Kuponu' #41376.
[13:44:39	]Hayto Kurutuma ran 'Use' on item '100 Kredi Kuponu' (#41376)
[13:44:41	]Hayto Kurutuma has used a coupon at a ration dispenser, gaining 100 credits.
[13:45:07	][PICKUP DISPENSER] DavşanAbi ( Hayto Kurutuma ) picked up an item from the pickup dispenser.
[13:45:07	]Hayto Kurutuma has gained a 'Daire Anahtarı' #41377.
[13:45:11	]Hayto Kurutuma entered observer.
[13:45:54	]Hayto Kurutuma exited observer at their location.
[13:46:01	]Hayto Kurutuma ran 'take' on item 'Boş Kavanoz' (#41378)
[13:46:01	]Hayto Kurutuma has gained a 'Boş Kavanoz' #41378.
[13:46:02	]Hayto Kurutuma ran 'take' on item 'Hurda Metal' (#41379)
[13:46:02	]Hayto Kurutuma has gained a 'Hurda Metal' #41379.
[13:46:03	]Hayto Kurutuma entered observer.
[13:46:06	]Hayto Kurutuma exited observer at their location.
[13:46:14	]Hayto Kurutuma entered observer.
[13:46:52	]Hayto Kurutuma exited observer at their location.
[13:46:57	]Hayto Kurutuma entered observer.
[13:47:10	]Hayto Kurutuma exited observer at their location.
[13:47:19	]Hayto Kurutuma entered observer.
[13:47:22	]Hayto Kurutuma exited observer at their location.
[13:47:30	]Hayto Kurutuma entered observer.
[13:47:37	]Hayto Kurutuma exited observer at their location.
[13:47:42	]DavşanAbi has unloaded their "Hayto Kurutuma" character.
