[15:02:58	]Shane Walsh has connected.
[15:04:19	]Shane Walsh loaded the character 'C24:i5.UNION-86'
[15:04:24	]C24:i5.UNION-86 is fully healed.
[15:05:37	]C24:i5.UNION-86 has lost a '17rnd Usp-Şarjörü' #50033.
[15:06:06	]civilnetworks.com sadscientist has connected.
[15:06:12	]C24:i5.UNION-86 used the 'Durumsal Ekipman Tedarikçisi' vendor.
[15:06:54	]C24:i5.UNION-86 has gained 0 chips.
[15:06:54	]C24:i5.UNION-86 has gained a 'Identity Card Creation Device' #51087.
[15:07:00	]C24:i5.UNION-86 used the 'Durumsal Ekipman Tedarikçisi' vendor.
[15:07:01	]Ender has connected.
[15:07:15	]deathguard has connected.
[15:07:27	]civilnetworks.com sadscientist loaded the character 'Hope Bethany'
[15:07:44	]C24:i5.UNION-86 used the 'Durumsal Ekipman Tedarikçisi' vendor.
[15:07:50	]Ender (STEAM_0:0:59403685) deleted character 'Polat Şerzet'
[15:07:52	]Ender (STEAM_0:0:59403685) deleted character 'Ender Rich'
[15:07:55	]Ender loaded the character 'Marcus Holloway'
[15:08:01	]deathguard loaded the character 'C24:i5.UNION-35'
[15:08:06	]C24:i5.UNION-35 is fully healed.
[15:08:38	]Marcus Holloway ran 'drop' on item 'Gözlükler' (#50971)
[15:08:38	]Marcus Holloway has lost a 'Gözlükler' #50971.
[15:08:39	]C24:i5.UNION-35 used command '/Radio 10-8'.
[15:08:40	]Marcus Holloway ran 'Equip' on item 'Açık Gri Kol Bandı' (#50966)
[15:08:59	]C24:i5.UNION-86 used command '/Radio 10-4'.
[15:09:38	]civilnetworks.com sadscientist loaded the character 'Mark Lemitski'
[15:09:55	][IC] Mark Lemitski: Neden bu kadar ciddisin_.
[15:10:13	][IC] Mark Lemitski: Neden bu kadar ciddisin.
[15:10:30	][IC] Mark Lemitski: Takip etmesene.
[15:10:34	][IC] Mark Lemitski: Dümbük.
[15:10:43	][IC] Mark Lemitski: Takip etm.
[15:10:47	][IC] Mark Lemitski: Etme.
[15:11:02	]civilnetworks.com sadscientist loaded the character 'Hope Bethany'
[15:11:02	]C24:i5.UNION-35 used command '/Radio kısa süreli 10-7'.
[15:11:11	]C24:i5.UNION-86 used command '/Radio COPY2'.
[15:11:12	]deathguard loaded the character 'John Klebold'
[15:11:36	][IC] Marcus Holloway: !content.
[15:11:37	][IC] Marcus Holloway: !addons.
[15:12:00	]John Klebold opened the 'Kişisel Depo' stash.
[15:12:05	]John Klebold closed the 'Kişisel Depo' stash.
[15:12:12	]Trqea has connected.
[15:12:44	]Hope Bethany ran 'RequestCp' on item 'Talep Cihazı' (#50637)
[15:13:02	]John Klebold picked up a 'comp_metal' from '1.
[15:13:02	]John Klebold has gained a 'Hurda Metal' #51088.
[15:13:03	]John Klebold picked up a 'comp_metal' from '1.
[15:13:03	]John Klebold has gained a 'Hurda Metal' #51089.
[15:13:03	]John Klebold picked up a 'comp_metal' from '1.
[15:13:03	]John Klebold has gained a 'Hurda Metal' #51090.
[15:13:04	]John Klebold picked up a 'comp_metal' from '1.
[15:13:04	]John Klebold has gained a 'Hurda Metal' #51091.
[15:13:04	]John Klebold picked up a 'tool_knife' from '1.
[15:13:04	]John Klebold has gained a 'Mutfak Bıçağı' #51092.
[15:13:09	]C24:i5.UNION-86 has gained a '17rnd Usp-Şarjörü' #50033.
[15:13:09	]C24:i5.UNION-86 has lost a '17rnd Usp-Şarjörü' #50032.
[15:13:09	]Ender (STEAM_0:0:59403685) has disconnected.
[15:13:23	]C24:i5.UNION-86 used command '/Radio 10-20 10-78.'.
[15:13:29	]John Klebold opened the 'Kişisel Depo' stash.
[15:13:29	]John Klebold closed the 'Kişisel Depo' stash.
[15:13:32	]John Klebold opened the 'Kişisel Depo' stash.
[15:13:32	]John Klebold closed the 'Kişisel Depo' stash.
[15:13:33	]John Klebold opened the 'Kişisel Depo' stash.
[15:13:37	]John Klebold has lost a 'Mutfak Bıçağı' #51092.
[15:13:37	]John Klebold has transferred a 'Mutfak Bıçağı' #51092 to a container with the name 'Kişisel Depo' #5159.
[15:13:38	]John Klebold has lost a 'Araç Kiti' #50236.
[15:13:38	]John Klebold has transferred a 'Araç Kiti' #50236 to a container with the name 'Kişisel Depo' #5159.
[15:13:38	][IC] Hope Bethany: Kaçtı ama nasıl durduğunu biliyorum.
[15:13:39	]John Klebold has lost a 'Makas' #49132.
[15:13:39	]John Klebold has transferred a 'Makas' #49132 to a container with the name 'Kişisel Depo' #5159.
[15:13:40	]John Klebold has lost a 'Hurda Metal' #51088.
[15:13:40	]John Klebold has transferred a 'Hurda Metal' #51088 to a container with the name 'Kişisel Depo' #5159.
[15:13:41	]John Klebold closed the 'Kişisel Depo' stash.
[15:13:46	]C24:i5.UNION-86 has critically hit John Klebold in the stomach dealing 19 damage (CritChance was 0.88).
[15:13:46	]John Klebold has taken 19 damage from C24:i5.UNION-86.
[15:13:46	]C24:i5.UNION-86 has critically hit John Klebold in the chest dealing 19 damage (CritChance was 0.88).
[15:13:46	]John Klebold has taken 19 damage from C24:i5.UNION-86.
[15:13:48	][IC] Hope Bethany: Aha.
[15:13:50	]C24:i5.UNION-86 has gained a '17rnd Usp-Şarjörü' #50032.
[15:13:50	]C24:i5.UNION-86 has lost a '17rnd Usp-Şarjörü' #50031.
[15:13:52	][IC] John Klebold: LAN.
[15:13:56	][IC] C24:i5.UNION-86: <:: Geri dön. ::>
[15:13:56	][IC] John Klebold: AGH OMZUM.
[15:14:10	]C24:i5.UNION-86 used command '/Radio 647e 404 e kaçtı birisi'.
[15:14:22	]John Klebold has gained level 9 in the Hız skill.
[15:14:27	]C24:i5.UNION-86 used command '/Radio Yaraladım'.
[15:14:28	]Ender has connected.
[15:14:45	][IC] C24:i5.UNION-86: <:: Sen. ::>
[15:14:53	][IC] C24:i5.UNION-86: <:: Adamın yüzünü hatırlıyormusun? ::>
[15:14:57	][IC] C24:i5.UNION-86: <:: Veya tanıyormusun? ::>
[15:15:07	]Ender loaded the character 'Marcus Holloway'
[15:15:19	][IC] Hope Bethany: Hatırlıyorum biraz.
[15:15:26	][IC] C24:i5.UNION-86: <:: Nasıl birisiydi? ::>
[15:15:32	][IC] Hope Bethany: Ingiliz gibi gözlü takıyordu galiba.
[15:15:32	][IC] John Klebold: Omzumdan vurdu piç.
[15:15:36	][IC] C24:i5.UNION-86: <:: Hmph. ::>
[15:15:38	][IC] Hope Bethany: Siyah saçlı.
[15:15:41	][IC] Hope Bethany: Orta boylu.
[15:15:41	][IC] John Klebold: O kızı bulup kafasını kesicem.
[15:15:42	][IC] C24:i5.UNION-86: <:: İsmini biliyormusun? ::>
[15:15:45	][IC] Hope Bethany: Hayır.
[15:15:49	][IC] Hope Bethany: Direk 404'de girdi.
[15:15:49	][IC] C24:i5.UNION-86: <:: Hmph. ::>
[15:15:52	][IC] C24:i5.UNION-86: <:: Pekala. ::>
[15:15:57	]deathguard loaded the character 'C24:i5.UNION-35'
[15:16:02	]C24:i5.UNION-35 used command '/Radio 10-8'.
[15:16:03	][IC] C24:i5.UNION-86: <:: Anladım teşekkür ederim. ::>
[15:16:05	]Trqea loaded the character 'Smith Murphy'
[15:16:10	]Smith Murphy is fully healed.
[15:16:11	][IC] Hope Bethany: Sorun değil.
[15:16:13	]C24:i5.UNION-35 ran 'EquipUn' on item 'Combine Filter' (#50036)
[15:16:15	]CS.PRO Ellie Williams has connected.
[15:16:16	]C24:i5.UNION-86 used command '/Radio 35 10-20 me a10-78 yap.'.
[15:16:31	][IC] C24:i5.UNION-86: <:: 404 e birisi kaçtı. ::>
[15:16:34	][IC] C24:i5.UNION-86: <:: Yaraladım. ::>
[15:16:40	][IC] C24:i5.UNION-86: <:: Dur dememe rağmen durmadı. ::>
[15:16:44	][IC] C24:i5.UNION-86: <:: Girmedim. ::>
[15:16:59	][IC] C24:i5.UNION-86: <:: Adamın yüz mimikleri ingiliz bıyığı ve bir gözlüğü varmış. ::>
[15:17:02	][IC] C24:i5.UNION-86: <:: Kanaması olabilir. ::>
[15:17:05	]Smith Murphy has gained a 'Eski Masa Saati' #51093.
[15:17:07	][IC] C24:i5.UNION-86: <:: 2 el ateş ettim. ::>
[15:17:10	][IC] C24:i5.UNION-35: <:: Tamam. ::>
[15:17:22	]Smith Murphy ran 'Write' on item 'BHID'in sana ihtiyacı var!' (#21985)
[15:17:25	][IC] C24:i5.UNION-86: <:: Bulduğumuz yerde infazmı edeceğiz? ::>
[15:17:26	]Smith Murphy ran 'Write' on item 'BHID'in sana ihtiyacı var!' (#21985)
[15:17:32	][IC] C24:i5.UNION-35: <:: 10-2. ::>
[15:17:32	][IC] C24:i5.UNION-86: <:: Bir sorunmu var? ::>
[15:17:37	][IC] Marcus Holloway: Hayır.
[15:17:37	][IC] C24:i5.UNION-35: <:: Sorguya alıcaz. ::>
[15:17:41	][IC] C24:i5.UNION-86: <:: Yürü! ::>
