[14:55:25	]bquits has connected.
[14:56:11	]bquits (STEAM_0:0:142449284) deleted character 'Maria Volkov'
[14:58:40	]bquits created the character 'Maria Volkov'
[14:58:40	]bquits loaded the character 'Maria Volkov'
[14:58:40	]Maria Volkov has gained a 'Açık Gri Kol Bandı' #62734.
[14:58:40	]Maria Volkov has gained a '#32036 Kimlik Kartı' #62735.
[14:58:40	]Maria Volkov has gained a 'Gözlükler' #62736.
[14:58:43	]Maria Volkov entered observer.
[14:59:11	]Maria Volkov exited observer at their location.
[14:59:15	]Maria Volkov ran 'drop' on item 'Gözlükler' (#62736)
[14:59:15	]Maria Volkov has lost a 'Gözlükler' #62736.
[14:59:17	]Maria Volkov has used a context menu option with the name: remove
[14:59:18	]Maria Volkov ran 'drop' on item 'Açık Gri Kol Bandı' (#62734)
[14:59:18	]Maria Volkov has lost a 'Açık Gri Kol Bandı' #62734.
[14:59:22	]Maria Volkov has used a context menu option with the name: remove
[14:59:38	]Maria Volkov has given himself a usp.
[14:59:38	]Maria Volkov has gained a 'USP-45' #62737.
[14:59:40	]Maria Volkov ran 'Equip' on item 'USP-45' (#62737)
[14:59:44	]Maria Volkov ran 'EquipUn' on item 'USP-45' (#62737)
[14:59:49	]Maria Volkov has given himself a fiveseven.
[14:59:49	]Maria Volkov has gained a 'FiveSeven' #62738.
[14:59:50	]Maria Volkov ran 'drop' on item 'USP-45' (#62737)
[14:59:50	]Maria Volkov has lost a 'USP-45' #62737.
[14:59:50	]Maria Volkov ran 'Equip' on item 'FiveSeven' (#62738)
[14:59:54	]Maria Volkov has used a context menu option with the name: remove
[15:00:01	]Maria Volkov entered observer.
[15:00:05	]Maria Volkov has given himself a magazine_fiveseven_20rnd.
[15:00:05	]Maria Volkov has gained a '20rnd FiveSeven-şarjörü' #62739.
[15:00:07	]Maria Volkov has given himself a magazine_fiveseven_20rnd.
[15:00:07	]Maria Volkov has gained a '20rnd FiveSeven-şarjörü' #62740.
[15:00:17	]Maria Volkov has given himself a bullets_pistol.
[15:00:17	]Maria Volkov has gained a '9mm Tabanca Mermisi' #62741.
[15:00:18	]Maria Volkov has given himself a bullets_pistol.
[15:00:18	]Maria Volkov has gained a '9mm Tabanca Mermisi' #62742.
[15:00:19	]Maria Volkov has given himself a bullets_pistol.
[15:00:19	]Maria Volkov has gained a '9mm Tabanca Mermisi' #62743.
[15:00:20	]Maria Volkov has given himself a bullets_pistol.
[15:00:20	]Maria Volkov has gained a '9mm Tabanca Mermisi' #62744.
[15:00:59	]Maria Volkov exited observer at their location.
[15:01:02	]Maria Volkov has given himself a hands_tipless_gloves.
[15:01:02	]Maria Volkov has gained a 'Uçsuz Eldivenler' #62745.
[15:01:18	]Maria Volkov has given himself a khaki_hurricane.
[15:01:18	]Maria Volkov has gained a 'Hurricane Haki' #62746.
[15:01:18	]Sinyor Gordon has connected.
[15:01:21	]Maria Volkov entered observer.
[15:01:22	]Maria Volkov exited observer at their location.
[15:01:28	]Maria Volkov entered observer.
[15:01:30	]Maria Volkov has given himself a legs_worn_blue.
[15:01:30	]Maria Volkov has gained a 'Eskimiş Mavi Pantolon' #62747.
[15:01:32	]Maria Volkov exited observer at their location.
[15:01:38	]Maria Volkov has given himself a legs_jumpsuit.
[15:01:38	]Maria Volkov has gained a 'Tulum pantolonu.' #62748.
[15:01:45	]Maria Volkov ran 'drop' on item 'Eskimiş Mavi Pantolon' (#62747)
[15:01:45	]Maria Volkov has lost a 'Eskimiş Mavi Pantolon' #62747.
[15:01:46	]Maria Volkov has used a context menu option with the name: remove
[15:01:56	]Maria Volkov has given himself a beanie_brown.
[15:01:56	]Maria Volkov has gained a 'Kahverengi Bere' #62749.
[15:02:22	]Maria Volkov entered observer.
[15:02:37	]Maria Volkov used command '/CharDesc'.
[15:02:49	]Maria Volkov exited observer at their location.
[15:02:50	]Maria Volkov entered observer.
[15:03:01	]Sinyor Gordon (STEAM_0:1:525389834) deleted character 'muhammet hoca'
[15:03:13	]Maria Volkov exited observer at their location.
[15:03:24	]Maria Volkov entered observer.
[15:03:29	]Maria Volkov ran 'take' on item 'Machete' (#60363)
[15:03:29	]Maria Volkov has gained a 'Machete' #60363.
[15:03:31	]Maria Volkov ran 'Equip' on item 'Machete' (#60363)
[15:03:33	]Maria Volkov exited observer at their location.
[15:03:38	]Maria Volkov ran 'combine' on item '20rnd FiveSeven-şarjörü' (#62740)
[15:03:39	]Maria Volkov ran 'combine' on item '20rnd FiveSeven-şarjörü' (#62739)
[15:03:41	]Maria Volkov has lost a '20rnd FiveSeven-şarjörü' #62740.
[15:03:53	]Maria Volkov has given himself a smallbag.
[15:03:53	]Maria Volkov has gained a 'Küçük Çanta' #62750.
[15:04:19	]Maria Volkov has given himself a shoes_leather_brown.
[15:04:19	]Maria Volkov has gained a 'Kahverengi Deri Çizme' #62751.
[15:04:24	]Maria Volkov entered observer.
[15:04:39	]Maria Volkov exited observer at their location.
[15:04:41	]Maria Volkov entered observer.
[15:04:48	]Maria Volkov exited observer at their location.
[15:04:49	]Maria Volkov entered observer.
[15:04:51	]Maria Volkov ran 'Write' on item 'Hainlik' (#61023)
[15:04:53	]Maria Volkov ran 'Write' on item 'Hainlik' (#61023)
[15:05:03	]Maria Volkov ran 'Write' on item 'Hainlik' (#61023)
[15:05:12	]Sinyor Gordon created the character 'Mark Ringer'
[15:05:12	]Sinyor Gordon loaded the character 'Mark Ringer'
[15:05:12	]Mark Ringer has gained a 'Açık Gri Kol Bandı' #62752.
[15:05:12	]Mark Ringer has gained a '#34885 Kimlik Kartı' #62753.
[15:05:12	]Mark Ringer has gained a 'Kırmızı Tulum' #62754.
[15:05:12	]Mark Ringer has gained a 'Kırmızı tulum pantolonu' #62755.
[15:05:17	]Maria Volkov opened the 'Büyük Metal Dolap' #5867 container.
[15:05:19	]Maria Volkov closed the 'Büyük Metal Dolap' #5867 container.
[15:05:21	]Maria Volkov exited observer at their location.
[15:05:26	]bquits loaded the character 'Jack Ringer'
[15:05:28	]Jack Ringer entered observer.
[15:05:29	]Jack Ringer exited observer at their location.
[15:05:30	]Mark Ringer has given himself a flashlight.
[15:05:30	]Mark Ringer has gained a 'El Feneri' #62756.
[15:05:30	]Jack Ringer entered observer.
[15:05:31	]Mark Ringer entered observer.
[15:05:35	]Jack Ringer ran SAM command 'goto' with arguments: 'mark'
[15:05:59	]Jack Ringer exited observer at their location.
[15:06:00	]Jack Ringer entered observer.
[15:06:01	]Mark Ringer ran SAM command 'goto' with arguments: 'j'
[15:06:03	]Jack Ringer exited observer at their location.
[15:06:05	]Mark Ringer exited observer at their location.
[15:06:16	]Jack Ringer used command '/ActStand 3'.
[15:06:21	]Jack Ringer used command '/ExitAct'.
[15:06:28	]Mark Ringer has given himself a torso_green_coat.
[15:06:28	]Mark Ringer has gained a 'Yeşil Kışlık Mont' #62757.
[15:06:31	]Mark Ringer ran 'drop' on item 'Kırmızı Tulum' (#62754)
[15:06:31	]Mark Ringer has lost a 'Kırmızı Tulum' #62754.
[15:06:32	]Mark Ringer ran 'drop' on item 'Kırmızı tulum pantolonu' (#62755)
[15:06:32	]Mark Ringer has lost a 'Kırmızı tulum pantolonu' #62755.
[15:06:35	]Mark Ringer has used a context menu option with the name: remove
[15:06:36	]Mark Ringer has used a context menu option with the name: remove
[15:06:43	]Mark Ringer has given himself a shoes_worn_brown.
[15:06:43	]Mark Ringer has gained a 'Eskimiş Kahverengi Ayakkabı' #62758.
[15:06:56	]Mark Ringer has given himself a legs_black_padded_pants.
[15:06:56	]Mark Ringer has gained a 'Siyah Dolgulu Pantolon' #62759.
[15:07:02	]Mark Ringer has given himself a legs_green_padded_pants.
[15:07:02	]Mark Ringer has gained a 'Yeşil Dolgulu Pantolon' #62760.
[15:07:08	]Mark Ringer ran 'drop' on item 'Yeşil Dolgulu Pantolon' (#62760)
[15:07:08	]Mark Ringer has lost a 'Yeşil Dolgulu Pantolon' #62760.
[15:07:09	]Mark Ringer ran 'drop' on item 'Siyah Dolgulu Pantolon' (#62759)
[15:07:09	]Mark Ringer has lost a 'Siyah Dolgulu Pantolon' #62759.
[15:07:10	]Mark Ringer has used a context menu option with the name: rb655_dissolve
[15:07:11	]Mark Ringer has used a context menu option with the name: rb655_dissolve
[15:07:12	]env_entity_dissolver destroyed a 'Siyah Dolgulu Pantolon' #62759.
[15:07:13	]env_entity_dissolver destroyed a 'Yeşil Dolgulu Pantolon' #62760.
[15:07:18	]Mark Ringer has given himself a legs_green_pants.
[15:07:18	]Mark Ringer has gained a 'Koyu Yeşil Pantolon' #62761.
[15:07:25	]Jack Ringer entered observer.
[15:07:44	]Mark Ringer has given himself a hands_tipless_gloves.
[15:07:44	]Mark Ringer has gained a 'Uçsuz Eldivenler' #62762.
[15:07:58	]Jack Ringer exited observer at their location.
[15:08:10	]Mark Ringer has given himself a head_gasmask.
[15:08:10	]Mark Ringer has gained a 'Gaz Maskesi' #62763.
[15:08:14	]Mark Ringer has given himself a head_flat_cap.
[15:08:14	]Mark Ringer has gained a 'Düz Şapka' #62764.
[15:08:29	]Jack Ringer has given himself a spade.
