[15:08:05	]Ender has connected.
[15:08:56	]Ender loaded the character 'Wilson Dawson'
[15:09:01	]Wilson Dawson is fully healed.
[15:09:20	]Wilson Dawson has critically hit npc_headcrab dealing 80 damage (CritChance was 0.20).
[15:09:21	]Wilson Dawson has taken 5 damage from npc_headcrab.
[15:09:22	]Wilson Dawson has hit npc_headcrab dealing 45 damage (CritChance was 0.20).
[15:09:26	]Wilson Dawson is fully healed.
[15:09:39	]Wilson Dawson has gained level 12 in the Hız skill.
[15:10:31	]Ender has unloaded their "Wilson Dawson" character.
[15:11:22	]Ender loaded the character 'S10/OWS.GHOST-93'
[15:11:29	]S10/OWS.GHOST-93 has lost a '30rnd MP-şarjörü' #61918.
[15:11:29	]S10/OWS.GHOST-93 has gained a '30rnd MP-şarjörü' #61890.
[15:11:37	]S10/OWS.GHOST-93 has gained a '30rnd MP-şarjörü' #61918.
[15:11:37	]S10/OWS.GHOST-93 has lost a '30rnd MP-şarjörü' #61890.
[15:11:41	]S10/OWS.GHOST-93 ran 'combine' on item '30rnd MP-şarjörü' (#61918)
[15:11:42	]S10/OWS.GHOST-93 ran 'combine' on item 'SMG Mermisi' (#65199)
[15:11:43	]S10/OWS.GHOST-93 ran 'combine' on item 'SMG Mermisi' (#65210)
[15:11:45	]S10/OWS.GHOST-93 ran 'combine' on item 'SMG Mermisi' (#65210)
[15:11:46	]S10/OWS.GHOST-93 ran 'combine' on item 'SMG Mermisi' (#65208)
[15:11:49	]S10/OWS.GHOST-93 has gained a '30rnd MP-şarjörü' #61890.
[15:11:49	]S10/OWS.GHOST-93 has lost a '30rnd MP-şarjörü' #61918.
[15:11:52	]S10/OWS.GHOST-93 ran 'drop' on item '30rnd MP-şarjörü' (#61890)
[15:11:52	]S10/OWS.GHOST-93 has lost a '30rnd MP-şarjörü' #61890.
[15:11:52	]S10/OWS.GHOST-93 is fully healed.
[15:11:54	]S10/OWS.GHOST-93 ran 'take' on item '30rnd MP-şarjörü' (#61890)
[15:11:54	]S10/OWS.GHOST-93 has gained a '30rnd MP-şarjörü' #61890.
[15:11:57	]S10/OWS.GHOST-93 ran 'drop' on item 'Onarım Kaplaması' (#61882)
[15:11:57	]S10/OWS.GHOST-93 has lost a 'Onarım Kaplaması' #61882.
