[15:03:10	]Edil has connected.
[15:03:50	]Edil loaded the character 'Daniel Dane'
[15:04:35	]Edil (STEAM_0:1:62801696) has disconnected.
[15:14:14	]Baha1223 has connected.
[15:15:51	]Baha1223 loaded the character 'Bahadır Duran'
[15:16:36	][IC] Bahadır Duran: Pain.
[15:17:29	]bquits has connected.
[15:18:35	]Bahadır Duran ran 'drop' on item 'Boş Breen'in Suyu' (#60506)
[15:18:35	]Bahadır Duran has lost a 'Boş Breen'in Suyu' #60506.
[15:18:36	]hAnteiX has connected.
[15:18:39	]Bahadır Duran ran 'drop' on item '#50698 Kimlik Kartı' (#65920)
[15:18:39	]Bahadır Duran has lost a '#50698 Kimlik Kartı' #65920.
[15:18:42	]bquits loaded the character 'Jack Ringer'
[15:18:44	]Bahadır Duran ran 'take' on item '#50698 Kimlik Kartı' (#65920)
[15:18:44	]Bahadır Duran has gained a '#50698 Kimlik Kartı' #65920.
[15:18:47	]Jack Ringer entered observer.
[15:18:50	]Bahadır Duran ran 'take' on item 'Boş Breen'in Suyu' (#60506)
[15:18:50	]Bahadır Duran has gained a 'Boş Breen'in Suyu' #60506.
[15:19:04	]Jack Ringer ran SAM command 'hp' with arguments: '^' '100'
[15:19:07	]Jack Ringer is fully healed.
[15:19:07	]Jack Ringer exited observer at their location.
[15:19:09	]Jack Ringer entered observer.
[15:19:51	]hAnteiX loaded the character 'Polat Çakar'
[15:19:54	]bquits (STEAM_0:0:142449284) has disconnected.
[15:20:25	]Polat Çakar opened the 'Kişisel Depo' stash.
[15:20:25	]Polat Çakar closed the 'Kişisel Depo' stash.
[15:20:26	]Polat Çakar opened the 'Kişisel Depo' stash.
[15:20:30	]Polat Çakar closed the 'Kişisel Depo' stash.
[15:21:00	]Polat Çakar opened the 'Kişisel Depo' stash.
[15:21:08	]Polat Çakar closed the 'Kişisel Depo' stash.
[15:23:31	]Baha1223 (STEAM_0:0:554037818) has disconnected.
[15:27:47	]Polat Çakar opened the 'Kişisel Depo' stash.
[15:27:51	]Polat Çakar closed the 'Kişisel Depo' stash.
[15:31:59	]Polat Çakar ran 'take' on item 'Bez Paçavralar' (#65928)
[15:31:59	]Polat Çakar has gained a 'Bez Paçavralar' #65928.
[15:32:01	]Polat Çakar ran 'take' on item 'Yapıştırıcı' (#65929)
[15:32:01	]Polat Çakar has gained a 'Yapıştırıcı' #65929.
[15:32:58	]Polat Çakar ran 'take' on item 'Güçlü Yapıştırıcı' (#65931)
[15:33:12	]Polat Çakar ran 'Consume' on item 'Çiğ Headcrab Eti' (#65248)
[15:33:15	]Polat Çakar opened the 'Dropped Items' #6316 container.
[15:33:20	]Polat Çakar closed the 'Dropped Items' #6316 container.
[15:33:26	]Polat Çakar opened the 'Dropped Items' #6316 container.
[15:33:28	]Polat Çakar closed the 'Dropped Items' #6316 container.
[15:33:49	]Polat Çakar opened the 'Dropped Items' #6316 container.
[15:33:49	]Polat Çakar closed the 'Dropped Items' #6316 container.
[15:33:50	]Polat Çakar opened the 'Dropped Items' #6316 container.
[15:33:59	]Polat Çakar ran 'Consume' on item 'Çiğ Headcrab Eti' (#65254)
[15:34:00	]Polat Çakar closed the 'Dropped Items' #6316 container.
[15:34:43	]Polat Çakar has taken 5 damage from ix_item.
[15:39:45	]Polat Çakar ran 'use' on item 'Kan Stabilizatörü' (#53165)
[15:39:45	]Polat Çakar has performed the 'Use Kan Stabilizatörü' action, gaining 36 experience in medicine.
[15:39:45	]Polat Çakar was bandaged by Polat Çakar for 24 HP.
[15:39:45	]Polat Çakar ran 'use' on item 'Kan Stabilizatörü' (#53165)
[15:39:45	]Polat Çakar was bandaged by Polat Çakar for 24 HP.
[15:39:46	]Polat Çakar ran 'use' on item 'Kan Stabilizatörü' (#53165)
[15:39:46	]Polat Çakar was bandaged by Polat Çakar for 24 HP.
[15:40:23	]hAnteiX (STEAM_0:0:530009222) has disconnected.
[15:40:25	]DavşanAbi has connected.
[15:41:45	]DavşanAbi loaded the character 'Arif Sertkesen'
[15:41:50	]Arif Sertkesen is fully healed.
[15:41:56	]Arif Sertkesen entered observer.
[15:43:25	]Arif Sertkesen exited observer at their location.
[15:43:31	]Arif Sertkesen entered observer.
[15:43:37	]Arif Sertkesen exited observer at their location.
[15:43:38	]Arif Sertkesen entered observer.
[15:43:38	]Arif Sertkesen exited observer at their location.
[15:43:52	]Arif Sertkesen entered observer.
[15:43:54	]Arif Sertkesen exited observer at their location.
[15:44:31	]Arif Sertkesen ran 'take' on item 'Çivi Kutusu' (#65942)
[15:44:31	]Arif Sertkesen has gained a 'Çivi Kutusu' #65942.
[15:45:31	]Arif Sertkesen entered observer.
[15:45:42	]Arif Sertkesen exited observer at their location.
[15:45:47	]Arif Sertkesen entered observer.
[15:45:51	]Arif Sertkesen exited observer at their location.
[15:45:52	]Arif Sertkesen entered observer.
[15:45:53	]Arif Sertkesen exited observer at their location.
[15:45:59	]Arif Sertkesen entered observer.
[15:46:00	]Arif Sertkesen exited observer at their location.
[15:46:01	]Arif Sertkesen entered observer.
[15:46:02	]Arif Sertkesen exited observer at their location.
[15:46:03	]Arif Sertkesen entered observer.
[15:46:20	]Arif Sertkesen exited observer at their location.
[15:46:28	]Arif Sertkesen entered observer.
[15:46:29	]Arif Sertkesen exited observer at their location.
[15:46:29	]Arif Sertkesen has taken 34 damage from worldspawn.
[15:46:31	]Arif Sertkesen entered observer.
[15:46:33	]Arif Sertkesen exited observer at their location.
[15:46:34	]Arif Sertkesen entered observer.
[15:46:38	]Arif Sertkesen exited observer at their location.
[15:46:39	]Arif Sertkesen entered observer.
[15:46:44	]Arif Sertkesen exited observer at their location.
[15:46:52	]Arif Sertkesen entered observer.
[15:46:53	]Arif Sertkesen exited observer at their location.
[15:47:12	]Arif Sertkesen opened the 'Kişisel Depo' stash.
[15:47:23	]Arif Sertkesen closed the 'Kişisel Depo' stash.
[15:47:42	]Arif Sertkesen entered observer.
[15:47:42	]Arif Sertkesen exited observer at their location.
[15:47:43	]Arif Sertkesen entered observer.
[15:47:46	]Arif Sertkesen exited observer at their location.
[15:47:47	]Arif Sertkesen entered observer.
[15:47:48	]Arif Sertkesen exited observer at their location.
[15:47:49	]Arif Sertkesen has taken 9 damage from worldspawn.
