[15:22:30	]Ellie Williams has connected.
[15:25:20	]Ellie Williams loaded the character 'Tommy Black'
[15:25:25	]Tommy Black is fully healed.
[15:26:23	]Tommy Black opened the 'Büyük Metal Dolap' #6201 container.
[15:26:28	]Tommy Black ran 'drop' on item 'El Feneri' (#62106)
[15:26:28	]Tommy Black has lost a 'El Feneri' #62106.
[15:26:29	]Tommy Black has transferred a 'Gözlükler' #63453 to a container with the name 'Büyük Metal Dolap' #6201.
[15:26:30	]Tommy Black has transferred a 'El Feneri' #65596 to a container with the name 'Büyük Metal Dolap' #6201.
[15:26:32	]Tommy Black closed the 'Büyük Metal Dolap' #6201 container.
[15:26:38	]Tommy Black ran 'take' on item 'El Feneri' (#62106)
[15:26:38	]Tommy Black has gained a 'El Feneri' #62106.
[15:26:40	]Tommy Black opened the 'Büyük Metal Dolap' #6201 container.
[15:26:45	]Tommy Black has transferred a 'El Feneri' #62106 to a container with the name 'Büyük Metal Dolap' #6201.
[15:26:46	]Tommy Black has transferred a 'Sigara' #55414 to a container with the name 'Büyük Metal Dolap' #6201.
[15:26:47	]Tommy Black closed the 'Büyük Metal Dolap' #6201 container.
[15:26:50	]Tommy Black ran 'Unlock' on item 'Daire Anahtarı' (#64499)
[15:26:55	]Tommy Black ran 'Lock' on item 'Daire Anahtarı' (#64499)
[15:26:56	]Ellie Williams has unloaded their "Tommy Black" character.
[15:27:01	]Ellie Williams loaded the character 'C24:i5.UNION-61'
[15:27:06	]C24:i5.UNION-61 is fully healed.
[15:27:17	]C24:i5.UNION-61 has lost a '17rnd Usp-Şarjörü' #52003.
[15:27:17	]C24:i5.UNION-61 has gained a '17rnd Usp-Şarjörü' #60609.
[15:27:20	]C24:i5.UNION-61 has gained a '17rnd Usp-Şarjörü' #52003.
[15:27:20	]C24:i5.UNION-61 has lost a '17rnd Usp-Şarjörü' #60612.
[15:27:57	]C24:i5.UNION-61 used command '/ActKnockIdle'.
[15:28:05	]C24:i5.UNION-61 used command '/ActDown'.
[15:28:07	]C24:i5.UNION-61 used command '/ActDown'.
[15:28:09	]C24:i5.UNION-61 used command '/ActDown'.
[15:28:12	]Ellie Williams has unloaded their "C24:i5.UNION-61" character.
[15:28:18	]Ellie Williams loaded the character 'Tommy Black'
[15:29:11	]Tommy Black ran 'take' on item 'Boş Benzin Bidonu' (#65955)
[15:29:11	]Tommy Black has gained a 'Boş Benzin Bidonu' #65955.
[15:29:14	]Tommy Black ran 'drop' on item 'Boş Benzin Bidonu' (#65955)
[15:29:14	]Tommy Black has lost a 'Boş Benzin Bidonu' #65955.
[15:29:41	]Tommy Black ran 'take' on item 'Demir' (#66025)
[15:29:41	]Tommy Black has gained a 'Demir' #66025.
[15:29:44	]Tommy Black ran 'take' on item 'Çivi Kutusu' (#66024)
[15:29:44	]Tommy Black has gained a 'Çivi Kutusu' #66024.
[15:30:11	]Tommy Black ran 'take' on item 'Yapıştırıcı' (#66028)
[15:30:11	]Tommy Black has gained a 'Yapıştırıcı' #66028.
[15:30:12	]Tommy Black ran 'take' on item 'Çivi Kutusu' (#66027)
