[16:04:53	]Victorian has connected.
[16:13:16	]Victorian loaded the character 'Hilbert Ritter'
[16:13:27	]Hilbert Ritter entered observer.
[16:15:53	]Hilbert Ritter exited observer at their location.
[16:15:54	]Hilbert Ritter entered observer.
[16:15:54	]Hilbert Ritter exited observer at their location.
[16:15:56	]Hilbert Ritter entered observer.
[16:15:56	]Hilbert Ritter exited observer at their location.
[16:15:57	]Hilbert Ritter entered observer.
[16:15:57	]Hilbert Ritter exited observer at their location.
[16:15:59	]Hilbert Ritter entered observer.
[16:15:59	]Hilbert Ritter exited observer at their location.
[16:16:01	]Hilbert Ritter entered observer.
[16:16:01	]Hilbert Ritter exited observer at their location.
[16:16:03	]Hilbert Ritter has taken 21 damage from worldspawn.
[16:16:03	]Hilbert Ritter entered observer.
[16:16:04	]Hilbert Ritter exited observer at their location.
[16:16:05	]Hilbert Ritter entered observer.
[16:16:05	]Hilbert Ritter exited observer at their location.
[16:16:07	]Hilbert Ritter entered observer.
[16:16:07	]Hilbert Ritter exited observer at their location.
[16:16:08	]Hilbert Ritter entered observer.
[16:16:08	]Hilbert Ritter exited observer at their location.
[16:16:10	]Hilbert Ritter entered observer.
[16:16:10	]Hilbert Ritter exited observer at their location.
[16:16:12	]Hilbert Ritter entered observer.
[16:16:13	]Hilbert Ritter exited observer at their location.
[16:16:14	]Hilbert Ritter entered observer.
[16:16:14	]Hilbert Ritter exited observer at their location.
[16:16:15	]Hilbert Ritter entered observer.
[16:16:16	]Hilbert Ritter exited observer at their location.
[16:16:17	]Hilbert Ritter entered observer.
[16:16:17	]Hilbert Ritter exited observer at their location.
[16:16:18	]Hilbert Ritter entered observer.
[16:16:19	]Hilbert Ritter exited observer at their location.
[16:16:19	]Hilbert Ritter entered observer.
[16:16:19	]Hilbert Ritter exited observer at their location.
[16:16:25	]Hilbert Ritter ran SAM command 'hp' with arguments: 'Hilbert' '100'
[16:16:26	]Hilbert Ritter is fully healed.
[16:20:06	]Hilbert Ritter entered observer.
[16:20:11	]Hilbert Ritter exited observer at their location.
