[01:32:46	]Cheese has connected.
[01:33:02	][AltChecker] Cheese joined for the first time, generating new cookie.
[01:39:58	]Enistein has connected.
[01:40:33	]Enistein loaded the character 'Theodore Abernathy'
[01:40:36	]Theodore Abernathy entered observer.
[01:40:38	]Theodore Abernathy exited observer at their location.
[01:40:48	]Theodore Abernathy entered observer.
[01:40:48	]Theodore Abernathy exited observer at their location.
[01:40:49	]Theodore Abernathy entered observer.
[01:41:09	]Theodore Abernathy exited observer at their location.
[01:41:16	]Theodore Abernathy entered observer.
[01:41:17	]Theodore Abernathy exited observer at their location.
[01:41:18	]Theodore Abernathy entered observer.
[01:41:35	]Theodore Abernathy exited observer at their location.
[01:41:45	]Theodore Abernathy entered observer.
[01:41:47	]Theodore Abernathy exited observer at their location.
[01:42:08	]Theodore Abernathy entered observer.
[01:42:08	]Theodore Abernathy exited observer at their location.
[01:42:09	]Theodore Abernathy entered observer.
[01:42:13	]Theodore Abernathy exited observer at their location.
[01:42:21	]Theodore Abernathy entered observer.
[01:42:25	]Theodore Abernathy exited observer at their location.
[01:43:34	]Theodore Abernathy entered observer.
[01:43:44	]Theodore Abernathy exited observer at their location.
[01:44:12	]Theodore Abernathy entered observer.
[01:44:30	]Theodore Abernathy exited observer at their location.
[01:44:30	]Theodore Abernathy entered observer.
[01:44:31	]Theodore Abernathy exited observer at their location.
[01:44:37	]Theodore Abernathy entered observer.
[01:44:38	]Theodore Abernathy exited observer at their location.
[01:44:38	]Theodore Abernathy entered observer.
[01:44:55	]Theodore Abernathy exited observer at their location.
[01:44:55	]Theodore Abernathy entered observer.
[01:44:56	]Theodore Abernathy exited observer at their location.
[01:44:58	]Theodore Abernathy entered observer.
[01:44:59	]Theodore Abernathy exited observer at their location.
[01:45:00	]Theodore Abernathy entered observer.
[01:45:30	]Theodore Abernathy exited observer at their location.
[01:45:30	]Theodore Abernathy entered observer.
[01:49:29	]Cheese created the character 'Alfred Bust'
[01:49:29	]Cheese loaded the character 'Alfred Bust'
[01:49:29	]Alfred Bust has gained a 'Açık Gri Kol Bandı' #69436.
[01:49:29	]Alfred Bust has gained a '#45799 Kimlik Kartı' #69437.
[01:49:29	]Alfred Bust has gained a 'Gri Tulum' #69438.
[01:49:29	]Alfred Bust has gained a 'Gri tulum pantolonu' #69439.
[01:49:29	]Alfred Bust has gained a 'Eskimiş Kahverengi Ayakkabı' #69440.
[01:49:29	]Alfred Bust has gained a 'Gözlükler' #69441.
[01:49:59	]Theodore Abernathy exited observer at their location.
[01:49:59	]Theodore Abernathy entered observer.
[01:50:04	]Theodore Abernathy exited observer at their location.
[01:50:33	]Theodore Abernathy used command '/ActLean 2'.
[01:50:38	]Theodore Abernathy used command '/ActLean 2'.
[01:50:51	][ENG] Alfred Bust: selam
[01:51:08	][ENG] Alfred Bust: selamün aleyküm
[01:51:24	][ENG] Alfred Bust: hello friend how are you doing today
[01:52:25	]Theodore Abernathy has used a context menu option with the name: rb655_door_unlock
[01:52:26	]Theodore Abernathy has used a context menu option with the name: rb655_door_open
[01:52:40	]Theodore Abernathy used command '/ActLean 2'.
[01:52:41	]Theodore Abernathy used command '/ActInjured'.
[01:52:44	][IC] Alfred Bust: Naber zenci.
[01:52:53	]Theodore Abernathy used command '/ExitAct'.
[01:53:58	]Theodore Abernathy entered observer.
[01:54:00	]Theodore Abernathy exited observer at their location.
[01:54:03	]Theodore Abernathy entered observer.
[01:54:03	]Theodore Abernathy exited observer at their location.
[01:54:09	]Theodore Abernathy ran SAM command 'setrank' with arguments: 'alfred' 'server_admin'
[01:54:11	]Alfred Bust entered observer.
[01:54:13	]Alfred Bust exited observer at their location.
[01:54:14	]Alfred Bust entered observer.
[01:54:15	]Alfred Bust exited observer at their location.
[01:54:17	]Alfred Bust entered observer.
[01:54:17	]Alfred Bust exited observer at their location.
[01:54:18	]Theodore Abernathy ran SAM command 'menu' with arguments: ''
[01:54:30	][IC] Theodore Abernathy: Yaralıyım.
[01:54:34	][IC] Theodore Abernathy: Yaralı.
[01:54:35	][IC] Theodore Abernathy: Wounded.
[01:54:35	][IC] Alfred Bust: Yaralıyım.
[01:54:44	]Theodore Abernathy entered observer.
[01:54:47	]Alfred Bust entered observer.
[01:54:55	]Theodore Abernathy exited observer at their location.
[01:54:56	]Alfred Bust exited observer at their location.
[01:56:56	]Theodore Abernathy entered observer.
[01:57:06	]Theodore Abernathy exited observer at their location.
[01:57:08	]Theodore Abernathy entered observer.
[01:57:09	]Theodore Abernathy exited observer at their location.
[01:57:25	][ME] Alfred Bust: şu beyaz zenciyi görünce kaçmaya başlar
