[12:42:56	]Mersa has connected.
[12:46:51	]Mersa loaded the character 'C24:RCT.UNION-25'
[12:49:08	]C24:RCT.UNION-25 ran 'Use' on item '20 Kredi Kuponu' (#70494)
[12:49:10	]C24:RCT.UNION-25 has used a coupon at a ration dispenser, gaining 20 credits.
[12:49:30	]C24:RCT.UNION-25 entered observer.
[12:49:32	]C24:RCT.UNION-25 exited observer.
[12:49:34	]C24:RCT.UNION-25 entered observer.
[12:49:38	]C24:RCT.UNION-25 exited observer.
[12:49:40	]C24:RCT.UNION-25 entered observer.
[12:49:49	]C24:RCT.UNION-25 exited observer.
[12:50:32	]Mersa has unloaded their "C24:RCT.UNION-25" character.
[12:55:51	]Mersa has gone afk.
[13:00:19	]Mersa created the character 'Stan Marble'
[13:00:20	]Mersa loaded the character 'Stan Marble'
[13:00:20	]Stan Marble is no longer afk. Total time spent AFK: 565
[13:00:20	]Stan Marble has gained a 'Açık Gri Kol Bandı' #70622.
[13:00:20	]Stan Marble has gained a '#20028 Kimlik Kartı' #70623.
[13:00:20	]Stan Marble has gained a 'Gri Tulum' #70624.
[13:00:20	]Stan Marble has gained a 'Siyah tulum pantolonu' #70625.
[13:00:20	]Stan Marble has gained a 'Koyu Deri Çizme' #70626.
[13:06:07	]Stan Marble entered observer.
[13:07:59	]Stan Marble opened the 'Dropped Items' #6781 container.
[13:08:08	]Stan Marble closed the 'Dropped Items' #6781 container.
[13:08:25	]Stan Marble ran 'Equip' on item 'Açık Gri Kol Bandı' (#70622)
[13:08:28	]Stan Marble opened the 'Dropped Items' #6781 container.
[13:08:33	]Stan Marble closed the 'Dropped Items' #6781 container.
[13:08:38	]Stan Marble ran 'Consume' on item 'Çiğ Headcrab Eti' (#70488)
[13:11:13	]Stan Marble has fired a toolgun with the name: creator
[13:11:13	]Stan Marble has spawned a 'NPC [4753][npc_zombie]'.
[13:11:18	]Stan Marble has spawned a 'NPC [4753][npc_zombie]'.
[13:11:24	]Stan Marble has spawned a 'NPC [4753][npc_zombie_torso]'.
[13:11:26	]Stan Marble has spawned a 'NPC [4760][npc_zombie]'.
[13:11:34	]Stan Marble has spawned a 'NPC [4753][npc_headcrab]'.
[13:11:41	]Stan Marble has spawned a 'NPC [4753][npc_headcrab]'.
[13:11:54	]Stan Marble has spawned a 'NPC [4760][npc_headcrab]'.
[13:12:02	]Stan Marble has spawned a 'NPC [4864][npc_headcrab]'.
[13:12:06	]Stan Marble has spawned a 'NPC [4887][npc_headcrab]'.
[13:12:20	]Stan Marble has spawned a 'NPC [4888][npc_headcrab]'.
[13:13:09	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_barrel_mush_floor03.mdl'.
[13:13:13	]Stan Marble has spawned 'models/jq/hlvr/props/infestation/p1/plant1c.mdl'.
[13:13:16	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_fin001.mdl'.
[13:13:21	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_vort_plant.mdl'.
[13:13:30	]Stan Marble has spawned 'models/hlvr/distillery_gunk/distillerygunk_gunk.mdl'.
[13:13:37	]Stan Marble has spawned 'models/jq/hlvr/props/infestation/p1/boomerplant_01.mdl'.
[13:13:56	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_jelly_blob001.mdl'.
[13:14:08	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall002_wide_flat.mdl'.
[13:14:15	]Stan Marble has spawned 'models/jq/hlvr/props/infestationv2/xen_v2_danglies_floories.mdl'.
[13:14:21	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_fin003.mdl'.
[13:14:24	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
[13:14:30	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_floor_wall001_wide.mdl'.
[13:14:43	]Stan Marble has spawned 'models/props_junk/garbage256_composite001b.mdl'.
[13:14:46	]Stan Marble has spawned 'models/props_junk/garbage128_composite001d.mdl'.
[13:14:49	]Stan Marble has spawned 'models/props_junk/garbage128_composite001c.mdl'.
[13:14:51	]Stan Marble has spawned 'models/props_junk/garbage128_composite001a.mdl'.
[13:14:58	]Stan Marble has spawned 'models/props_junk/garbage256_composite002a.mdl'.
[13:15:01	]Stan Marble has spawned 'models/props_junk/garbage256_composite002a.mdl'.
[13:15:04	]Stan Marble has spawned 'models/props_junk/garbage256_composite002b.mdl'.
[13:15:07	]Stan Marble has spawned 'models/props_junk/garbage128_composite001a.mdl'.
[13:15:09	]Stan Marble has spawned 'models/props_junk/garbage128_composite001c.mdl'.
[13:15:10	]Stan Marble has spawned 'models/props_junk/garbage128_composite001b.mdl'.
[13:15:13	]Stan Marble has spawned 'models/props_junk/garbage256_composite001b.mdl'.
[13:15:23	]Stan Marble has spawned 'models/props_junk/garbage128_composite001d.mdl'.
[13:15:27	]Stan Marble has spawned 'models/props_junk/garbage128_composite001a.mdl'.
[13:15:56	]Stan Marble has spawned 'models\Humans/Group03m/male_02.mdl'.
[13:16:06	]Stan Marble has spawned 'models\Humans/Group02/male_03.mdl'.
[13:16:13	]Stan Marble has spawned 'models\Humans/Group02/male_03.mdl'.
[13:16:15	]Stan Marble has spawned 'models\Humans/Group02/Male_04.mdl'.
[13:16:16	]Stan Marble has spawned 'models\Humans/Group02/Male_05.mdl'.
[13:17:03	]Stan Marble has spawned 'models/Humans/Group01/Male_Cheaple.mdl'.
[13:17:33	]Stan Marble has spawned 'models/Humans/corpse1.mdl'.
[13:21:18	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_headcrab_cluster003.mdl'.
[13:21:31	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_horiz001.mdl'.
[13:23:19	]Stan Marble has spawned 'models/jq/hlvr/props/infestation/p1/plant1c.mdl'.
[13:25:10	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_bulb002.mdl'.
[13:25:24	]Stan Marble has spawned 'models/jq/hlvr/props/xenpack/xen_wall_mass001.mdl'.
