[15:19:33	]Revain has connected.
[15:22:16	]Krandlin has connected.
[15:22:34	]Revain loaded the character 'Lucas Cooper'
[15:23:11	]Lucas Cooper used command '/PlyWhitelist lucas Protection'.
[15:24:05	]Krandlin loaded the character 'C24:RCT.YELLO-62'
[15:24:09	]C24:RCT.YELLO-62 is fully healed.
[15:25:29	]C24:RCT.YELLO-62 has gained level 20 in the Hız skill.
[15:26:52	]Revain created the character 'C24:RCT.YELLO-72'
[15:26:52	]Lucas Cooper has gained level 5 in the Silahlar skill.
[15:26:52	]Lucas Cooper has gained level 10 in the Hız skill.
[15:26:52	]Revain loaded the character 'C24:RCT.YELLO-72'
[15:26:52	]C24:RCT.YELLO-72 has gained a '#82588 Kimlik Kartı' #71812.
[15:26:52	]C24:RCT.YELLO-72 has gained a 'Combine PDA' #71813.
[15:26:52	]C24:RCT.YELLO-72 has gained a 'SK Üniforması' #71814.
[15:26:52	]C24:RCT.YELLO-72 has gained a 'SK Maskesi' #71815.
[15:26:52	]C24:RCT.YELLO-72 has gained a 'Küçük Çanta' #71816.
[15:26:52	]C24:RCT.YELLO-72 has gained a 'Büyük Çanta' #71817.
[15:27:31	]C24:RCT.YELLO-72 used command '/Radio 10-8'.
[15:27:35	]C24:RCT.YELLO-62 used command '/Radio 10-4'.
[15:27:40	]C24:RCT.YELLO-72 used command '/SC TAC-3'.
[15:27:46	]C24:RCT.YELLO-72 entered observer.
[15:28:41	]Revain (STEAM_0:1:608254786) deleted character 'Lucas Cooper'
[15:28:45	]C24:RCT.YELLO-72 exited observer at their location.
[15:29:19	][PICKUP DISPENSER] Krandlin ( C24:RCT.YELLO-62 ) picked up an item from the pickup dispenser.
[15:29:19	]C24:RCT.YELLO-62 has gained a '20 Kredi Kuponu' #71818.
[15:29:24	]C24:RCT.YELLO-62 ran 'Use' on item '20 Kredi Kuponu' (#71818)
[15:29:26	]C24:RCT.YELLO-62 has used a coupon at a ration dispenser, gaining 20 credits.
[15:32:06	]C24:RCT.YELLO-62 opened the 'Kanıt Deposu' #6523 container.
[15:32:07	]C24:RCT.YELLO-62 closed the 'Kanıt Deposu' #6523 container.
[15:32:09	]C24:RCT.YELLO-62 opened the 'Dropped Items' #6655 container.
[15:32:14	]C24:RCT.YELLO-62 closed the 'Dropped Items' #6655 container.
[15:32:15	]Revain created the character 'Simon Hayes'
[15:32:16	]Revain loaded the character 'Simon Hayes'
[15:32:16	]Simon Hayes has gained a 'Açık Gri Kol Bandı' #71819.
[15:32:16	]Simon Hayes has gained a '#85737 Kimlik Kartı' #71820.
[15:32:34	]C24:RCT.YELLO-62 opened the 'Dropped Items' #6655 container.
