[15:06:18	]Sinyor Gordon has connected.
[15:07:34	]Shane Walsh has connected.
[15:08:17	]Shane Walsh loaded the character 'S10/OWS.GHOST-15'
[15:08:36	]S10/OWS.GHOST-15 ran SAM command 'asay' with arguments: 'admin beni şehire çekermisin'
[15:08:43	]S10/OWS.GHOST-15 has lost a '8rnd Shotgun Magazine' #76184.
[15:08:43	]S10/OWS.GHOST-15 has gained a '8rnd Shotgun Magazine' #76185.
[15:08:57	]S10/OWS.GHOST-15 has gained a '8rnd Shotgun Magazine' #76184.
[15:08:57	]S10/OWS.GHOST-15 has lost a '8rnd Shotgun Magazine' #76185.
[15:09:22	]S10/OWS.GHOST-15 has gained a '8rnd Shotgun Magazine' #76185.
[15:09:22	]S10/OWS.GHOST-15 has lost a '8rnd Shotgun Magazine' #76184.
[15:09:49	]S10/OWS.GHOST-15 has gained a '8rnd Shotgun Magazine' #76184.
[15:09:49	]S10/OWS.GHOST-15 has lost a '8rnd Shotgun Magazine' #76185.
[15:10:27	]S10/OWS.GHOST-15 is fully healed.
[15:10:33	]S10/OWS.GHOST-15 has gained a '8rnd Shotgun Magazine' #76185.
[15:10:33	]S10/OWS.GHOST-15 has lost a '8rnd Shotgun Magazine' #76184.
[15:11:13	]Victorian has connected.
[15:11:32	]S10/OWS.GHOST-15 has gained a '8rnd Shotgun Magazine' #76184.
[15:11:32	]S10/OWS.GHOST-15 has lost a '8rnd Shotgun Magazine' #76185.
[15:11:48	]S10/OWS.GHOST-15 used command '/Radio OVERWATCH; FULLACTIVE'.
[15:12:01	]S10/OWS.GHOST-15 used command '/Radio OVERWATCH; FULL ACTIVE'.
[15:12:11	]Sinyor Gordon loaded the character 'Lena Hofmann'
[15:12:32	]S10/OWS.GHOST-15 ran SAM command 'asay' with arguments: 'admin beni şehire tp le'
[15:12:35	]Lena Hofmann entered observer.
[15:12:37	]Lena Hofmann claimed a report by S10/OWS.GHOST-15 (Shane Walsh).
[15:12:37	]Lena Hofmann ran SAM command 'goto' with arguments: '#4'
