[00:00:00	]Ruslan Zhakov has gained a 'Deagle' #76348 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:00:01	]Ruslan Zhakov has gained a '7rnd Deagle Magazine' #128335 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:00:02	]C24:i4.UNION-83 ran SAM command 'asay' with arguments: 'çantamın oraya gidemediğimi fark ettim piskevit abi'
[00:00:02	]Ruslan Zhakov has gained a '7rnd Deagle Magazine' #112996 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:00:04	]Ruslan Zhakov has gained a '357 Rounds' #135507 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:00:04	]Thomas Edward Lawrence ran 'take' on item 'Plastik Çöp' (#132927)
[00:00:04	]Thomas Edward Lawrence has gained a 'Plastik Çöp' #132927.
[00:00:05	]Ruslan Zhakov has gained a '357 Rounds' #100356 from a container with the name 'Ruslan'ın Über Seksi Sandığı' #9258.
[00:00:05	]Ruslan Zhakov closed the 'Ruslan'ın Über Seksi Sandığı' #9258 container.
[00:00:06	]S10/OWS.GHOST-15 has hit Hudson Reach in the left arm dealing 6 damage (CritChance was 0.30).
[00:00:06	]Hudson Reach has taken 6 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has hit Hudson Reach in the left arm dealing 6 damage (CritChance was 0.30).
[00:00:06	]Hudson Reach has taken 6 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has hit Hudson Reach in the right arm dealing 6 damage (CritChance was 0.30).
[00:00:06	]Hudson Reach has taken 6 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has hit Hudson Reach in the right arm dealing 6 damage (CritChance was 0.43).
[00:00:06	]Hudson Reach has taken 6 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has hit Hudson Reach in the right leg dealing 6 damage (CritChance was 0.43).
[00:00:06	]Hudson Reach has taken 6 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has hit Hudson Reach in the right leg dealing 6 damage (CritChance was 0.43).
[00:00:06	]Hudson Reach has taken 6 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has hit Hudson Reach in the right leg dealing 6 damage (CritChance was 0.43).
[00:00:06	]Hudson Reach has taken 6 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has hit Hudson Reach in the right leg dealing 6 damage (CritChance was 0.43).
[00:00:06	]Hudson Reach has taken 6 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has critically hit Hudson Reach in the right leg dealing 10 damage (CritChance was 0.43).
[00:00:06	]Hudson Reach has taken 10 damage from S10/OWS.GHOST-15.
[00:00:06	]S10/OWS.GHOST-15 has hit Hudson Reach in the right leg dealing 6 damage (CritChance was 0.43).
[00:00:06	]Hudson Reach has taken 6 damage from S10/OWS.GHOST-15.
