[08:31:15	]Neo-Wolffe has connected.
[08:31:53	]Neo-Wolffe loaded the character 'Ace Smith'
[08:31:58	]Ace Smith is fully healed.
[08:32:06	]Neo-Wolffe has unloaded their "Ace Smith" character.
[08:32:10	]Neo-Wolffe loaded the character 'Neo-Wolffe'
[08:32:15	]Neo-Wolffe entered observer.
[08:32:51	]Neo-Wolffe exited observer at their location.
[08:32:53	]Neo-Wolffe entered observer.
[08:32:56	]Neo-Wolffe exited observer at their location.
[08:32:56	]Neo-Wolffe entered observer.
[08:32:58	]Neo-Wolffe exited observer at their location.
[08:32:58	]Neo-Wolffe entered observer.
[08:32:59	]Neo-Wolffe exited observer at their location.
[08:32:59	]Neo-Wolffe entered observer.
[08:33:00	]Neo-Wolffe exited observer at their location.
[08:33:00	]Neo-Wolffe entered observer.
[08:33:01	]Neo-Wolffe exited observer at their location.
[08:33:01	]Neo-Wolffe entered observer.
[08:33:02	]Neo-Wolffe exited observer at their location.
[08:33:02	]Neo-Wolffe entered observer.
[08:33:03	]Neo-Wolffe exited observer at their location.
[08:33:03	]Neo-Wolffe entered observer.
[08:33:04	]Neo-Wolffe exited observer at their location.
[08:33:04	]Neo-Wolffe entered observer.
[08:33:05	]Neo-Wolffe exited observer at their location.
[08:33:05	]Neo-Wolffe entered observer.
[08:33:06	]Neo-Wolffe exited observer at their location.
[08:35:32	]Neo-Wolffe entered observer.
[08:35:38	]Neo-Wolffe exited observer at their location.
[08:35:40	]Neo-Wolffe entered observer.
[08:35:45	]Neo-Wolffe exited observer at their location.
[08:35:46	]Neo-Wolffe entered observer.
[08:35:46	]Neo-Wolffe exited observer at their location.
[08:35:49	]Neo-Wolffe entered observer.
[08:36:04	]Neo-Wolffe exited observer at their location.
[08:36:06	]Neo-Wolffe entered observer.
[08:36:10	]Neo-Wolffe exited observer at their location.
[08:36:20	]Neo-Wolffe entered observer.
[08:36:26	]Neo-Wolffe exited observer at their location.
[08:36:28	]Neo-Wolffe has spawned 'models/jq/hlvr/props/infestationv2/xen_v2_danglies_floories.mdl'.
[08:36:31	]Neo-Wolffe has spawned 'models/jq/hlvr/props/xenpack/xen_web_mid.mdl'.
[08:36:42	]Neo-Wolffe has used a context menu option with the name: clientprop
[08:36:45	]Neo-Wolffe has spawned 'models/jq/hlvr/props/xenpack/xen_web_disc001_filled.mdl'.
[08:36:50	]Neo-Wolffe has spawned 'models/jq/hlvr/props/xenpack/xen_web_corner_small003.mdl'.
[08:37:04	]Neo-Wolffe entered observer.
[08:37:09	]Neo-Wolffe exited observer at their location.
[08:37:13	]Neo-Wolffe has spawned 'models/jq/hlvr/props/xenpack/xen_bulb002.mdl'.
[08:37:14	]Neo-Wolffe has spawned 'models/jq/hlvr/props/xenpack/xen_web_mid.mdl'.
[08:37:20	]Neo-Wolffe has used a context menu option with the name: clientprop
[08:37:24	]Neo-Wolffe has spawned 'models/jq/hlvr/props/infestationv2/xen_v2_danglies.mdl'.
[08:37:25	]Neo-Wolffe has spawned 'models/jq/hlvr/props/xenpack/xen_flat_blob01.mdl'.
[08:38:21	]Neo-Wolffe has spawned 'models/jq/hlvr/props/infestation/p1/zombie_bloater.mdl'.
[08:38:31	]Neo-Wolffe has spawned 'models/props_citizen_tech/firetrap_gashose01b.mdl'.
[08:38:36	]Neo-Wolffe has spawned 'models/willardnetworks/clothingitems/torso_citizen1.mdl'.
[08:38:55	]Neo-Wolffe has spawned 'models/jq/hlvr/props/infestationv2/xen_v2_fungus.mdl'.
[08:38:57	]Neo-Wolffe has spawned 'models/jq/hlvr/props/xenpack/xen_vort_plant.mdl'.
[08:38:59	]Neo-Wolffe has spawned 'models/jq/hlvr/props/infestation/p1/xen_grenade_plant.mdl'.
[08:39:01	]Neo-Wolffe has spawned 'models/jq/hlvr/props/xenpack/xen_blob_corner_small_blob001_stack.mdl'.
[08:39:11	]Neo-Wolffe has spawned 'models/jq/hlvr/props/xenpack/xen_blob_corner001.mdl'.
[08:39:24	]Neo-Wolffe entered observer.
[08:39:25	]Neo-Wolffe exited observer at their location.
[08:39:37	]Neo-Wolffe has spawned 'models/jq/hlvr/props/xenpack/xen_jelly_blob001.mdl'.
