[00:00:00	][IT] C24:i3.KING-20: anlıyor
[00:00:02	][IC] C24:i3.KING-20: Hadi ama.
[00:00:04	]C24:RCT.YELLO-54 opened the 'Çöp Konteyneri' #10954 container.
[00:00:06	]C24:RCT.YELLO-54 closed the 'Çöp Konteyneri' #10954 container.
[00:00:06	][IC] C24:i3.KING-20: Neden ağlıyorsun?
[00:00:10	][IC] C24:i3.KING-20: Banarol yapma.
[00:00:15	][ME] C24:i3.KING-20: yatağa çıkıp arkasına uzanır
[00:00:21	]C24:i3.KING-20 used command '/ActDown 2'.
[00:00:23	]C24:i3.KING-20 used command '/ExitAct'.
[00:00:26	][IC] Thomas Edward Lawrence: Ah... Mühendislik yapsam şu anda gezegen çapında adım çıkardı.
[00:00:27	]C24:i3.KING-20 used command '/ActDown 2'.
[00:00:30	]C24:i3.KING-20 used command '/ExitAct'.
[00:00:34	][IC] Thomas Edward Lawrence: Iş fırsatı doğmuyor.
[00:00:35	][IC] Garrett Foster: Hahahaha.
[00:00:40	]C24:i3.KING-20 used command '/ActDown 2'.
[00:00:42	][IC] Garrett Foster: Hayal kurma o kadar.
[00:00:43	]C24:i3.KING-20 used command '/ExitAct'.
[00:00:49	]C24:i3.KING-20 used command '/ActDown 2'.
[00:00:49	][IC] Garrett Foster: Sonra üzülürsün.
[00:00:52	][IC] C24:RCT.YELLO-54: <:: Ne. ::>
[00:00:52	]Valeria Martin used command '/ActLean 2'.
[00:00:52	][IC] Thomas Edward Lawrence: Neler yaptığımı bilmiyorsunuz, bayım.
[00:00:57	][ME] C24:i5.(X)KING-19: Kişi öyle dediğinde kişi bir anlık irkilir ve duvara bakmaya devam ediyor
[00:01:00	][IC] C24:RCT.YELLO-54: <:: Doktormusun? ::>
[00:01:05	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[00:01:10	][ME] C24:i3.KING-20: onun koluna elini koyarak dokunur
[00:01:13	][IC] C24:RCT.YELLO-54: <:: Bela mı arıyorsun? ::>
[00:01:30	][ME] C24:i3.KING-20: arkasından iyice yaklaşır, vücutları temas eder. Kafasını saçının arkalarına daldırır ve koklar
[00:01:30	][IC] Thomas Edward Lawrence: Şu anda sadece sivil terminalleri veya Combine kapasitörlerini tamir ediyor olabilirim. Ama bunlar benim için çocuk oyuncağı.
[00:01:46	][ME] C24:i3.KING-20: gözlerini kapatır ve uyumaya çalışır
[00:01:48	][IC] C24:RCT.YELLO-54: <:: Sen, vatandaş! Benimle gel. ::>
[00:01:50	]Garrett Foster used command '/ActCheer'.
[00:01:50	]Valeria Martin used command '/ExitAct'.
[00:01:51	]Garrett Foster used command '/ExitAct'.
[00:01:52	][IC] Thomas Edward Lawrence: Zaten I-24'te sosyal kredi kazanmamın asıl sebebi buydu.
[00:01:59	][ME] C24:i3.KING-20: koluna koyduğu elini karnına koyar ve kavrar, sarılıp uyumaya çalışır
[00:02:07	][IC] C24:RCT.YELLO-54: <:: Birdaha girilmesi yasak bir bölgeye girme. ::>
[00:02:18	]Thomas Edward Lawrence used command '/ExitAct'.
[00:02:18	][W] C24:RCT.YELLO-54: <:: Bu seferlik görmezden gelicem. ::>
[00:02:20	][IC] C24:RCT.YELLO-54: <:: Hizmet et. ::>
[00:02:23	][IC] Valeria Martin: Tamam efendim.
[00:02:24	][ME] C24:i5.(X)KING-19: Kişi istem dışı sessizce ağlamaya devam ediyor, nefes alırken boşluklu boşluklu aldığı belli oluyor.
[00:02:26	]Sisifos [MG] has connected.
