[16:02:48	]Hacı emmi has connected.
[16:05:46	]Handschar | Leibs has connected.
[16:07:51	]Handschar | Leibs loaded the character 'C24:i3.KING-20'
[16:07:56	]C24:i3.KING-20 is fully healed.
[16:08:07	]C24:i3.KING-20 used command '/ToggleRaise'.
[16:08:12	]C24:i3.KING-20 entered observer.
[16:08:19	]C24:i3.KING-20 exited observer at their location.
[16:08:26	]C24:i3.KING-20 has turned a ration dispenser off.
[16:08:33	]C24:i3.KING-20 entered observer.
[16:08:37	]C24:i3.KING-20 exited observer at their location.
[16:08:42	]C24:i3.KING-20 has turned a ration dispenser on.
[16:08:46	]C24:i3.KING-20 entered observer.
[16:08:59	]C24:i3.KING-20 exited observer at their location.
[16:09:08	]C24:i3.KING-20 entered observer.
[16:09:16	]C24:i3.KING-20 exited observer at their location.
[16:09:17	]C24:i3.KING-20 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:09:24	]C24:i3.KING-20 used command '/ToggleRaise'.
[16:09:25	]C24:i3.KING-20 has lost a '30rnd MP Magazine' #162401.
[16:09:32	]C24:i3.KING-20 used command '/ToggleRaise'.
[16:09:32	]C24:i3.KING-20 has gained a 'USP Match Slide' #162892.
[16:09:32	]C24:i3.KING-20 has gained a 'USP Match Compensator' #162893.
[16:09:33	]C24:i3.KING-20 has lost a '17rnd USP Magazine' #162409.
[16:09:39	]C24:i3.KING-20 has lost a 'USP Match Slide' #162892.
[16:09:40	]C24:i3.KING-20 has lost a 'USP Match Compensator' #162893.
[16:09:46	]C24:i3.KING-20 ran 'combine' on item '17rnd USP Magazine' (#162408)
[16:09:47	]C24:i3.KING-20 ran 'combine' on item '17rnd USP Magazine' (#162407)
[16:09:49	]C24:i3.KING-20 has gained a '17rnd USP Magazine' #162409.
[16:09:49	]C24:i3.KING-20 has lost a '17rnd USP Magazine' #162408.
[16:09:53	]C24:i3.KING-20 ran 'combine' on item '17rnd USP Magazine' (#162409)
[16:10:00	]C24:i3.KING-20 ran 'combine' on item '30rnd MP Magazine' (#162398)
[16:10:10	]C24:i3.KING-20 used command '/ToggleRaise'.
[16:10:12	]C24:i3.KING-20 used command '/ToggleRaise'.
[16:10:29	]C24:i3.KING-20 has gained a '30rnd MP Magazine' #162401.
[16:10:29	]C24:i3.KING-20 has lost a '30rnd MP Magazine' #162400.
[16:10:30	]C24:i3.KING-20 entered observer.
[16:10:41	]C24:i3.KING-20 exited observer at their location.
[16:10:42	]C24:i3.KING-20 entered observer.
[16:10:42	]C24:i3.KING-20 exited observer at their location.
[16:10:52	]C24:i3.KING-20 entered observer.
[16:11:00	]C24:i3.KING-20 exited observer at their location.
[16:11:29	]C24:i3.KING-20 entered observer.
[16:11:50	]C24:i3.KING-20 exited observer at their location.
[16:11:50	]C24:i3.KING-20 entered observer.
[16:11:52	]C24:i3.KING-20 exited observer at their location.
[16:11:53	]C24:i3.KING-20 entered observer.
[16:11:54	]C24:i3.KING-20 exited observer at their location.
[16:11:59	]C24:i3.KING-20 entered observer.
[16:12:12	]C24:i3.KING-20 exited observer at their location.
[16:17:21	]C24:i3.KING-20 has gone afk.
[16:18:59	]Barış loaded the character 'Ahmet Çakar'
[16:19:04	]Ahmet Çakar is fully healed.
[16:20:18	]Barış has unloaded their "Ahmet Çakar" character.
[16:20:26	]C24:i3.KING-20 is no longer afk. Total time spent AFK: 480
[16:21:04	]C24:i3.KING-20 entered observer.
[16:21:29	]C24:i3.KING-20 ran 'combine' on item '30rnd MP Magazine' (#162401)
[16:21:30	]C24:i3.KING-20 ran 'combine' on item '30rnd MP Magazine' (#162401)
[16:21:42	]C24:i3.KING-20 exited observer at their location.
[16:21:42	]C24:i3.KING-20 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:21:45	]C24:i3.KING-20 has gained 0 chips.
[16:21:45	]C24:i3.KING-20 has gained a '9mm Pistol Bullets' #165019.
[16:21:46	]C24:i3.KING-20 has gained 0 chips.
[16:21:46	]C24:i3.KING-20 has gained a '9mm Pistol Bullets' #165020.
[16:21:46	]C24:i3.KING-20 has gained 0 chips.
[16:21:46	]C24:i3.KING-20 has gained a '9mm Pistol Bullets' #165021.
[16:21:51	]C24:i3.KING-20 has gained 0 chips.
[16:21:51	]C24:i3.KING-20 has gained a '17rnd USP Magazine' #165022.
[16:21:51	]C24:i3.KING-20 has gained 0 chips.
[16:21:51	]C24:i3.KING-20 has gained a '17rnd USP Magazine' #165023.
[16:21:53	]C24:i3.KING-20 has gained 0 chips.
[16:21:53	]C24:i3.KING-20 has gained a 'Sub-machinegun Bullets' #165024.
[16:21:53	]C24:i3.KING-20 has gained 0 chips.
[16:21:53	]C24:i3.KING-20 has gained a 'Sub-machinegun Bullets' #165025.
[16:21:56	]C24:i3.KING-20 entered observer.
[16:21:56	]C24:i3.KING-20 exited observer at their location.
[16:22:00	]C24:i3.KING-20 entered observer.
[16:22:01	]C24:i3.KING-20 exited observer at their location.
[16:22:11	]C24:i3.KING-20 ran 'combine' on item 'Sub-machinegun Bullets' (#162885)
[16:22:24	]C24:i3.KING-20 ran 'combine' on item '17rnd USP Magazine' (#165023)
[16:22:25	]C24:i3.KING-20 ran 'combine' on item '17rnd USP Magazine' (#165022)
[16:22:26	]C24:i3.KING-20 ran 'combine' on item '17rnd USP Magazine' (#165022)
[16:22:30	]C24:i3.KING-20 ran 'combine' on item '9mm Pistol Bullets' (#162405)
[16:22:36	]C24:i3.KING-20 entered observer.
[16:23:09	]C24:i3.KING-20 ran SAM command 'goto' with arguments: 'barış'
[16:23:11	]C24:i3.KING-20 exited observer at their location.
[16:23:11	]C24:i3.KING-20 entered observer.
[16:24:31	]Barış loaded the character 'Ahmet Çakar'
[16:24:41	]C24:i3.KING-20 exited observer at their location.
[16:29:04	]elbbrown has connected.
[16:29:52	]elbbrown loaded the character 'Percy Cox'
[16:30:08	][IC] Percy Cox: Hey.
[16:30:17	][IC] Percy Cox: Sadakat kredimi artırmak için iş istiyorum.
[16:30:27	][IC] C24:i3.KING-20: <:: Daha dürü-. ::>
[16:30:35	][ME] C24:i3.KING-20: kişi dibine girdiğinde, sol eliyle onu ittirir
[16:30:38	][IC] C24:i3.KING-20: <:: Mesafe. ::>
[16:30:43	][IC] C24:i3.KING-20: <:: Daha dürüst bir şekilde isteyeceksin. ::>
[16:30:48	][IC] C24:i3.KING-20: <:: Sen kim oluyorsun. ::>
[16:30:51	][IC] C24:i3.KING-20: <:: Açık gri kol bandın var. ::>
[16:30:55	][IC] C24:i3.KING-20: <:: Benimle böyle konuşmaya kim yetki verdi sana? ::>
[16:30:57	][IC] C24:i3.KING-20: <:: Defol buradan! ::>
[16:31:22	]C24:i3.KING-20 opened the 'Rasyon Bölgesi Deposu' stash.
[16:31:28	]C24:i3.KING-20 closed the 'Rasyon Bölgesi Deposu' stash.
[16:33:02	]Ahmet Çakar has acquired his ration, gaining 0 credits, 50 wages and a trueloyal_ration ration.
[16:33:15	]Ahmet Çakar ran 'take' on item 'Gerçek Loyalist Rasyonu' (#165026)
[16:33:15	]Ahmet Çakar has gained a 'Gerçek Loyalist Rasyonu' #165026.
[16:33:17	]Ahmet Çakar ran 'Open' on item 'Gerçek Loyalist Rasyonu' (#165026)
[16:33:17	]Ahmet Çakar has gained a 'Evrensel Birlik Çikolatası' #165027.
[16:33:17	]Ahmet Çakar has gained a 'Somon Biftek' #165028.
[16:33:17	]Ahmet Çakar has gained a 'Köpüklü Breen Suyu' #165029.
[16:33:17	]Ahmet Çakar has gained a '20 Kredi Kuponu' #165030.
[16:34:10	]Ahmet Çakar used command '/SetMood Frustrated'.
[16:34:38	][LOOC] Ahmet Çakar: npc ne yapiyon
[16:34:46	][LOOC] C24:i3.KING-20: arkada kuzey güney kafes çalıyor kaybol bence
[16:35:05	][LOOC] Ahmet Çakar: nie bişe yapmiyom ve mavi kol bandı ayrıyaten CGT üyesi
[16:35:19	][LOOC] Ahmet Çakar: yani oturup çikolatamı yicem
[16:35:24	][LOOC] C24:i3.KING-20: şakasına söyledim çok ciddi alıyorsun
[16:35:31	][LOOC] Ahmet Çakar: cikolata alırmısın?
[16:35:38	][LOOC] C24:i3.KING-20: get lost
[16:35:43	][LOOC] Ahmet Çakar: stfu
[16:35:50	]Ahmet Çakar ran 'Consume' on item 'Evrensel Birlik Çikolatası' (#165027)
[16:35:50	]Ahmet Çakar has gained a 'Plastik Çöp' #165031.
[16:35:51	]Ahmet Çakar ran 'Consume' on item 'Köpüklü Breen Suyu' (#165029)
[16:35:51	]Ahmet Çakar has gained a 'Boş Breen'in Suyu' #165032.
[16:35:52	]Ahmet Çakar ran 'Consume' on item 'Somon Biftek' (#165028)
[16:35:52	]Ahmet Çakar extended their level 5 long boost in Zeka.
[16:35:52	]Ahmet Çakar extended their level 5 long boost in Algı.
[16:36:07	]Ahmet Çakar opened the 'Çöp Kutusu' #10952 container.
[16:36:10	]Ahmet Çakar has transferred a 'Boş Breen'in Suyu' #165032 to a container with the name 'Çöp Kutusu' #10952.
[16:36:11	]Ahmet Çakar has transferred a 'Plastik Çöp' #165031 to a container with the name 'Çöp Kutusu' #10952.
[16:36:12	]Ahmet Çakar closed the 'Çöp Kutusu' #10952 container.
[16:36:17	]Ahmet Çakar ran 'Use' on item '20 Kredi Kuponu' (#165030)
[16:36:19	]Ahmet Çakar has used a coupon at a ration dispenser, gaining 20 credits.
[16:36:19	][IC] Percy Cox: Merhabalar.
[16:36:19	][IC] C24:i3.KING-20: <:: Hıhı. ::>
[16:36:40	][IC] Percy Cox: Sadakat puanımı artırmak için yapabileceğim bir iş var mı?
[16:36:46	][IC] C24:i3.KING-20: <:: Hmph. ::>
[16:36:52	][IC] C24:i3.KING-20: <:: Çöp toplamak? ::>
[16:36:56	][IC] Percy Cox: Tamam.
[16:36:58	][IC] C24:i3.KING-20: <:: Yapabilirsin. ::>
[16:36:58	]Ahmet Çakar used command '/ActSit 5'.
[16:36:59	][IC] C24:i3.KING-20: <:: Hizmet et. ::>
[16:37:00	]Ahmet Çakar used command '/ExitAct'.
[16:37:02	][IC] Percy Cox: Nereyi.
[16:37:04	]Ahmet Çakar used command '/ActSit 6'.
[16:37:17	][IC] C24:i3.KING-20: <:: Nasıl yani. ::>
[16:37:18	][IC] Percy Cox: O çöpleri ne yapayım? Size mi getireyim yoksa toplayayım mı?
[16:37:23	][IC] C24:i3.KING-20: <:: Bana getir. ::>
[16:37:26	][IC] Percy Cox: Tamma.
