[17:49:58	]THE ÖMER has connected.
[17:52:08	]THE ÖMER loaded the character 'Zahir Taha'
[17:52:13	]Zahir Taha is fully healed.
[17:55:23	]Zahir Taha ran 'Use' on item 'Çalışma Tezgahı' (#166454)
[18:01:38	]Zahir Taha has gone afk.
[18:01:58	]Zahir Taha is no longer afk. Total time spent AFK: 315
[18:02:07	]THE ÖMER (STEAM_0:1:575663749) has disconnected.
[19:17:16	]Barış has connected.
[19:23:46	]Barış loaded the character 'C24:i5.(X)KING-19'
[19:33:34	]Handschar | Leibs has connected.
[19:35:51	]Handschar | Leibs loaded the character 'C24:i3.KING-20'
[19:35:56	]C24:i3.KING-20 is fully healed.
[19:35:57	]C24:i3.KING-20 entered observer.
[19:35:59	]C24:i3.KING-20 exited observer at their location.
[19:36:00	]C24:i3.KING-20 used command '/Radio 10-8'.
[19:36:07	]C24:i3.KING-20 entered observer.
[19:36:18	]C24:i3.KING-20 exited observer at their location.
[19:36:33	]C24:i3.KING-20 entered observer.
[19:36:34	]C24:i3.KING-20 exited observer at their location.
[19:36:39	]C24:i3.KING-20 entered observer.
[19:36:39	]C24:i3.KING-20 exited observer at their location.
[19:37:07	]C24:i3.KING-20 entered observer.
[19:37:10	]C24:i3.KING-20 exited observer at their location.
[19:37:33	]C24:i3.KING-20 entered observer.
[19:37:34	]C24:i3.KING-20 exited observer at their location.
[19:37:45	]C24:i5.(X)KING-19 has gone afk.
[19:38:23	]C24:i3.KING-20 entered observer.
[19:38:24	]C24:i3.KING-20 exited observer at their location.
[19:39:05	]C24:i3.KING-20 entered observer.
[19:39:05	]C24:i3.KING-20 exited observer at their location.
[19:39:17	]C24:i3.KING-20 entered observer.
[19:39:17	]C24:i3.KING-20 exited observer at their location.
[19:39:52	]C24:i3.KING-20 entered observer.
[19:39:52	]C24:i3.KING-20 exited observer at their location.
[19:40:25	]C24:i5.(X)KING-19 is no longer afk. Total time spent AFK: 455
[19:40:29	]C24:i5.(X)KING-19 used command '/CP sa as'.
[19:41:04	]C24:i3.KING-20 entered observer.
[19:41:06	]C24:i3.KING-20 exited observer at their location.
[19:41:13	]C24:i5.(X)KING-19 used command '/CP noclip yok emmi yasak'.
[19:41:23	]C24:i3.KING-20 used command '/CP ney'.
[19:41:32	]C24:i3.KING-20 used command '/CP arada geçiyorum can sıkıntısından'.
[19:41:38	]C24:i5.(X)KING-19 used command '/CP he nie sıkılıyon'.
[19:41:47	]C24:i3.KING-20 used command '/CP bilmiyorum çok yorgunum'.
[19:41:50	][LOOC] C24:i3.KING-20: hiçbişey yapasım yok
[19:41:54	]C24:i3.KING-20 used command '/CP hiçbişey yapasım yok'.
[19:41:59	]C24:i5.(X)KING-19 used command '/CP kim üzdü seni fdgölşigmfdş,mgdf'.
[19:42:06	]C24:i3.KING-20 used command '/CP üzmek değil halim yok'.
[19:42:17	]C24:i5.(X)KING-19 used command '/CP nie halin yok olum işte'.
[19:42:23	]C24:i3.KING-20 entered observer.
[19:42:27	]C24:i3.KING-20 used command '/CP bilmem'.
[19:42:30	]C24:i3.KING-20 used command '/CP 2 dk afk bakkala gidicem'.
[19:42:38	]C24:i5.(X)KING-19 used command '/CP selametle'.
[19:45:55	]Barış (STEAM_0:0:195372324) has disconnected.
[19:47:51	]C24:i3.KING-20 has gone afk.
[19:48:36	]C24:i3.KING-20 is no longer afk. Total time spent AFK: 340
[19:48:45	]C24:i3.KING-20 exited observer at their location.
[19:48:46	]C24:i3.KING-20 entered observer.
[19:48:46	]C24:i3.KING-20 exited observer at their location.
[19:49:43	]Handschar | Leibs (STEAM_0:1:549390708) has disconnected.
