[16:46:00	]Balkaptan has connected.
[16:46:19	][AltChecker] Balkaptan joined for the first time, generating new cookie.
[16:47:00	]Balkaptan (STEAM_0:0:79320244) has disconnected.
[17:55:27	]Barış has connected.
[17:56:04	]Barış loaded the character 'C24:i5.(X)KING-19'
[17:56:27	]Barış has unloaded their "C24:i5.(X)KING-19" character.
[18:00:29	]Barış loaded the character 'C24:i5.(X)KING-19'
[18:01:03	]C24:i5.(X)KING-19 has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[18:01:17	]C24:i5.(X)KING-19 ran 'take' on item 'Sivil Koruma Rasyonu' (#166898)
[18:01:17	]C24:i5.(X)KING-19 has gained a 'Sivil Koruma Rasyonu' #166898.
[18:01:18	]C24:i5.(X)KING-19 ran 'Open' on item 'Sivil Koruma Rasyonu' (#166898)
[18:01:18	]C24:i5.(X)KING-19 has gained a 'Metropolice Takviyeleri' #166899.
[18:01:18	]C24:i5.(X)KING-19 has gained a 'Soda Bob Brawn' #166900.
[18:01:18	]C24:i5.(X)KING-19 has gained a '20 Kredi Kuponu' #166901.
[18:01:20	]C24:i5.(X)KING-19 ran 'Consume' on item 'Soda Bob Brawn' (#166900)
[18:01:20	]C24:i5.(X)KING-19 extended their level 1 long boost in Algı.
[18:01:20	]C24:i5.(X)KING-19 extended their level 2 long boost in Çeviklik.
[18:01:20	]C24:i5.(X)KING-19 ran 'Consume' on item 'Metropolice Takviyeleri' (#166899)
[18:01:20	]C24:i5.(X)KING-19 extended their level 3 long boost in Güç.
[18:01:32	]Barış has unloaded their "C24:i5.(X)KING-19" character.
[18:06:59	]Barış has gone afk.
[18:12:25	]Kaan has connected.
[18:13:15	]Kaan loaded the character 'C24:i5.TAP-54'
[18:13:20	]C24:i5.TAP-54 is fully healed.
[18:13:57	]C24:i5.TAP-54 ran 'combine' on item '17rnd USP Magazine' (#164535)
[18:13:58	]C24:i5.TAP-54 ran 'combine' on item '17rnd USP Magazine' (#164536)
