[17:01:42	]Barış has connected.
[17:03:33	]Barış loaded the character 'C24:i5.(X)KING-19'
[17:03:38	]C24:i5.(X)KING-19 is fully healed.
[17:06:58	]C24:i5.(X)KING-19 ran 'Consume' on item 'Metropolice Takviyeleri' (#166927)
[17:06:58	]C24:i5.(X)KING-19 extended their level 3 long boost in Güç.
[17:06:59	]C24:i5.(X)KING-19 ran 'Consume' on item 'Soda Bob Brawn' (#166928)
[17:06:59	]C24:i5.(X)KING-19 extended their level 1 long boost in Algı.
[17:06:59	]C24:i5.(X)KING-19 extended their level 2 long boost in Çeviklik.
[17:07:03	]Barış has unloaded their "C24:i5.(X)KING-19" character.
[17:12:03	]Barış has gone afk.
[17:28:11	]Barış loaded the character 'C24:i5.(X)KING-19'
[17:28:11	]C24:i5.(X)KING-19 is no longer afk. Total time spent AFK: 1265
[17:28:34	]C24:i5.(X)KING-19 used command '/ViewObjectives'.
[17:28:47	]Barış has unloaded their "C24:i5.(X)KING-19" character.
[17:28:51	]Barış loaded the character 'S10:SCN-3'
[17:29:08	]S10:SCN-3 used command '/ViewObjectives'.
[17:30:14	]S10:SCN-3 used command '/ViewObjectives'.
[17:31:01	][IC] S10:SCN-3: Contain.
[17:31:08	][IC] S10:SCN-3: Yakınsama sektörü istasyonu bir, silah serbest. Hedef, birincil bir hedef olarak belirlenmiştir. Görüldüğünde kovuşturun.
[17:31:15	][IC] S10:SCN-3: Patrol.
[17:31:21	][IC] S10:SCN-3: Workforce intake hub.
[17:31:25	][IC] S10:SCN-3: Birey, birden fazla beşinci seviye anti-sivil ihlalle suçlanıyorsunuz. Lütfen yer koruma ekibi ile işbirliği yapın. Yer koruma ekibi: uyarı. Kod: Harekete Geç. İzole Et. Nötralize Et.
[17:31:38	][IC] S10:SCN-3: Uyarı, topluluk koruma birimleri, yerel huzursuzluk yapısı tespit edildi. BIRLEŞTIRIN, YÖNETIN, PASIFLEŞTIRIN.
[17:32:23	][IC] S10:SCN-3: 10-103; Disturbance.
[17:32:31	][IC] S10:SCN-3: Immediate amputation.
[17:32:41	][IC] S10:SCN-3: High-priority region.
[17:33:11	][IC] S10:SCN-3: Atention;  all units, apply forward pressure.
[17:33:32	][IC] S10:SCN-3: Attention all units, begin witness sterilization.
[17:33:44	][IC] S10:SCN-3: Permanent off-world service assignment.
[17:33:53	][IC] S10:SCN-3: TAP.
[17:34:01	][IC] S10:SCN-3: Attention, stabilization-team leaders; report deserviced units to sterilized body-count ratios for reinforcement reward or removal processing.
[17:34:26	][IC] S10:SCN-3: Sivil faaliyetlere karşı gelmekle suçlanıyorsunuz: BİR. Koruma birimi kovuşturma kodu: GÖREV, KILIÇ, OPERASYON.
[17:35:07	][IC] S10:SCN-3: Yanıt kodu: Kalkan. Anahtar. Birleş.
[17:35:21	][IC] S10:SCN-3: Birey, sermaye uyumsuzluğu ile suçlanıyorsunuz. Anti-sivil statüsü, ONAYLANDI.
[17:35:32	][IC] S10:SCN-3: Tüm koruma ekiplerinin dikkatine, otonom yargı artık yürürlüktedir. Cezalandırma artık takdire bağlı. Kod, AMPUTE ET, SIFIR, ONAYLA.
[17:36:20	][IC] S10:SCN-3: Report into command-point.
[17:36:45	][IC] S10:SCN-3: JURY suspect is now 187 amputate.
[17:37:01	][IC] S10:SCN-3: Pressure.
[17:37:51	][IC] S10:SCN-3: Rank leaders.
[17:37:55	][IC] S10:SCN-3: Rank-leaders, reminder: One-hundred sterilized credits qualifies non-mechanical reproduction simulation.
[17:38:24	][IC] S10:SCN-3: UNION.
[17:38:48	][IC] S10:SCN-3: Verdict-code on suspect; immediate amputation respond CODE 3.
[17:39:46	][IC] S10:SCN-3: Kara birimlerinin dikkatine: Bu toplulukta anti-sivil rapor edildi. Kod: KİLİTLE, DAĞLA, STABİLİZE ET.
[17:40:11	][IC] S10:SCN-3: Vatandaş hatırlatması: Eylemsizlik komplodur. Karşı davranışları derhal bir Sivil Koruma ekibine bildirin.
[17:40:45	][IC] S10:SCN-3: Vatandaş Hatırlatması: Uygar bir toplum, hızlı ve hedefli bir gözetim gerektirir. Vatandaşların toplumu tehdit etmesini engelleyin.
[17:41:02	][IC] S10:SCN-3: Koruma ekibi, alarm: Bu toplulukta sivil karşıtı faaliyet kanıtlandı. Kod: TOPLA, KELEPÇELE, KONTROL ALTINA AL.
[17:41:19	][IC] S10:SCN-3: Vatandaş bildirimi, öncelikli kimlik tespiti devam ediyor. Lütfen belirlenmiş muayene konumlarınızda bekleyin.
[17:41:54	]Barış (STEAM_0:0:195372324) has disconnected.
