[17:07:21	]Rudeboy has connected.
[17:07:46	]Rudeboy loaded the character 'John Carpenter'
[17:09:38	][IC] John Carpenter: Esenlikler.
[17:09:48	]Rudeboy (STEAM_0:1:431564914) has disconnected.
[18:39:26	]Chadatürk has connected.
[18:40:13	]Chadatürk loaded the character 'Furkan Dağlı'
[18:40:30	]Furkan Dağlı ran 'take' on item 'Eski Lastik' (#167242)
[18:40:30	]Furkan Dağlı has gained a 'Eski Lastik' #167242.
[18:40:32	]Furkan Dağlı ran 'take' on item 'Boş Boya Kutusu' (#167252)
[18:40:32	]Furkan Dağlı has gained a 'Boş Boya Kutusu' #167252.
[18:40:32	]Furkan Dağlı ran 'take' on item 'Buzdolabı Kapağı' (#167240)
[18:40:32	]Furkan Dağlı has gained a 'Buzdolabı Kapağı' #167240.
[18:40:34	]Furkan Dağlı ran 'take' on item 'Kırık Lamba' (#167237)
[18:40:34	]Furkan Dağlı has gained a 'Kırık Lamba' #167237.
[18:40:38	]Furkan Dağlı ran 'take' on item 'Boş Plastik Sürahi' (#167236)
[18:40:38	]Furkan Dağlı has gained a 'Boş Plastik Sürahi' #167236.
[18:40:39	]Furkan Dağlı ran 'take' on item 'Boş Kahve Fincanı' (#167249)
[18:40:39	]Furkan Dağlı has gained a 'Boş Kahve Fincanı' #167249.
[18:40:40	]Furkan Dağlı ran 'take' on item 'Boş Süt Kartonu' (#167250)
[18:40:40	]Furkan Dağlı has gained a 'Boş Süt Kartonu' #167250.
[18:40:42	]Furkan Dağlı ran 'take' on item 'Yeşil Şişe' (#167246)
[18:40:42	]Furkan Dağlı has gained a 'Yeşil Şişe' #167246.
[18:44:03	]Furkan Dağlı opened the 'Çöp Kutusu' #10952 container.
[18:44:06	]Furkan Dağlı closed the 'Çöp Kutusu' #10952 container.
[18:52:05	]Furkan Dağlı used command '/CharDesc'.
[18:57:23	]Furkan Dağlı ran 'Consume' on item 'Tarihi Geçmiş Muz' (#154051)
[18:58:05	][IC] Furkan Dağlı: Bir keresinde şehre döndüğümde, bir adamın bir Hunter'ı sadece yumruklarıyla alt ettiğini gördüm.
[18:58:09	][IC] Furkan Dağlı: Bir keresinde şehre döndüğümde, bir adamın bir Hunter'ı sadece yumruklarıyla alt ettiğini gördüm.
[18:58:25	][IC] Furkan Dağlı: Bir gün bunların hepsi kötü bir anı olarak kalacak.
