[14:34:58	]Chadatürk has connected.
[14:36:43	]Rudeboy has connected.
[14:37:10	]Rudeboy loaded the character 'John Carpenter'
[14:37:47	]John Carpenter used command '/ActArrest'.
[14:37:57	]John Carpenter used command '/ExitAct'.
[14:43:06	]Chadatürk loaded the character 'Furkan Dağlı'
[14:43:08	]John Carpenter used command '/ExitAct'.
[14:43:13	]John Carpenter used command '/ExitAct'.
[14:43:16	]John Carpenter used command '/ExitAct'.
[14:44:06	]Furkan Dağlı used command '/PM STEAM_0:1:431564914 rasyonu açar mısın'.
[14:44:20	]Furkan Dağlı opened the 'Çöp Kutusu' #10953 container.
[14:44:22	]Furkan Dağlı has gained a 'Kırık Biyokilit' #167266 from a container with the name 'Çöp Kutusu' #10953.
[14:44:22	]Furkan Dağlı has gained a 'Boş Plastik Sürahi' #167159 from a container with the name 'Çöp Kutusu' #10953.
[14:44:23	]Furkan Dağlı has gained a 'Boş Süt Kartonu' #167158 from a container with the name 'Çöp Kutusu' #10953.
[14:44:23	]Furkan Dağlı has gained a 'Dayanıksız Metal Boru' #167119 from a container with the name 'Çöp Kutusu' #10953.
[14:44:23	]Furkan Dağlı has gained a 'Boş Votka Şişesi' #167160 from a container with the name 'Çöp Kutusu' #10953.
[14:44:24	]Furkan Dağlı has gained a 'Boş Kavanoz' #167305 from a container with the name 'Çöp Kutusu' #10953.
[14:44:24	]Furkan Dağlı has gained a 'Boş Breen'in Suyu' #167306 from a container with the name 'Çöp Kutusu' #10953.
[14:44:24	]Furkan Dağlı has gained a 'Boş Bob Suyu' #167263 from a container with the name 'Çöp Kutusu' #10953.
[14:44:24	]Furkan Dağlı has gained a 'Boş Viski Şişesi' #167265 from a container with the name 'Çöp Kutusu' #10953.
[14:44:25	]Furkan Dağlı has gained a 'Plastik Kova' #167264 from a container with the name 'Çöp Kutusu' #10953.
[14:44:25	]Furkan Dağlı has gained a 'Kova' #167267 from a container with the name 'Çöp Kutusu' #10953.
[14:44:27	]Furkan Dağlı closed the 'Çöp Kutusu' #10953 container.
[14:44:30	]Furkan Dağlı opened the 'Çöp Kutusu' #10952 container.
[14:44:30	]Furkan Dağlı closed the 'Çöp Kutusu' #10952 container.
[14:44:31	]Furkan Dağlı opened the 'Çöp Kutusu' #10952 container.
[14:44:34	]Furkan Dağlı has gained a 'Kırık Klavye' #167239 from a container with the name 'Çöp Kutusu' #10952.
[14:44:36	]Furkan Dağlı has gained a 'Boş Kahve Fincanı' #167249 from a container with the name 'Çöp Kutusu' #10952.
[14:44:39	]John Carpenter used command '/PM Furkan'.
[14:44:39	]Furkan Dağlı has transferred a 'Boş Kahve Fincanı' #167249 to a container with the name 'Çöp Kutusu' #10952.
[14:44:41	]Furkan Dağlı has gained a 'Boş Benzin Bidonu' #167255 from a container with the name 'Çöp Kutusu' #10952.
[14:44:43	]Furkan Dağlı closed the 'Çöp Kutusu' #10952 container.
[14:44:44	]John Carpenter used command '/PM Furkan buyur?'.
[14:44:54	]Furkan Dağlı used command '/PM STEAM_0:1:431564914 rasyonu açar mısın'.
[14:45:03	]John Carpenter used command '/PM Furkan rasyon ne'.
