[15:51:10	]The Büyük Metal Dolap container (#10933) was inactive and has been soft-removed.
[19:47:32	]drakes big pen has connected.
[19:48:17	][AltChecker] drakes big pen joined for the first time, generating new cookie.
[20:00:13	]drakes big pen created the character 'Rüzgar'
[20:00:13	]Rüzgar has gained a 'Açık Gri Kol Bandı' #167414.
[20:00:13	]Rüzgar has gained a '#33538 Kimlik Kartı' #167415.
[20:00:13	]Rüzgar has gained a 'Sivil Tulum' #167416.
[20:00:13	]Rüzgar has gained a 'Tulum pantolonu.' #167417.
[20:00:13	]Rüzgar has gained a 'Kahverengi Deri Çizme' #167418.
[20:00:13	]Rüzgar has gained a 'Gözlükler' #167419.
[20:00:13	]drakes big pen loaded the character 'Rüzgar'
[20:01:12	]Rüzgar used command '/CharDesc'.
[20:07:05	]drakes big pen (STEAM_0:1:230184798) has disconnected.
