[17:54:56	]Tuco Salamanca has connected.
[18:00:53	][AltChecker] Tuco Salamanca joined for the first time, generating new cookie.
[18:14:14	]Tuco Salamanca created the character 'felkin black'
[18:14:15	]felkin black has gained a 'Açık Gri Kol Bandı' #167541.
[18:14:15	]felkin black has gained a '#52010 Kimlik Kartı' #167542.
[18:14:15	]felkin black has gained a 'Siyah Tulum' #167543.
[18:14:15	]felkin black has gained a 'Siyah tulum pantolonu' #167544.
[18:14:15	]felkin black has gained a 'Kahverengi Deri Çizme' #167545.
[18:14:15	]felkin black has gained a 'Gözlükler' #167546.
[18:14:16	]Tuco Salamanca loaded the character 'felkin black'
[18:17:35	]Tuco Salamanca (STEAM_0:0:774368725) has disconnected.
