[18:39:26	]النقيب خلفان has connected.
[18:50:43	]النقيب خلفان created the character 'khalfen (خلفان)'
[18:50:43	]النقيب خلفان loaded the character 'khalfen (خلفان)'
[18:50:43	]khalfen (خلفان) has gained a 'Açık Gri Kol Bandı' #167547.
[18:50:43	]khalfen (خلفان) has gained a '#56633 Kimlik Kartı' #167548.
[18:50:43	]khalfen (خلفان) has gained a 'Yeşil Tulum' #167549.
[18:50:43	]khalfen (خلفان) has gained a 'Yeşil tulum pantolonu' #167550.
[18:50:43	]khalfen (خلفان) has gained a 'Kahverengi Deri Çizme' #167551.
[18:51:20	]khalfen (خلفان) ran 'Equip' on item 'Açık Gri Kol Bandı' (#167547)
[18:51:53	]النقيب خلفان has unloaded their "khalfen (خلفان)" character.
[18:52:04	]النقيب خلفان loaded the character 'khalfen (خلفان)'
[18:53:49	]khalfen (خلفان) used command '/CharDesc'.
[18:53:59	]khalfen (خلفان) used command '/CharDesc'.
[18:54:05	]khalfen (خلفان) used command '/CharDesc'.
[18:55:47	]النقيب خلفان (STEAM_0:1:549865538) has disconnected.
