[16:18:27	]deathguard has connected.
[16:18:50	][AltChecker] deathguard joined without a cookie, but matched installation with existing cookie. Certainty 4/5
[16:19:14	]deathguard loaded the character 'John Mansen'
[16:19:18	]John Mansen is fully healed.
[16:19:30	]John Mansen has lost a '30rnd Junk Magazine' #144583.
[16:19:30	]John Mansen has gained a '30rnd Junk Magazine' #144539.
[16:19:56	][IC] John Mansen: Ne zamandır uyuyorum ben.
[16:20:12	]John Mansen has gained a '30rnd Junk Magazine' #144583.
[16:20:12	]John Mansen has lost a '30rnd Junk Magazine' #144539.
[16:21:46	]deathguard loaded the character 'Muhamed Osmanoglu'
[16:22:09	]deathguard loaded the character 'Mustafa Şengül'
[16:22:09	]Mustafa Şengül their 'inşaat bölgesi deposu' stash no longer exists, location reset.
[16:23:08	]Mustafa Şengül ran 'take' on item 'Kova' (#164813)
[16:23:08	]Mustafa Şengül has gained a 'Kova' #164813.
[16:23:16	]Mustafa Şengül has performed the 'Craft Parçala: Kova' action, gaining 25 experience in crafting.
[16:23:16	]Mustafa Şengül has gained a 'Hurda Metal' #167581.
[16:23:18	]Mustafa Şengül has performed the 'Craft Parçala: Boş Bob's Suyu' action, gaining 20 experience in crafting.
[16:23:18	]Mustafa Şengül has gained a 'Plastik Çöp' #167582.
[16:23:20	]Mustafa Şengül has performed the 'Craft Parçala: Boş Bob's Suyu' action, gaining 20 experience in crafting.
[16:23:23	]Mustafa Şengül has performed the 'Craft Parçala: Boş Bob's Suyu' action, gaining 20 experience in crafting.
[16:24:04	]deathguard (STEAM_0:1:229653665) has disconnected.
[22:47:57	]KATYUSHA IS BEST GIRL has connected.
[22:49:12	]KATYUSHA IS BEST GIRL loaded the character 'khalfen (خلفان)'
[22:49:46	]KATYUSHA IS BEST GIRL (STEAM_0:1:549865538) has disconnected.
