[00:03:08	]Kaan has connected.
[00:04:20	]Kaan loaded the character 'Natalya Ivanova'
[00:06:01	]Natalya Ivanova used command '/ActLean'.
[00:07:22	]Natalya Ivanova used command '/ExitAct'.
[00:07:28	]Natalya Ivanova used command '/ActLean'.
[00:07:31	]Natalya Ivanova used command '/ActLean'.
[00:07:35	]Natalya Ivanova used command '/ActLean'.
[00:07:38	]Natalya Ivanova used command '/ActLean'.
[00:07:39	]Natalya Ivanova used command '/ActLean'.
[00:07:40	]Natalya Ivanova used command '/ActLean'.
[00:07:44	]Natalya Ivanova used command '/CharFallOver'.
[00:07:48	]Natalya Ivanova used command '/CharGetUp'.
[00:07:51	]Natalya Ivanova used command '/CharGetUp'.
[00:08:48	]Joachirn Lichlenberg has gone afk.
[00:09:02	]Sebastian Adrian has gone afk.
[00:12:38	]Joachirn Lichlenberg is no longer afk. Total time spent AFK: 525
[00:14:28	]Natalya Ivanova opened the 'Büyük Metal Dolap' #11854 container.
[00:14:31	]Natalya Ivanova closed the 'Büyük Metal Dolap' #11854 container.
[00:14:31	]Natalya Ivanova opened the 'Büyük Metal Dolap' #11853 container.
[00:14:33	]Natalya Ivanova closed the 'Büyük Metal Dolap' #11853 container.
[00:14:34	]Natalya Ivanova opened the 'Büyük Metal Dolap' #11852 container.
[00:14:36	]Natalya Ivanova closed the 'Büyük Metal Dolap' #11852 container.
[00:14:37	]Natalya Ivanova opened the 'Büyük Metal Dolap' #11849 container.
[00:14:38	]Natalya Ivanova closed the 'Büyük Metal Dolap' #11849 container.
[00:14:48	]Natalya Ivanova opened the 'Enfekte Kontrolü Konteyneri' #6612 container.
[00:14:49	]Natalya Ivanova closed the 'Enfekte Kontrolü Konteyneri' #6612 container.
[00:14:50	]Natalya Ivanova opened the 'Enfekte Kontrolü Konteyneri' #11966 container.
[00:14:52	]Natalya Ivanova closed the 'Enfekte Kontrolü Konteyneri' #11966 container.
[00:14:56	]Natalya Ivanova opened the 'Enfekte Kontrolü Kutusu' #11963 container.
[00:14:57	]Natalya Ivanova closed the 'Enfekte Kontrolü Kutusu' #11963 container.
[00:14:58	]Natalya Ivanova opened the 'Enfekte Kontrolü Varili' #11964 container.
[00:15:00	]Natalya Ivanova closed the 'Enfekte Kontrolü Varili' #11964 container.
[00:15:00	]Natalya Ivanova opened the 'Enfekte Kontrolü Varili' #11965 container.
[00:15:02	]Natalya Ivanova closed the 'Enfekte Kontrolü Varili' #11965 container.
[00:15:16	]Natalya Ivanova used the 'Sivil Enfeksiyon Kontrol Erzak Deposu' vendor.
[00:15:21	]Natalya Ivanova has gained 0 chips.
[00:15:21	]Natalya Ivanova has gained a 'Yellow Hazmat Uniform' #2548.
[00:16:07	]Natalya Ivanova opened the 'Personal Stash 3176' stash.
[00:16:10	]Natalya Ivanova closed the 'Personal Stash 3176' stash.
[00:16:36	]Natalya Ivanova used command '/GetCWUFlags'.
[00:16:57	]Natalya Ivanova has spawned 'models/props_lab/filedesk01a.mdl'.
[00:17:12	]Natalya Ivanova has spawned 'models/props_lab/labcomputer001a.mdl'.
[00:17:19	]Natalya Ivanova has spawned 'models/props_lab/cornerunit2.mdl'.
[00:17:30	]Natalya Ivanova has spawned 'models/props_lab/teleportbulkeli.mdl'.
[00:17:32	]Natalya Ivanova has spawned 'models/props_lab/tpswitch.mdl'.
[00:17:39	]Natalya Ivanova has spawned 'models/props_lab/tpplugholder_light.mdl'.
[00:17:41	]Natalya Ivanova has spawned 'models/props_lab/tpplugholder.mdl'.
[00:17:45	]Natalya Ivanova has spawned 'models/props_lab/scrapyarddumpster_static.mdl'.
[00:17:50	]Natalya Ivanova has spawned 'models/props_lab/securitybank.mdl'.
[00:17:59	]Natalya Ivanova has spawned 'models/props_lab/hifisystem001a.mdl'.
[00:18:01	]Natalya Ivanova has spawned 'models/props_lab/hifisystem002a.mdl'.
[00:18:03	]Natalya Ivanova has spawned 'models/props_lab/hifituner002a.mdl'.
[00:18:04	]Natalya Ivanova has spawned 'models/props_lab/hifituner003a.mdl'.
[00:18:08	]Joachirn Lichlenberg has gone afk.
[00:18:24	]Natalya Ivanova has spawned 'models/props_lab/crystalbulk.mdl'.
[00:18:31	]Natalya Ivanova has spawned 'models/props_lab/desklamp01.mdl'.
[00:18:39	]Natalya Ivanova has spawned 'models/props_lab/dogobject_wood_crate001a_damagedmax.mdl'.
[00:18:45	]Natalya Ivanova has spawned 'models/props_lab/huladoll.mdl'.
