[20:37:23	]eliumous s'est connecté.
[20:38:16	]eliumous chargé le personnage 'Constantin Carnel'
[20:38:21	]Constantin Carnel est complètement guéri.
[20:39:02	]Constantin Carnel s'est give cca_presenter.
[20:39:02	]Constantin Carnel a gagné un 'La joie des présentateurs' #200371.
[20:39:04	]Constantin Carnel s'est give cca_legs_presenter.
[20:39:04	]Constantin Carnel a gagné un 'Pantalon de présentateur' #200372.
[20:39:26	]Constantin Carnel a activé le mode observateur.
[20:39:34	]Constantin Carnel a désactivé le mode observateur à son point d'origine.
[20:39:42	]Constantin Carnel has fired a toolgun with the name: camera
[20:40:09	]Constantin Carnel has fired a toolgun with the name: remover
[20:40:09	]Constantin Carnel a activé le mode observateur.
[20:40:17	]Constantin Carnel a désactivé le mode observateur à son point d'origine.
[20:40:49	]Constantin Carnel has fired a toolgun with the name: camera
[20:41:09	]Constantin Carnel has fired a toolgun with the name: lamp
[20:41:31	]Constantin Carnel has fired a toolgun with the name: lamp
[20:41:33	]Constantin Carnel has fired a toolgun with the name: lamp
[20:41:35	]Constantin Carnel has fired a toolgun with the name: lamp
[20:41:37	]Constantin Carnel has fired a toolgun with the name: lamp
[20:41:40	]Constantin Carnel has fired a toolgun with the name: lamp
[20:42:27	]Constantin Carnel has fired a toolgun with the name: remover
[20:42:33	]Constantin Carnel has fired a toolgun with the name: lamp
[20:42:57	]Constantin Carnel has fired a toolgun with the name: lamp
[20:43:01	]Constantin Carnel has fired a toolgun with the name: lamp
[20:43:16	]Constantin Carnel has fired a toolgun with the name: lamp
[20:43:18	]Constantin Carnel has fired a toolgun with the name: lamp
[20:43:19	]Constantin Carnel has fired a toolgun with the name: lamp
[20:43:41	]Constantin Carnel a utilisé la commande '/ActKnock'.
[20:43:44	]Constantin Carnel a utilisé la commande '/ExitAct'.
[20:54:16	]Constantin Carnel est maintenant AFK.
[20:57:41	]Constantin Carnel n'est plus AFK. Temps total passé AFK : 800
[20:57:43	]eliumous (STEAM_0:0:117647089) s'est déconnecté.
