[16:11:29	]Mensu has connected.
[16:12:41	]Mensu loaded the character 'C24:CpT.YELLO-60'
[16:12:46	]C24:CpT.YELLO-60 is fully healed.
[16:12:54	]C24:CpT.YELLO-60 entered observer.
[16:12:57	]C24:CpT.YELLO-60 exited observer at their location.
[16:12:58	]C24:CpT.YELLO-60 entered observer.
[16:12:59	]C24:CpT.YELLO-60 exited observer at their location.
[16:12:59	]C24:CpT.YELLO-60 entered observer.
[16:14:46	]Mensu has unloaded their "C24:CpT.YELLO-60" character.
[16:18:47	]Mensu loaded the character 'RE RE REER ER'
[16:19:33	]Mensu loaded the character 'C24:CpT.YELLO-60'
[16:19:42	]C24:CpT.YELLO-60 entered observer.
[16:21:25	]C24:CpT.YELLO-60 exited observer at their location.
[16:21:25	]C24:CpT.YELLO-60 entered observer.
[16:21:26	]C24:CpT.YELLO-60 exited observer at their location.
[16:21:27	]C24:CpT.YELLO-60 entered observer.
[16:21:27	]C24:CpT.YELLO-60 exited observer at their location.
[16:22:15	]C24:CpT.YELLO-60 entered observer.
[16:22:16	]C24:CpT.YELLO-60 exited observer at their location.
[16:24:46	]C24:CpT.YELLO-60 has spawned a 'Entity [447][stormfox_cs_lantern2]'.
[16:25:08	]Mensu has unloaded their "C24:CpT.YELLO-60" character.
[16:25:13	]Mensu (STEAM_0:0:31675788) deleted character 'C24:CpT.YELLO-60'
[16:25:17	]Mensu (STEAM_0:0:31675788) deleted character 'RE RE REER ER'
[16:26:39	]Mensu (STEAM_0:0:31675788) has disconnected.
