[13:24:01	]Guilgouille s'est connecté.
[13:24:42	]Guilgouille chargé le personnage 'C13:i3.XRAY-379'
[13:24:48	]C13:i3.XRAY-379 a activé le mode observateur.
[13:24:48	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:24:50	]C13:i3.XRAY-379 a activé le mode observateur.
[13:24:50	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:24:51	]C13:i3.XRAY-379 a activé le mode observateur.
[13:24:51	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:24:52	]C13:i3.XRAY-379 a activé le mode observateur.
[13:25:20	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:25:27	]C13:i3.XRAY-379 a exécuté 'drop' sur l'article 'HK USP .45' (#199444)
[13:25:27	]C13:i3.XRAY-379 a perdu un 'HK USP .45' #199444.
[13:25:39	]C13:i3.XRAY-379 has gained level 13 in the Vitesse skill.
[13:25:53	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:54	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:54	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:54	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:54	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:54	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:54	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:55	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:55	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:55	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:55	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:55	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:56	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:56	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:56	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:56	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:56	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:57	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:57	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:58	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:25:58	]C13:i3.XRAY-379 has fired a toolgun with the name: remover
[13:26:00	]C13:i3.XRAY-379 a activé le mode observateur.
[13:26:00	]C13:i3.XRAY-379 a désactivé le mode observateur à son point d'origine.
[13:26:04	]C13:i3.XRAY-379 a activé le mode observateur.
[13:26:25	]C13:i3.XRAY-379 a utilisé la commande '/RemoveEntityByID 199444'.
[13:26:39	]C13:i3.XRAY-379 a utilisé la commande '/RemoveEntityByID 199444'.
[13:27:07	]C13:i3.XRAY-379 a utilisé la commande '/RemoveEntityByID 199444'.
