[16:53:08	]Coloss s'est connecté.
[16:54:03	]Coloss chargé le personnage 'C13/Disp.AI-07'
[16:54:08	]C13/Disp.AI-07 est complètement guéri.
[16:54:17	]C13/Disp.AI-07 a activé le mode observateur.
[16:55:16	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : ixrebelfieldstartmalfunction
[16:55:20	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : remove
[16:55:23	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : remove
[16:57:23	]Garet s'est connecté.
[16:57:49	]C13/Disp.AI-07 a utilisé la commande '/PlaySong https://www.youtube.com/watch?v=ILKRuKuMrgk&list=PLD9F95BF210753006&index=4 0 50000000'.
[16:57:49	]C13/Disp.AI-07 a utilisé la commande '/PlaySlideshowAll green'.
[16:58:23	]Garet chargé le personnage 'Garet'
[16:58:28	]Garet est complètement guéri.
[16:59:40	]Guilgouille s'est connecté.
[17:00:16	]Guilgouille chargé le personnage 'Capitaine Alexandre Lambert'
[17:00:28	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:00:30	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:00:31	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:00:31	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:01:40	]C13/Disp.AI-07 a désactivé le mode observateur à son point d'origine.
[17:01:42	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : remove
[17:01:58	]C13/Disp.AI-07 a fait apparaitre 'models/Gibs/Fast_Zombie_Torso.mdl.
[17:02:01	]C13/Disp.AI-07 a fait apparaitre 'models/Gibs/Fast_Zombie_Torso.mdl.
[17:02:06	]C13/Disp.AI-07 a activé persistance pour 'models/gibs/fast_zombie_torso.mdl'.
[17:02:06	]C13/Disp.AI-07 a utilisé une option de menu contextuel portant ce nom : persist
[17:02:06	]C13/Disp.AI-07 a activé le mode observateur.
[17:03:13	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:03:14	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:03:17	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:03:24	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:03:27	]C13/Disp.AI-07 a désactivé le mode observateur à son point d'origine.
[17:03:29	]C13/Disp.AI-07 a activé le mode observateur.
[17:03:37	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:03:39	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:03:40	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:03:41	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:03:41	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:03:44	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:03:44	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:03:45	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:03:46	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:03:47	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:03:47	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:03:47	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:03:48	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:03:49	]C13/Disp.AI-07 a utilisé la commande '/SpawnRemove'.
[17:03:59	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:04:04	]C13/Disp.AI-07 a désactivé le mode observateur à son point d'origine.
[17:04:08	]C13/Disp.AI-07 a fait apparaitre 'models/props_c17/fence03a.mdl.
[17:04:13	]C13/Disp.AI-07 a fait apparaitre 'models/props_c17/fence03a.mdl.
[17:04:13	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:04:16	][IC] Capitaine Alexandre Lambert: One time, back in the city, I saw a guy take down a Hunter with his bare fists.
[17:04:25	][IC] Capitaine Alexandre Lambert: These Combine bastards just don't give up!
[17:04:25	]C13/Disp.AI-07 a fait apparaitre 'models/props_c17/fence03a.mdl.
[17:04:29	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:04:31	]C13/Disp.AI-07 a fait apparaitre 'models/props_c17/fence03a.mdl.
[17:04:35	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:04:36	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:04:54	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:04:54	]C13/Disp.AI-07 a fait apparaitre 'models/props_c17/fence03a.mdl.
[17:04:58	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:01	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:01	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:02	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:05	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:05:06	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:05:06	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:05:06	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:05:07	]C13/Disp.AI-07 has fired a toolgun with the name: material
[17:05:11	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:18	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:20	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:21	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:22	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:22	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:24	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:24	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:25	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:25	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:26	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:26	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:27	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:27	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:27	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:27	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:28	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:28	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:28	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:29	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:29	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:29	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:30	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:30	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:30	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:30	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:31	]C13/Disp.AI-07 has fired a toolgun with the name: stacker_improved
[17:05:31	]C13/Disp.AI-07 a fait apparaitre 'models/props_lab/blastdoor001c.mdl.
[17:05:32	]Capitaine Alexandre Lambert a activé le mode observateur.
[17:05:32	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[17:05:33	]Capitaine Alexandre Lambert a activé le mode observateur.
